train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate,logdir
0.08,0.93,0.26,0.75,0.2254463910618249,38.325886480510235,0.07,0.93,0.26,0.76,0.22044137001037598,5.511034250259399,1712437175,,True,100,0176d165,2024-04-06_22-59-35,89.59879469871521,9134.89620757103,33616,AT-MB-PC-E13,127.0.0.1,9134.89620757103,100,64,3,0.5,1e-05,0176d165
0.08,0.94,0.56,0.89,0.15863315191339045,26.967635825276375,0.07,0.94,0.4,0.82,0.2069034418463707,5.172586046159267,1712445356,,True,100,1e5c1fa0,2024-04-07_01-15-56,174.42105221748352,17309.342676877975,54160,AT-MB-PC-E13,127.0.0.1,17309.342676877975,100,256,6,0.5,0.001,1e5c1fa0
0.08,0.92,0.24,0.72,0.23716667189317592,40.318334221839905,0.07,0.93,0.24,0.71,0.2347784924507141,5.869462311267853,1712432144,,True,45,67a0f922,2024-04-06_21-35-44,89.8907961845398,4091.065985441208,46092,AT-MB-PC-E13,127.0.0.1,4091.065985441208,45,64,3,0.5,1e-05,67a0f922
0.08,0.62,0.09,0.5,0.6303511465297026,107.15969491004944,0.07,0.71,0.1,0.5,0.5625764012336731,14.064410030841827,1712428928,,True,5,d75a9f3d,2024-04-06_20-42-08,173.489750623703,870.8622179031372,53036,AT-MB-PC-E13,127.0.0.1,870.8622179031372,5,64,6,0.5,1e-05,d75a9f3d
0.08,0.95,0.72,0.94,0.12531136879149604,21.30293269455433,0.07,0.94,0.42,0.82,0.19922518968582154,4.980629742145538,1712437160,,True,100,06dd29af,2024-04-06_22-59-20,89.54234170913696,9096.364828109741,21796,AT-MB-PC-E13,127.0.0.1,9096.364828109741,100,64,3,0.0,0.0001,06dd29af
0.08,0.95,0.66,0.92,0.13786919954068522,23.437763921916485,0.07,0.93,0.41,0.81,0.2278655505180359,5.696638762950897,1712438111,,True,100,bbdb1274,2024-04-06_23-15-11,93.25125551223755,9182.090924024582,53036,AT-MB-PC-E13,127.0.0.1,9182.090924024582,100,256,3,0.5,0.001,bbdb1274
0.08,0.9,0.12,0.54,0.3398407012224197,57.772919207811356,0.07,0.91,0.13,0.55,0.3307919192314148,8.26979798078537,1712433536,,True,5,4cd102b6,2024-04-06_21-58-56,276.7133572101593,1392.5343074798584,46092,AT-MB-PC-E13,127.0.0.1,1392.5343074798584,5,256,10,0.5,0.0001,4cd102b6
0.08,0.75,0.11,0.52,0.5194729438599418,88.31040045619011,0.07,0.81,0.11,0.55,0.4841969347000122,12.104923367500305,1712434954,,True,5,1d26c2bf,2024-04-06_22-22-34,279.62409138679504,1417.4403414726257,46092,AT-MB-PC-E13,127.0.0.1,1417.4403414726257,5,256,10,0.2,1e-05,1d26c2bf
0.08,0.91,0.14,0.57,0.3168980845633675,53.872674375772476,0.07,0.9,0.16,0.56,0.3232473987340927,8.081184968352318,1712435820,,True,5,c20a2dec,2024-04-06_22-37-00,172.0130214691162,866.3056762218475,46092,AT-MB-PC-E13,127.0.0.1,866.3056762218475,5,64,6,0.2,0.0001,c20a2dec
0.08,0.83,0.07,0.43,0.45386019839959985,77.15623372793198,0.07,0.86,0.07,0.44,0.4175078451633453,10.437696129083633,1712436277,,True,5,7317c395,2024-04-06_22-44-37,89.95050525665283,456.5547273159027,46092,AT-MB-PC-E13,127.0.0.1,456.5547273159027,5,256,3,0.5,1e-05,7317c395
0.08,0.93,0.33,0.79,0.2119902534519925,36.03834308683872,0.07,0.93,0.26,0.71,0.24988408535718917,6.2471021339297295,1712440555,,True,15,7014c6ad,2024-04-06_23-55-55,285.7604601383209,4277.351672172546,46092,AT-MB-PC-E13,127.0.0.1,4277.351672172546,15,256,10,0.2,0.001,7014c6ad
0.08,0.62,0.09,0.5,0.630370925805148,107.16305738687515,0.07,0.71,0.1,0.5,0.5626078224182129,14.065195560455322,1712438035,,True,5,8eae2ce9,2024-04-06_23-13-55,173.48067545890808,874.9415485858917,21796,AT-MB-PC-E13,127.0.0.1,874.9415485858917,5,128,6,0.5,1e-05,8eae2ce9
0.08,0.99,0.97,1.0,0.03412531163981732,5.801302978768945,0.07,0.93,0.42,0.78,0.40358476638793944,10.089619159698486,1712446467,,True,100,03896d5a,2024-04-07_01-34-27,91.49477505683899,9291.312839269638,33616,AT-MB-PC-E13,127.0.0.1,9291.312839269638,100,128,3,0.0,0.001,03896d5a
0.08,0.91,0.15,0.6,0.30289098953499516,51.49146822094917,0.07,0.91,0.18,0.6,0.2987340545654297,7.468351364135742,1712439467,,True,5,3f30479f,2024-04-06_23-37-47,287.266921043396,1432.2133769989014,21796,AT-MB-PC-E13,127.0.0.1,1432.2133769989014,5,128,10,0.2,0.0001,3f30479f
0.08,0.86,0.08,0.46,0.41628740692839905,70.76885917782784,0.07,0.88,0.09,0.47,0.38790449023246765,9.697612255811691,1712438583,,True,5,7852fd95,2024-04-06_23-23-03,92.19967365264893,471.99691939353943,53036,AT-MB-PC-E13,127.0.0.1,471.99691939353943,5,128,3,0.2,1e-05,7852fd95
0.08,0.92,0.17,0.59,0.2951279568321565,50.1717526614666,0.07,0.91,0.17,0.6,0.3062258905172348,7.65564726293087,1712439472,,True,5,1017557e,2024-04-06_23-37-52,175.49781894683838,889.0661108493805,53036,AT-MB-PC-E13,127.0.0.1,889.0661108493805,5,256,6,0.0,0.0001,1017557e
