train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.58,0.08,0.46,0.7265705764293671,123.5169979929924,0.07,0.57,0.07,0.44,0.7417705631256104,18.54426407814026,1712504573,,False,1,3c7b85ae,2024-04-07_17-42-53,88.88407731056213,88.88407731056213,37512,AT-MB-PC-EOS,127.0.0.1,88.88407731056213,1,64,3,0.0,0.0001
0.08,0.78,0.08,0.45,0.5207162490662407,88.52176234126091,0.07,0.88,0.08,0.48,0.42763038754463195,10.690759688615799,1712504649,,False,2,3c7b85ae,2024-04-07_17-44-09,76.22786283493042,165.11194014549255,37512,AT-MB-PC-EOS,127.0.0.1,165.11194014549255,2,64,3,0.0,0.0001
0.08,0.9,0.08,0.5,0.37391944317256703,63.566305339336395,0.07,0.92,0.11,0.54,0.32785399913787844,8.19634997844696,1712504727,,False,3,3c7b85ae,2024-04-07_17-45-27,77.42789149284363,242.53983163833618,37512,AT-MB-PC-EOS,127.0.0.1,242.53983163833618,3,64,3,0.0,0.0001
0.08,0.92,0.13,0.57,0.3087479984935592,52.48715974390507,0.07,0.92,0.13,0.57,0.2938988345861435,7.347470864653587,1712504805,,False,4,3c7b85ae,2024-04-07_17-46-45,78.47160243988037,321.01143407821655,37512,AT-MB-PC-EOS,127.0.0.1,321.01143407821655,4,64,3,0.0,0.0001
0.08,0.92,0.17,0.61,0.28082046298419727,47.73947870731354,0.07,0.92,0.17,0.62,0.2721433663368225,6.803584158420563,1712504881,,False,5,3c7b85ae,2024-04-07_17-48-01,75.78547501564026,396.7969090938568,37512,AT-MB-PC-EOS,127.0.0.1,396.7969090938568,5,64,3,0.0,0.0001
0.08,0.92,0.2,0.66,0.2596257099333931,44.136370688676834,0.07,0.92,0.21,0.68,0.26687362015247346,6.671840503811836,1712504958,,False,6,3c7b85ae,2024-04-07_17-49-18,76.7794303894043,473.5763394832611,37512,AT-MB-PC-EOS,127.0.0.1,473.5763394832611,6,64,3,0.0,0.0001
0.08,0.92,0.22,0.69,0.2472150358645355,42.026556096971035,0.07,0.93,0.25,0.69,0.23819016695022582,5.954754173755646,1712505036,,False,7,3c7b85ae,2024-04-07_17-50-36,78.40575361251831,551.9820930957794,37512,AT-MB-PC-EOS,127.0.0.1,551.9820930957794,7,64,3,0.0,0.0001
0.08,0.92,0.26,0.72,0.23763598576188089,40.39811757951975,0.07,0.92,0.25,0.72,0.2331652045249939,5.829130113124847,1712505111,,False,8,3c7b85ae,2024-04-07_17-51-51,74.26358103752136,626.2456741333008,37512,AT-MB-PC-EOS,127.0.0.1,626.2456741333008,8,64,3,0.0,0.0001
0.08,0.93,0.28,0.75,0.22619589023730335,38.45330134034157,0.07,0.92,0.23,0.73,0.2272130173444748,5.68032543361187,1712505188,,False,9,3c7b85ae,2024-04-07_17-53-08,77.842050075531,704.0877242088318,37512,AT-MB-PC-EOS,127.0.0.1,704.0877242088318,9,64,3,0.0,0.0001
0.08,0.93,0.28,0.75,0.22296578748261228,37.90418387204409,0.07,0.93,0.29,0.77,0.22165222883224486,5.541305720806122,1712505266,,False,10,3c7b85ae,2024-04-07_17-54-26,77.06348943710327,781.1512136459351,37512,AT-MB-PC-EOS,127.0.0.1,781.1512136459351,10,64,3,0.0,0.0001
0.08,0.93,0.32,0.78,0.21456930838963564,36.47678242623806,0.07,0.92,0.28,0.77,0.23410410702228546,5.8526026755571365,1712505342,,False,11,3c7b85ae,2024-04-07_17-55-42,76.61299157142639,857.7642052173615,37512,AT-MB-PC-EOS,127.0.0.1,857.7642052173615,11,64,3,0.0,0.0001
0.08,0.93,0.33,0.78,0.21215318257317822,36.0660410374403,0.07,0.93,0.28,0.76,0.22426129579544068,5.606532394886017,1712505419,,False,12,3c7b85ae,2024-04-07_17-56-59,76.61270070075989,934.3769059181213,37512,AT-MB-PC-EOS,127.0.0.1,934.3769059181213,12,64,3,0.0,0.0001
0.08,0.93,0.34,0.8,0.20857965889222482,35.45854201167822,0.07,0.93,0.31,0.77,0.20848405867815017,5.212101466953754,1712505497,,False,13,3c7b85ae,2024-04-07_17-58-17,78.41886520385742,1012.7957711219788,37512,AT-MB-PC-EOS,127.0.0.1,1012.7957711219788,13,64,3,0.0,0.0001
0.08,0.93,0.37,0.81,0.2051473497029613,34.87504944950342,0.07,0.93,0.27,0.75,0.22387608706951143,5.596902176737785,1712505573,,False,14,3c7b85ae,2024-04-07_17-59-33,75.524094581604,1088.3198657035828,37512,AT-MB-PC-EOS,127.0.0.1,1088.3198657035828,14,64,3,0.0,0.0001
0.08,0.93,0.39,0.82,0.19908359743216458,33.84421156346798,0.07,0.93,0.3,0.76,0.2208051109313965,5.520127773284912,1712505651,,True,15,3c7b85ae,2024-04-07_18-00-51,78.26807117462158,1166.5879368782043,37512,AT-MB-PC-EOS,127.0.0.1,1166.5879368782043,15,64,3,0.0,0.0001
