train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.59,0.08,0.49,0.6841179588261772,116.30005300045013,0.07,0.59,0.08,0.48,0.6954775953292847,17.386939883232117,1712485746,,False,1,a9d7c7e9,2024-04-07_12-29-06,32.698142290115356,32.698142290115356,41056,AT-MB-PC-EOS,127.0.0.1,32.698142290115356,1,64,3,0.5,1e-05
0.08,0.61,0.08,0.47,0.6668139247333302,113.35836720466614,0.07,0.64,0.08,0.49,0.6493439817428589,16.233599543571472,1712485814,,False,2,a9d7c7e9,2024-04-07_12-30-14,58.19005751609802,90.88819980621338,41056,AT-MB-PC-EOS,127.0.0.1,90.88819980621338,2,64,3,0.5,1e-05
0.08,0.66,0.08,0.46,0.6223138413008522,105.79335302114487,0.07,0.7,0.09,0.47,0.5887042999267578,14.717607498168945,1712485889,,False,3,a9d7c7e9,2024-04-07_12-31-29,75.14559412002563,166.033793926239,41056,AT-MB-PC-EOS,127.0.0.1,166.033793926239,3,64,3,0.5,1e-05
0.08,0.72,0.08,0.44,0.5689238448353374,96.71705362200737,0.07,0.78,0.08,0.46,0.5342947828769684,13.35736957192421,1712485964,,False,4,a9d7c7e9,2024-04-07_12-32-44,74.59679532051086,240.63058924674988,41056,AT-MB-PC-EOS,127.0.0.1,240.63058924674988,4,64,3,0.5,1e-05
0.08,0.79,0.07,0.44,0.5136714530341765,87.32414701581001,0.07,0.85,0.08,0.46,0.4758615171909332,11.89653792977333,1712486038,,False,5,a9d7c7e9,2024-04-07_12-33-58,74.89633846282959,315.52692770957947,41056,AT-MB-PC-EOS,127.0.0.1,315.52692770957947,5,64,3,0.5,1e-05
0.08,0.84,0.07,0.44,0.46489880084991453,79.03279614448547,0.07,0.89,0.07,0.44,0.42730289697647095,10.682572424411774,1712486113,,False,6,a9d7c7e9,2024-04-07_12-35-13,74.90655636787415,390.4334840774536,41056,AT-MB-PC-EOS,127.0.0.1,390.4334840774536,6,64,3,0.5,1e-05
0.08,0.87,0.07,0.43,0.4247557424447116,72.20847621560097,0.07,0.9,0.07,0.45,0.39308353543281555,9.827088385820389,1712486186,,False,7,a9d7c7e9,2024-04-07_12-36-26,73.08035516738892,463.51383924484253,41056,AT-MB-PC-EOS,127.0.0.1,463.51383924484253,7,64,3,0.5,1e-05
0.08,0.89,0.07,0.44,0.3960326901253532,67.32555732131004,0.07,0.91,0.07,0.46,0.36763465881347657,9.190866470336914,1712486263,,False,8,a9d7c7e9,2024-04-07_12-37-43,76.09107208251953,539.6049113273621,41056,AT-MB-PC-EOS,127.0.0.1,539.6049113273621,8,64,3,0.5,1e-05
0.08,0.9,0.08,0.47,0.3750045712379848,63.75077711045742,0.07,0.92,0.08,0.48,0.3466169112920761,8.665422782301903,1712486336,,False,9,a9d7c7e9,2024-04-07_12-38-56,73.76645278930664,613.3713641166687,41056,AT-MB-PC-EOS,127.0.0.1,613.3713641166687,9,64,3,0.5,1e-05
0.08,0.9,0.08,0.49,0.3588818518554463,61.00991481542587,0.07,0.91,0.09,0.52,0.3439265418052673,8.598163545131683,1712486412,,False,10,a9d7c7e9,2024-04-07_12-40-12,76.04856324195862,689.4199273586273,41056,AT-MB-PC-EOS,127.0.0.1,689.4199273586273,10,64,3,0.5,1e-05
0.08,0.91,0.09,0.52,0.33987427388920505,57.778626561164856,0.07,0.91,0.1,0.55,0.3234619230031967,8.086548075079918,1712486481,,False,11,a9d7c7e9,2024-04-07_12-41-21,68.92570042610168,758.345627784729,41056,AT-MB-PC-EOS,127.0.0.1,758.345627784729,11,64,3,0.5,1e-05
0.08,0.91,0.1,0.54,0.3266114907229648,55.523953422904015,0.07,0.92,0.1,0.55,0.31202651977539064,7.800662994384766,1712486572,,False,12,a9d7c7e9,2024-04-07_12-42-52,71.69953155517578,830.0451593399048,41056,AT-MB-PC-EOS,127.0.0.1,830.0451593399048,12,64,3,0.5,1e-05
0.08,0.91,0.1,0.55,0.3202709777390256,54.446066215634346,0.07,0.92,0.11,0.56,0.2988979971408844,7.47244992852211,1712486646,,False,13,a9d7c7e9,2024-04-07_12-44-06,74.69235849380493,904.7375178337097,41056,AT-MB-PC-EOS,127.0.0.1,904.7375178337097,13,64,3,0.5,1e-05
0.08,0.91,0.11,0.56,0.3108737147029708,52.84853149950504,0.07,0.92,0.11,0.57,0.3032742726802826,7.581856817007065,1712486720,,False,14,a9d7c7e9,2024-04-07_12-45-20,73.55870294570923,978.296220779419,41056,AT-MB-PC-EOS,127.0.0.1,978.296220779419,14,64,3,0.5,1e-05
0.08,0.92,0.11,0.58,0.3022365917177761,51.38022059202194,0.07,0.92,0.12,0.59,0.2922737103700638,7.3068427592515945,1712486798,,False,15,a9d7c7e9,2024-04-07_12-46-38,78.38774585723877,1056.6839666366577,41056,AT-MB-PC-EOS,127.0.0.1,1056.6839666366577,15,64,3,0.5,1e-05
0.08,0.92,0.12,0.59,0.2967982818098629,50.4557079076767,0.07,0.92,0.14,0.59,0.2935695493221283,7.339238733053207,1712486872,,False,16,a9d7c7e9,2024-04-07_12-47-52,74.11428451538086,1130.7982511520386,41056,AT-MB-PC-EOS,127.0.0.1,1130.7982511520386,16,64,3,0.5,1e-05
0.08,0.92,0.13,0.6,0.2891019971931682,49.14733952283859,0.07,0.92,0.14,0.59,0.27995553851127625,6.998888462781906,1712486944,,False,17,a9d7c7e9,2024-04-07_12-49-04,71.21404337882996,1202.0122945308685,41056,AT-MB-PC-EOS,127.0.0.1,1202.0122945308685,17,64,3,0.5,1e-05
0.08,0.92,0.14,0.6,0.28615295816870295,48.646002888679504,0.07,0.92,0.15,0.6,0.27964568853378297,6.991142213344574,1712487019,,False,18,a9d7c7e9,2024-04-07_12-50-19,74.836678981781,1276.8489735126495,41056,AT-MB-PC-EOS,127.0.0.1,1276.8489735126495,18,64,3,0.5,1e-05
0.08,0.92,0.15,0.61,0.2790549269493888,47.4393375813961,0.07,0.93,0.16,0.61,0.2722192680835724,6.80548170208931,1712487095,,False,19,a9d7c7e9,2024-04-07_12-51-35,76.17111349105835,1353.0200870037079,41056,AT-MB-PC-EOS,127.0.0.1,1353.0200870037079,19,64,3,0.5,1e-05
0.08,0.92,0.15,0.61,0.27637096222709207,46.98306357860565,0.07,0.93,0.16,0.62,0.2706586229801178,6.766465574502945,1712487168,,False,20,a9d7c7e9,2024-04-07_12-52-48,73.20436120033264,1426.2244482040405,41056,AT-MB-PC-EOS,127.0.0.1,1426.2244482040405,20,64,3,0.5,1e-05
