train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.59,0.08,0.45,0.7297217197277966,124.05269235372543,0.07,0.59,0.08,0.44,0.7408803224563598,18.522008061408997,1712295888,,False,1,e7c66b51,2024-04-05_07-44-48,84.10798907279968,84.10798907279968,32820,AT-MB-PC-EOS,127.0.0.1,84.10798907279968,1,64,3,0.0,0.0001
0.08,0.78,0.08,0.46,0.5246030178140192,89.18251302838326,0.07,0.87,0.09,0.49,0.42264919996261596,10.5662299990654,1712295960,,False,2,e7c66b51,2024-04-05_07-46-00,72.66500568389893,156.7729947566986,32820,AT-MB-PC-EOS,127.0.0.1,156.7729947566986,2,64,3,0.0,0.0001
0.08,0.9,0.1,0.52,0.37137755576302023,63.13418447971344,0.07,0.92,0.12,0.55,0.3286705601215363,8.216764003038406,1712296035,,False,3,e7c66b51,2024-04-05_07-47-15,74.89331364631653,231.66630840301514,32820,AT-MB-PC-EOS,127.0.0.1,231.66630840301514,3,64,3,0.0,0.0001
0.08,0.92,0.14,0.58,0.30822714812615337,52.398615181446075,0.07,0.92,0.13,0.56,0.2985656970739365,7.464142426848412,1712296109,,False,4,e7c66b51,2024-04-05_07-48-29,73.30131983757019,304.9676282405853,32820,AT-MB-PC-EOS,127.0.0.1,304.9676282405853,4,64,3,0.0,0.0001
0.08,0.92,0.17,0.62,0.2803086303612765,47.65246716141701,0.07,0.93,0.18,0.61,0.2694505017995834,6.736262544989586,1712296183,,False,5,e7c66b51,2024-04-05_07-49-43,74.28005290031433,379.24768114089966,32820,AT-MB-PC-EOS,127.0.0.1,379.24768114089966,5,64,3,0.0,0.0001
0.08,0.92,0.2,0.66,0.25900441184639933,44.03075001388788,0.07,0.92,0.22,0.67,0.2620002692937851,6.550006732344627,1712296257,,False,6,e7c66b51,2024-04-05_07-50-57,73.71400094032288,452.96168208122253,32820,AT-MB-PC-EOS,127.0.0.1,452.96168208122253,6,64,3,0.0,0.0001
0.08,0.92,0.22,0.69,0.24683125913143159,41.96131405234337,0.07,0.93,0.24,0.69,0.23790542602539064,5.947635650634766,1712296331,,False,7,e7c66b51,2024-04-05_07-52-11,74.21194124221802,527.1736233234406,32820,AT-MB-PC-EOS,127.0.0.1,527.1736233234406,7,64,3,0.0,0.0001
0.08,0.92,0.25,0.72,0.23868076433153712,40.57572993636131,0.07,0.92,0.25,0.73,0.24801330685615539,6.200332671403885,1712296404,,False,8,e7c66b51,2024-04-05_07-53-24,73.72517395019531,600.8987972736359,32820,AT-MB-PC-EOS,127.0.0.1,600.8987972736359,8,64,3,0.0,0.0001
0.08,0.93,0.28,0.74,0.2282183238250368,38.79711505025625,0.07,0.93,0.25,0.73,0.22754061460494995,5.688515365123749,1712296479,,False,9,e7c66b51,2024-04-05_07-54-39,74.40750193595886,675.3062992095947,32820,AT-MB-PC-EOS,127.0.0.1,675.3062992095947,9,64,3,0.0,0.0001
0.08,0.93,0.29,0.75,0.22291220347670948,37.89507459104061,0.07,0.93,0.29,0.77,0.22749883711338043,5.687470927834511,1712296549,,False,10,e7c66b51,2024-04-05_07-55-49,69.70838952064514,745.0146887302399,32820,AT-MB-PC-EOS,127.0.0.1,745.0146887302399,10,64,3,0.0,0.0001
