train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,test_accuracy-0_0,test_accuracy-0_5,test_ap,test_auc,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/parameter/dropout,config/model/modules/1/times,config/optimizer/base_learning_rate
0.08,0.49,0.09,0.51,0.7999420337817248,135.99014574289322,0.07,0.49,0.09,0.5,0.7909328603744507,19.773321509361267,0.08,0.49,0.1,0.49,0.7885048803018064,38.63673913478851,1713085269,,False,1,1877407c,2024-04-14_11-01-09,134.56041479110718,134.56041479110718,30092,AT-MB-PC-EOS,127.0.0.1,134.56041479110718,1,256,0.2,6,0.001
0.08,0.83,0.1,0.55,0.41111897878787096,69.89022639393806,0.07,0.91,0.12,0.57,0.3024666118621826,7.561665296554565,0.08,0.9,0.12,0.55,0.32522658243471264,15.936102539300919,1713085368,,False,2,1877407c,2024-04-14_11-02-48,98.94846987724304,233.50888466835022,30092,AT-MB-PC-EOS,127.0.0.1,233.50888466835022,2,256,0.2,6,0.001
0.08,0.92,0.16,0.61,0.2834292619543917,48.18297453224659,0.07,0.92,0.21,0.68,0.25724659621715545,6.431164905428886,0.08,0.92,0.21,0.66,0.29760633013686355,14.582710176706314,1713085467,,False,3,1877407c,2024-04-14_11-04-27,98.87993001937866,332.3888146877289,30092,AT-MB-PC-EOS,127.0.0.1,332.3888146877289,3,256,0.2,6,0.001
0.08,0.92,0.2,0.68,0.2543178192394621,43.23402927070856,0.07,0.9,0.18,0.66,0.2820769256353378,7.051923140883446,0.08,0.9,0.18,0.64,0.30163928653512684,14.780325040221214,1713085566,,False,4,1877407c,2024-04-14_11-06-06,98.88573503494263,431.2745497226715,30092,AT-MB-PC-EOS,127.0.0.1,431.2745497226715,4,256,0.2,6,0.001
0.08,0.92,0.22,0.71,0.24258575132664512,41.23957772552967,0.07,0.91,0.2,0.66,0.3015025007724762,7.537562519311905,0.08,0.9,0.2,0.66,0.3042719896350588,14.909327492117882,1713085665,,False,5,1877407c,2024-04-14_11-07-45,98.91033554077148,530.184885263443,30092,AT-MB-PC-EOS,127.0.0.1,530.184885263443,5,256,0.2,6,0.001
0.08,0.92,0.24,0.72,0.23897322994821213,40.62544909119606,0.07,0.93,0.24,0.7,0.2542024201154709,6.355060502886772,0.08,0.92,0.25,0.7,0.26625930837222506,13.046706110239029,1713085764,,False,6,1877407c,2024-04-14_11-09-24,98.9604172706604,629.1453025341034,30092,AT-MB-PC-EOS,127.0.0.1,629.1453025341034,6,256,0.2,6,0.001
0.08,0.92,0.25,0.73,0.23361687375342144,39.714868538081646,0.07,0.93,0.26,0.74,0.22296459168195726,5.574114792048931,0.08,0.92,0.22,0.73,0.2455437152969594,12.03164204955101,1713085862,,False,7,1877407c,2024-04-14_11-11-02,98.69918608665466,727.844488620758,30092,AT-MB-PC-EOS,127.0.0.1,727.844488620758,7,256,0.2,6,0.001
0.08,0.92,0.26,0.75,0.2300557507749866,39.10947763174772,0.07,0.93,0.25,0.69,0.25343719094991685,6.335929773747921,0.08,0.92,0.26,0.73,0.2638238648674926,12.927369378507137,1713085962,,False,8,1877407c,2024-04-14_11-12-42,99.47844934463501,827.3229379653931,30092,AT-MB-PC-EOS,127.0.0.1,827.3229379653931,8,256,0.2,6,0.001
0.08,0.93,0.28,0.76,0.22576732477721045,38.38044521212578,0.07,0.93,0.26,0.73,0.23146888226270676,5.786722056567669,0.08,0.92,0.28,0.75,0.23528953717679393,11.529187321662903,1713086061,,False,9,1877407c,2024-04-14_11-14-21,99.53151941299438,926.8544573783875,30092,AT-MB-PC-EOS,127.0.0.1,926.8544573783875,9,256,0.2,6,0.001
0.08,0.93,0.27,0.74,0.23077612168648665,39.23194068670273,0.07,0.92,0.27,0.73,0.24522103369235992,6.130525842308998,0.08,0.92,0.28,0.75,0.24562392672713923,12.035572409629822,1713086161,,False,10,1877407c,2024-04-14_11-16-01,99.16042637825012,1026.0148837566376,30092,AT-MB-PC-EOS,127.0.0.1,1026.0148837566376,10,256,0.2,6,0.001
0.08,0.93,0.28,0.75,0.2243184737422887,38.13414053618908,0.07,0.93,0.28,0.76,0.22663263082504273,5.665815770626068,0.08,0.92,0.3,0.75,0.23892638208914777,11.70739272236824,1713086260,,False,11,1877407c,2024-04-14_11-17-40,99.1445004940033,1125.1593842506409,30092,AT-MB-PC-EOS,127.0.0.1,1125.1593842506409,11,256,0.2,6,0.001
0.08,0.93,0.29,0.77,0.2198469699743916,37.37398489564657,0.07,0.93,0.27,0.73,0.22745980441570282,5.6864951103925705,0.08,0.92,0.31,0.73,0.24130933138788963,11.824157238006592,1713086359,,False,12,1877407c,2024-04-14_11-19-19,99.00990200042725,1224.1692862510681,30092,AT-MB-PC-EOS,127.0.0.1,1224.1692862510681,12,256,0.2,6,0.001
0.08,0.93,0.31,0.78,0.21448085351901897,36.46174509823322,0.07,0.93,0.29,0.75,0.24367741227149964,6.091935306787491,0.08,0.92,0.33,0.76,0.2631665597460708,12.895161427557468,1713086458,,False,13,1877407c,2024-04-14_11-20-58,98.80550169944763,1322.9747879505157,30092,AT-MB-PC-EOS,127.0.0.1,1322.9747879505157,13,256,0.2,6,0.001
0.08,0.93,0.31,0.78,0.21593613878769033,36.709143593907356,0.07,0.93,0.29,0.75,0.22121552705764772,5.530388176441193,0.08,0.92,0.31,0.75,0.23547564386105052,11.538306549191475,1713086556,,False,14,1877407c,2024-04-14_11-22-36,98.816899061203,1421.7916870117188,30092,AT-MB-PC-EOS,127.0.0.1,1421.7916870117188,14,256,0.2,6,0.001
0.08,0.93,0.31,0.78,0.21609472724444725,36.736103631556034,0.07,0.93,0.32,0.77,0.2179356461763382,5.448391154408455,0.08,0.93,0.35,0.78,0.22819655373388406,11.18163113296032,1713086655,,False,15,1877407c,2024-04-14_11-24-15,98.74350190162659,1520.5351889133453,30092,AT-MB-PC-EOS,127.0.0.1,1520.5351889133453,15,256,0.2,6,0.001
0.08,0.93,0.34,0.79,0.20996256466297541,35.69363599270582,0.07,0.93,0.31,0.76,0.213823923766613,5.345598094165325,0.08,0.93,0.32,0.77,0.22337559276089378,10.945404045283794,1713086754,,False,16,1877407c,2024-04-14_11-25-54,98.45084619522095,1618.9860351085663,30092,AT-MB-PC-EOS,127.0.0.1,1618.9860351085663,16,256,0.2,6,0.001
0.08,0.93,0.34,0.8,0.20744604047606974,35.265826880931854,0.07,0.93,0.31,0.78,0.2104678338766098,5.261695846915245,0.08,0.93,0.35,0.79,0.2252719224411614,11.038324199616909,1713086852,,False,17,1877407c,2024-04-14_11-27-32,98.80273771286011,1717.7887728214264,30092,AT-MB-PC-EOS,127.0.0.1,1717.7887728214264,17,256,0.2,6,0.001
0.08,0.93,0.34,0.79,0.20814135293750202,35.38402999937534,0.07,0.93,0.3,0.75,0.22344761550426484,5.586190387606621,0.08,0.93,0.33,0.76,0.23682701329187472,11.60452365130186,1713086951,,False,18,1877407c,2024-04-14_11-29-11,98.27454710006714,1816.0633199214935,30092,AT-MB-PC-EOS,127.0.0.1,1816.0633199214935,18,256,0.2,6,0.001
0.08,0.93,0.34,0.79,0.2077259853043977,35.31341750174761,0.07,0.93,0.3,0.76,0.22294966369867325,5.573741592466831,0.08,0.93,0.34,0.77,0.22851860523223877,11.1974116563797,1713087049,,False,19,1877407c,2024-04-14_11-30-49,98.46169471740723,1914.5250146389008,30092,AT-MB-PC-EOS,127.0.0.1,1914.5250146389008,19,256,0.2,6,0.001
0.08,0.93,0.37,0.81,0.20094524069744,34.1606909185648,0.07,0.93,0.35,0.79,0.20963547229766846,5.240886807441711,0.08,0.92,0.36,0.79,0.2230356089314636,10.928744837641716,1713087148,,False,20,1877407c,2024-04-14_11-32-28,98.66588568687439,2013.1909003257751,30092,AT-MB-PC-EOS,127.0.0.1,2013.1909003257751,20,256,0.2,6,0.001
0.08,0.93,0.39,0.82,0.19642524035537945,33.392290860414505,0.07,0.93,0.34,0.77,0.220990631878376,5.5247657969594,0.08,0.93,0.37,0.79,0.23132592591704154,11.334970369935036,1713087246,,False,21,1877407c,2024-04-14_11-34-06,98.4975528717041,2111.6884531974792,30092,AT-MB-PC-EOS,127.0.0.1,2111.6884531974792,21,256,0.2,6,0.001
0.08,0.93,0.38,0.82,0.19836074591559522,33.72132680565119,0.07,0.93,0.34,0.79,0.20858715772628783,5.214678943157196,0.08,0.93,0.38,0.8,0.21480907986358722,10.525644913315773,1713087345,,False,22,1877407c,2024-04-14_11-35-45,98.29856729507446,2209.9870204925537,30092,AT-MB-PC-EOS,127.0.0.1,2209.9870204925537,22,256,0.2,6,0.001
0.08,0.93,0.38,0.82,0.1981535607839332,33.68610533326864,0.07,0.93,0.32,0.77,0.22408432960510255,5.6021082401275635,0.08,0.93,0.34,0.76,0.23054011424585263,11.29646559804678,1713087443,,False,23,1877407c,2024-04-14_11-37-23,98.55893206596375,2308.5459525585175,30092,AT-MB-PC-EOS,127.0.0.1,2308.5459525585175,23,256,0.2,6,0.001
0.08,0.93,0.39,0.82,0.1959590528817738,33.31303898990154,0.07,0.93,0.33,0.78,0.20601633697748184,5.150408424437046,0.08,0.93,0.38,0.78,0.2183324594278725,10.698290511965752,1713087541,,False,24,1877407c,2024-04-14_11-39-01,98.26876020431519,2406.8147127628326,30092,AT-MB-PC-EOS,127.0.0.1,2406.8147127628326,24,256,0.2,6,0.001
0.08,0.93,0.41,0.83,0.1945781965027837,33.07829340547323,0.07,0.93,0.35,0.78,0.2110021048784256,5.27505262196064,0.08,0.93,0.4,0.81,0.2104379375066076,10.311458937823772,1713087640,,False,25,1877407c,2024-04-14_11-40-40,98.19608044624329,2505.010793209076,30092,AT-MB-PC-EOS,127.0.0.1,2505.010793209076,25,256,0.2,6,0.001
0.08,0.93,0.41,0.83,0.19246622192509033,32.71925772726536,0.07,0.93,0.36,0.78,0.2098555940389633,5.246389850974083,0.08,0.93,0.39,0.79,0.210716791146872,10.325122766196728,1713087739,,False,26,1877407c,2024-04-14_11-42-19,99.0614013671875,2604.0721945762634,30092,AT-MB-PC-EOS,127.0.0.1,2604.0721945762634,26,256,0.2,6,0.001
0.08,0.93,0.42,0.84,0.18985927600194427,32.276076920330524,0.07,0.93,0.36,0.77,0.21143135964870452,5.285783991217613,0.08,0.93,0.4,0.8,0.2185148312425127,10.707226730883121,1713087837,,False,27,1877407c,2024-04-14_11-43-57,98.3394341468811,2702.4116287231445,30092,AT-MB-PC-EOS,127.0.0.1,2702.4116287231445,27,256,0.2,6,0.001
0.08,0.93,0.42,0.83,0.19188771743108243,32.620911963284016,0.07,0.93,0.36,0.78,0.21093649566173553,5.273412391543388,0.08,0.93,0.39,0.79,0.21926113659021806,10.743795692920685,1713087935,,False,28,1877407c,2024-04-14_11-45-35,97.90597105026245,2800.317599773407,30092,AT-MB-PC-EOS,127.0.0.1,2800.317599773407,28,256,0.2,6,0.001
0.08,0.93,0.44,0.84,0.18827850389129974,32.00734566152096,0.07,0.93,0.37,0.78,0.19961540937423705,4.9903852343559265,0.08,0.93,0.42,0.81,0.2081880735195413,10.201215602457523,1713088033,,False,29,1877407c,2024-04-14_11-47-13,97.67269945144653,2897.9902992248535,30092,AT-MB-PC-EOS,127.0.0.1,2897.9902992248535,29,256,0.2,6,0.001
