train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.58,0.09,0.48,0.8690592054058524,147.7400649189949,0.07,0.57,0.09,0.47,0.8555116033554078,21.387790083885193,1713244963,,False,1,f5795400,2024-04-16_07-22-43,77.32664966583252,77.32664966583252,22476,AT-MB-PC-EOS,127.0.0.1,77.32664966583252,1,64,3,0.5,1e-05
0.08,0.6,0.09,0.47,0.8176591266604031,139.00205153226852,0.07,0.6,0.09,0.47,0.7385060286521912,18.46265071630478,1713245026,,False,2,f5795400,2024-04-16_07-23-46,63.113189935684204,140.43983960151672,22476,AT-MB-PC-EOS,127.0.0.1,140.43983960151672,2,64,3,0.5,1e-05
0.08,0.64,0.08,0.46,0.6900662618524888,117.3112645149231,0.07,0.72,0.07,0.44,0.5856197214126587,14.640493035316467,1713245089,,False,3,f5795400,2024-04-16_07-24-49,63.12433743476868,203.5641770362854,22476,AT-MB-PC-EOS,127.0.0.1,203.5641770362854,3,64,3,0.5,1e-05
0.08,0.74,0.07,0.44,0.5693404504481484,96.78787657618523,0.07,0.82,0.07,0.44,0.4912822306156158,12.282055765390396,1713245154,,False,4,f5795400,2024-04-16_07-25-54,64.57505822181702,268.1392352581024,22476,AT-MB-PC-EOS,127.0.0.1,268.1392352581024,4,64,3,0.5,1e-05
0.08,0.81,0.08,0.45,0.49399051000090205,83.97838670015335,0.07,0.85,0.07,0.45,0.4436939346790314,11.092348366975784,1713245217,,False,5,f5795400,2024-04-16_07-26-57,62.81817150115967,330.9574067592621,22476,AT-MB-PC-EOS,127.0.0.1,330.9574067592621,5,64,3,0.5,1e-05
0.08,0.85,0.08,0.46,0.44360902467194724,75.41353419423103,0.07,0.88,0.07,0.46,0.4040850365161896,10.10212591290474,1713245281,,False,6,f5795400,2024-04-16_07-28-01,64.40935015678406,395.36675691604614,22476,AT-MB-PC-EOS,127.0.0.1,395.36675691604614,6,64,3,0.5,1e-05
0.08,0.87,0.08,0.48,0.4111545552225674,69.89627438783646,0.07,0.89,0.08,0.48,0.3932833087444305,9.832082718610764,1713245345,,False,7,f5795400,2024-04-16_07-29-05,64.0929503440857,459.45970726013184,22476,AT-MB-PC-EOS,127.0.0.1,459.45970726013184,7,64,3,0.5,1e-05
0.08,0.88,0.09,0.49,0.3873746793059742,65.85369548201561,0.07,0.9,0.1,0.51,0.3511632013320923,8.779080033302307,1713245408,,False,8,f5795400,2024-04-16_07-30-08,63.12123990058899,522.5809471607208,22476,AT-MB-PC-EOS,127.0.0.1,522.5809471607208,8,64,3,0.5,1e-05
0.08,0.89,0.1,0.51,0.3660616744967068,62.230484664440155,0.07,0.91,0.11,0.52,0.33819188833236696,8.454797208309174,1713245473,,False,9,f5795400,2024-04-16_07-31-13,64.48701524734497,587.0679624080658,22476,AT-MB-PC-EOS,127.0.0.1,587.0679624080658,9,64,3,0.5,1e-05
0.08,0.9,0.11,0.53,0.3462717106237131,58.86619080603123,0.07,0.91,0.11,0.55,0.32501793384552,8.125448346138,1713245543,,False,10,f5795400,2024-04-16_07-32-23,70.07494258880615,657.142904996872,22476,AT-MB-PC-EOS,127.0.0.1,657.142904996872,10,64,3,0.5,1e-05
0.08,0.91,0.12,0.54,0.3325887318919687,56.540084421634674,0.07,0.92,0.11,0.55,0.30846307158470154,7.7115767896175385,1713245614,,False,11,f5795400,2024-04-16_07-33-34,70.7733805179596,727.9162855148315,22476,AT-MB-PC-EOS,127.0.0.1,727.9162855148315,11,64,3,0.5,1e-05
