train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.56,0.09,0.51,1.0441008469637703,177.49714398384094,0.07,0.56,0.09,0.5,1.1143486499786377,27.858716249465942,1712491243,,False,1,2afbb843,2024-04-07_14-00-43,110.2820999622345,110.2820999622345,9840,AT-MB-PC-E13,127.0.0.1,110.2820999622345,1,64,3,0.0,0.0001
0.08,0.79,0.09,0.51,0.5197049317991033,88.34983840584755,0.07,0.89,0.1,0.53,0.36841773986816406,9.210443496704102,1712491349,,False,2,2afbb843,2024-04-07_14-02-29,105.89186501502991,216.1739649772644,9840,AT-MB-PC-E13,127.0.0.1,216.1739649772644,2,64,3,0.0,0.0001
0.08,0.91,0.1,0.53,0.3365555888589691,57.21445010602474,0.07,0.92,0.1,0.55,0.305481584072113,7.637039601802826,1712491454,,False,3,2afbb843,2024-04-07_14-04-14,104.65560269355774,320.82956767082214,9840,AT-MB-PC-E13,127.0.0.1,320.82956767082214,3,64,3,0.0,0.0001
0.08,0.92,0.14,0.58,0.29336417676771387,49.87191005051136,0.07,0.92,0.14,0.56,0.2840957307815552,7.102393269538879,1712491561,,False,4,2afbb843,2024-04-07_14-06-01,106.6991057395935,427.52867341041565,9840,AT-MB-PC-E13,127.0.0.1,427.52867341041565,4,64,3,0.0,0.0001
0.08,0.92,0.18,0.61,0.27420173690599553,46.61429527401924,0.07,0.93,0.16,0.6,0.2691798913478851,6.729497283697128,1712491665,,False,5,2afbb843,2024-04-07_14-07-45,104.4019284248352,531.9306018352509,9840,AT-MB-PC-E13,127.0.0.1,531.9306018352509,5,64,3,0.0,0.0001
0.08,0.92,0.22,0.66,0.25486315208322863,43.326735854148865,0.07,0.93,0.22,0.68,0.2567358374595642,6.418395936489105,1712491770,,False,6,2afbb843,2024-04-07_14-09-30,105.33128190040588,637.2618837356567,9840,AT-MB-PC-E13,127.0.0.1,637.2618837356567,6,64,3,0.0,0.0001
0.08,0.92,0.23,0.7,0.24426358372849577,41.52480923384428,0.07,0.93,0.21,0.69,0.240324923992157,6.008123099803925,1712491877,,False,7,2afbb843,2024-04-07_14-11-17,106.33648920059204,743.5983729362488,9840,AT-MB-PC-E13,127.0.0.1,743.5983729362488,7,64,3,0.0,0.0001
0.08,0.92,0.25,0.72,0.23741107022061067,40.359881937503815,0.07,0.92,0.23,0.7,0.24789549946784972,6.197387486696243,1712491983,,False,8,2afbb843,2024-04-07_14-13-03,105.77270817756653,849.3710811138153,9840,AT-MB-PC-E13,127.0.0.1,849.3710811138153,8,64,3,0.0,0.0001
0.08,0.93,0.29,0.75,0.22695173257414034,38.581794537603855,0.07,0.92,0.22,0.69,0.24050093114376067,6.012523278594017,1712492086,,False,9,2afbb843,2024-04-07_14-14-46,103.45021891593933,952.8213000297546,9840,AT-MB-PC-E13,127.0.0.1,952.8213000297546,9,64,3,0.0,0.0001
0.08,0.93,0.29,0.75,0.22544904544072994,38.32633772492409,0.07,0.93,0.29,0.75,0.2342284917831421,5.855712294578552,1712492191,,False,10,2afbb843,2024-04-07_14-16-31,104.88792157173157,1057.7092216014862,9840,AT-MB-PC-E13,127.0.0.1,1057.7092216014862,10,64,3,0.0,0.0001
0.08,0.93,0.3,0.76,0.22044569464290845,37.475768089294434,0.07,0.93,0.29,0.76,0.21791929841041566,5.447982460260391,1712492297,,False,11,2afbb843,2024-04-07_14-18-17,106.22515273094177,1163.934374332428,9840,AT-MB-PC-E13,127.0.0.1,1163.934374332428,11,64,3,0.0,0.0001
0.08,0.93,0.31,0.77,0.21682520613950843,36.86028504371643,0.07,0.93,0.3,0.77,0.21797600090503694,5.449400022625923,1712492401,,False,12,2afbb843,2024-04-07_14-20-01,103.46050882339478,1267.3948831558228,9840,AT-MB-PC-E13,127.0.0.1,1267.3948831558228,12,64,3,0.0,0.0001
0.08,0.93,0.33,0.79,0.21309227996012745,36.225687593221664,0.07,0.93,0.29,0.76,0.22119232147932053,5.529808036983013,1712492507,,False,13,2afbb843,2024-04-07_14-21-47,106.46872186660767,1373.8636050224304,9840,AT-MB-PC-E13,127.0.0.1,1373.8636050224304,13,64,3,0.0,0.0001
0.08,0.93,0.36,0.8,0.20818201272803194,35.39094216376543,0.07,0.93,0.28,0.73,0.24044595181941986,6.0111487954854965,1712492612,,False,14,2afbb843,2024-04-07_14-23-32,104.94635844230652,1478.809963464737,9840,AT-MB-PC-E13,127.0.0.1,1478.809963464737,14,64,3,0.0,0.0001
0.08,0.93,0.37,0.8,0.20417275604079752,34.70936852693558,0.07,0.93,0.26,0.7,0.25933866620063784,6.483466655015945,1712492717,,True,15,2afbb843,2024-04-07_14-25-17,104.8101224899292,1583.6200859546661,9840,AT-MB-PC-E13,127.0.0.1,1583.6200859546661,15,64,3,0.0,0.0001
