train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.5,0.11,0.52,1.0665527624242446,181.31396961212158,0.07,0.5,0.13,0.53,1.0807356882095336,27.018392205238342,1712492925,,False,1,519191da,2024-04-07_14-28-45,207.6442835330963,207.6442835330963,9840,AT-MB-PC-E13,127.0.0.1,207.6442835330963,1,64,6,0.0,0.001
0.08,0.86,0.11,0.55,0.3904631950399455,66.37874315679073,0.07,0.91,0.13,0.54,0.3100293481349945,7.750733703374863,1712493124,,False,2,519191da,2024-04-07_14-32-04,199.6755871772766,407.3198707103729,9840,AT-MB-PC-E13,127.0.0.1,407.3198707103729,2,64,6,0.0,0.001
0.08,0.91,0.17,0.62,0.2943402657614035,50.03784517943859,0.07,0.93,0.2,0.66,0.2896273183822632,7.24068295955658,1712493320,,False,3,519191da,2024-04-07_14-35-20,196.08542561531067,603.4052963256836,9840,AT-MB-PC-E13,127.0.0.1,603.4052963256836,3,64,6,0.0,0.001
0.08,0.92,0.2,0.68,0.2580905175384353,43.875387981534004,0.07,0.92,0.26,0.74,0.2589567095041275,6.473917737603188,1712493520,,False,4,519191da,2024-04-07_14-38-40,199.45487117767334,802.8601675033569,9840,AT-MB-PC-E13,127.0.0.1,802.8601675033569,4,64,6,0.0,0.001
0.08,0.92,0.23,0.71,0.2458111443940331,41.787894546985626,0.07,0.92,0.22,0.71,0.25342853605747223,6.335713401436806,1712493718,,False,5,519191da,2024-04-07_14-41-58,197.73346853256226,1000.5936360359192,9840,AT-MB-PC-E13,127.0.0.1,1000.5936360359192,5,64,6,0.0,0.001
0.08,0.92,0.26,0.74,0.2330962705261567,39.62636598944664,0.07,0.93,0.28,0.73,0.25293911784887313,6.3234779462218285,1712493916,,False,6,519191da,2024-04-07_14-45-16,198.95928955078125,1199.5529255867004,9840,AT-MB-PC-E13,127.0.0.1,1199.5529255867004,6,64,6,0.0,0.001
0.08,0.93,0.29,0.75,0.22449906021356583,38.16484023630619,0.07,0.92,0.23,0.69,0.2691606158018112,6.7290153950452805,1712494114,,False,7,519191da,2024-04-07_14-48-34,197.89865708351135,1397.4515826702118,9840,AT-MB-PC-E13,127.0.0.1,1397.4515826702118,7,64,6,0.0,0.001
0.08,0.93,0.28,0.75,0.22539465896346988,38.31709202378988,0.07,0.93,0.28,0.72,0.26887214064598086,6.721803516149521,1712494333,,False,8,519191da,2024-04-07_14-52-13,218.49046564102173,1615.9420483112335,9840,AT-MB-PC-E13,127.0.0.1,1615.9420483112335,8,64,6,0.0,0.001
0.08,0.93,0.3,0.77,0.22177630110698587,37.7019711881876,0.07,0.93,0.31,0.75,0.22339534640312195,5.584883660078049,1712494533,,False,9,519191da,2024-04-07_14-55-33,199.90861892700195,1815.8506672382355,9840,AT-MB-PC-E13,127.0.0.1,1815.8506672382355,9,64,6,0.0,0.001
0.08,0.93,0.32,0.78,0.21418815110536182,36.41198568791151,0.07,0.93,0.33,0.78,0.20836077645421028,5.209019411355257,1712494728,,False,10,519191da,2024-04-07_14-58-48,195.4195008277893,2011.2701680660248,9840,AT-MB-PC-E13,127.0.0.1,2011.2701680660248,10,64,6,0.0,0.001
0.08,0.93,0.32,0.78,0.21738090160138468,36.95475327223539,0.07,0.92,0.22,0.7,0.2522500193119049,6.306250482797623,1712494924,,False,11,519191da,2024-04-07_15-02-04,196.19558191299438,2207.465749979019,9840,AT-MB-PC-E13,127.0.0.1,2207.465749979019,11,64,6,0.0,0.001
0.08,0.93,0.33,0.78,0.21516801999772298,36.578563399612904,0.07,0.93,0.28,0.72,0.2702125561237335,6.755313903093338,1712495122,,False,12,519191da,2024-04-07_15-05-22,197.91530966758728,2405.3810596466064,9840,AT-MB-PC-E13,127.0.0.1,2405.3810596466064,12,64,6,0.0,0.001
0.08,0.93,0.36,0.8,0.20660701012786697,35.123191721737385,0.07,0.92,0.29,0.78,0.2597388154268265,6.493470385670662,1712495318,,False,13,519191da,2024-04-07_15-08-38,196.11062598228455,2601.491685628891,9840,AT-MB-PC-E13,127.0.0.1,2601.491685628891,13,64,6,0.0,0.001
0.08,0.93,0.37,0.81,0.20289662866031422,34.49242687225342,0.07,0.93,0.32,0.78,0.22585679054260255,5.6464197635650635,1712495517,,False,14,519191da,2024-04-07_15-11-57,198.10332608222961,2799.5950117111206,9840,AT-MB-PC-E13,127.0.0.1,2799.5950117111206,14,64,6,0.0,0.001
0.08,0.93,0.37,0.8,0.20377073923454564,34.64102566987276,0.07,0.93,0.34,0.75,0.2183012095093727,5.457530237734318,1712495712,,False,15,519191da,2024-04-07_15-15-12,195.21965622901917,2994.8146679401398,9840,AT-MB-PC-E13,127.0.0.1,2994.8146679401398,15,64,6,0.0,0.001
