train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.53,0.09,0.51,0.9871379424543941,167.813450217247,0.07,0.52,0.09,0.49,1.0362272620201112,25.905681550502777,1712147846,,False,1,cc24a759,2024-04-03_14-37-26,105.13025522232056,105.13025522232056,34040,AT-MB-PC-EOS,127.0.0.1,105.13025522232056,1,256,3,0.0,0.0001
0.08,0.8,0.08,0.48,0.4974855158258887,84.57253769040108,0.07,0.89,0.1,0.51,0.3653168046474457,9.132920116186142,1712147942,,False,2,cc24a759,2024-04-03_14-39-02,95.06538891792297,200.19564414024353,34040,AT-MB-PC-EOS,127.0.0.1,200.19564414024353,2,256,3,0.0,0.0001
0.08,0.91,0.11,0.54,0.3360147954786525,57.122515231370926,0.07,0.92,0.13,0.58,0.2980777245759964,7.45194311439991,1712148037,,False,3,cc24a759,2024-04-03_14-40-37,95.48563933372498,295.6812834739685,34040,AT-MB-PC-EOS,127.0.0.1,295.6812834739685,3,256,3,0.0,0.0001
0.08,0.92,0.15,0.59,0.29249093444908364,49.72345885634422,0.07,0.92,0.14,0.59,0.27662425935268403,6.9156064838171005,1712148131,,False,4,cc24a759,2024-04-03_14-42-11,93.86442852020264,389.54571199417114,34040,AT-MB-PC-EOS,127.0.0.1,389.54571199417114,4,256,3,0.0,0.0001
0.08,0.92,0.18,0.62,0.2745533759979641,46.67407391965389,0.07,0.93,0.19,0.63,0.2584705126285553,6.4617628157138824,1712148225,,False,5,cc24a759,2024-04-03_14-43-45,94.07942771911621,483.62513971328735,34040,AT-MB-PC-EOS,127.0.0.1,483.62513971328735,5,256,3,0.0,0.0001
0.08,0.92,0.22,0.67,0.25540704025941735,43.41919684410095,0.07,0.93,0.25,0.69,0.25149364173412325,6.287341043353081,1712148320,,False,6,cc24a759,2024-04-03_14-45-20,95.5134117603302,579.1385514736176,34040,AT-MB-PC-EOS,127.0.0.1,579.1385514736176,6,256,3,0.0,0.0001
0.08,0.92,0.23,0.69,0.24609342383987765,41.8358820527792,0.07,0.93,0.25,0.72,0.2283342307806015,5.7083557695150375,1712148414,,False,7,cc24a759,2024-04-03_14-46-54,93.6619873046875,672.800538778305,34040,AT-MB-PC-EOS,127.0.0.1,672.800538778305,7,256,3,0.0,0.0001
0.08,0.92,0.25,0.72,0.23790053528021363,40.44309099763632,0.07,0.91,0.23,0.69,0.27250713884830474,6.812678471207619,1712148508,,False,8,cc24a759,2024-04-03_14-48-28,93.43411064147949,766.2346494197845,34040,AT-MB-PC-EOS,127.0.0.1,766.2346494197845,8,256,3,0.0,0.0001
0.08,0.93,0.28,0.75,0.2276335590025958,38.697705030441284,0.07,0.92,0.22,0.7,0.2502346098423004,6.25586524605751,1712148604,,False,9,cc24a759,2024-04-03_14-50-04,96.01473379135132,862.2493832111359,34040,AT-MB-PC-EOS,127.0.0.1,862.2493832111359,9,256,3,0.0,0.0001
0.08,0.93,0.29,0.75,0.22427180703071986,38.12620719522238,0.07,0.92,0.27,0.77,0.22523937433958052,5.630984358489513,1712148698,,False,10,cc24a759,2024-04-03_14-51-38,94.49292135238647,956.7423045635223,34040,AT-MB-PC-EOS,127.0.0.1,956.7423045635223,10,256,3,0.0,0.0001
0.08,0.93,0.3,0.76,0.2195673990775557,37.32645784318447,0.07,0.93,0.3,0.75,0.21863042831420898,5.465760707855225,1712148792,,False,11,cc24a759,2024-04-03_14-53-12,93.79411244392395,1050.5364170074463,34040,AT-MB-PC-EOS,127.0.0.1,1050.5364170074463,11,256,3,0.0,0.0001
0.08,0.93,0.33,0.78,0.21417070920853054,36.40902056545019,0.07,0.93,0.31,0.77,0.21734640449285508,5.433660112321377,1712148886,,False,12,cc24a759,2024-04-03_14-54-46,94.24507403373718,1144.7814910411835,34040,AT-MB-PC-EOS,127.0.0.1,1144.7814910411835,12,256,3,0.0,0.0001
0.08,0.93,0.34,0.79,0.2111246283440029,35.89118681848049,0.07,0.93,0.3,0.75,0.23014868974685668,5.753717243671417,1712148982,,False,13,cc24a759,2024-04-03_14-56-22,95.50417399406433,1240.2856650352478,34040,AT-MB-PC-EOS,127.0.0.1,1240.2856650352478,13,256,3,0.0,0.0001
0.08,0.93,0.36,0.8,0.2074097311233773,35.25965429097414,0.07,0.93,0.29,0.73,0.23093488335609436,5.773372083902359,1712149075,,False,14,cc24a759,2024-04-03_14-57-55,92.86832594871521,1333.153990983963,34040,AT-MB-PC-EOS,127.0.0.1,1333.153990983963,14,256,3,0.0,0.0001
0.08,0.93,0.37,0.81,0.2026430099764291,34.44931169599295,0.07,0.93,0.27,0.74,0.23230325937271118,5.8075814843177795,1712149170,,True,15,cc24a759,2024-04-03_14-59-30,95.13633728027344,1428.2903282642365,34040,AT-MB-PC-EOS,127.0.0.1,1428.2903282642365,15,256,3,0.0,0.0001
