train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.07743,0.55826,0.08843,0.51373,0.8405306675854851,142.89021348953247,0.07345,0.55172,0.09219,0.51859,0.8732242441177368,21.83060610294342,1713866000,,False,1,20f10460,2024-04-23_11-53-20,84.55279612541199,84.55279612541199,16692,AT-MB-PC-EOS,127.0.0.1,84.55279612541199,1,64,3,0.5,1e-05
0.07743,0.58037,0.08815,0.5162,0.7825260789955364,133.02943342924118,0.07345,0.617,0.08824,0.50727,0.7356403231620788,18.39100807905197,1713866069,,False,2,20f10460,2024-04-23_11-54-29,69.66887211799622,154.2216682434082,16692,AT-MB-PC-EOS,127.0.0.1,154.2216682434082,2,64,3,0.5,1e-05
0.07743,0.64095,0.08812,0.50451,0.65952467918396,112.1191954612732,0.07345,0.73255,0.10045,0.49593,0.5850373578071594,14.625933945178986,1713866141,,False,3,20f10460,2024-04-23_11-55-41,71.92570948600769,226.1473777294159,16692,AT-MB-PC-EOS,127.0.0.1,226.1473777294159,3,64,3,0.5,1e-05
0.07743,0.73216,0.08612,0.48989,0.5510161003645728,93.67273706197739,0.07345,0.81289,0.11249,0.51708,0.48670148849487305,12.167537212371826,1713866218,,False,4,20f10460,2024-04-23_11-56-58,76.41259241104126,302.55997014045715,16692,AT-MB-PC-EOS,127.0.0.1,302.55997014045715,4,64,3,0.5,1e-05
0.07743,0.80656,0.08766,0.48789,0.46962371082866894,79.83603084087372,0.07345,0.8564,0.11196,0.52382,0.4174585747718811,10.436464369297028,1713866290,,False,5,20f10460,2024-04-23_11-58-10,71.84412980079651,374.40409994125366,16692,AT-MB-PC-EOS,127.0.0.1,374.40409994125366,5,64,3,0.5,1e-05
0.07743,0.84803,0.09112,0.50054,0.41817698040429285,71.09008666872978,0.07345,0.87689,0.10704,0.5218,0.3821225368976593,9.553063422441483,1713866362,,False,6,20f10460,2024-04-23_11-59-22,72.82148814201355,447.2255880832672,16692,AT-MB-PC-EOS,127.0.0.1,447.2255880832672,6,64,3,0.5,1e-05
0.07743,0.87462,0.0874,0.49784,0.3866146892309189,65.72449716925621,0.07345,0.89229,0.09426,0.51804,0.3531419515609741,8.828548789024353,1713866437,,False,7,20f10460,2024-04-23_12-00-37,74.79808163642883,522.023669719696,16692,AT-MB-PC-EOS,127.0.0.1,522.023669719696,7,64,3,0.5,1e-05
0.07743,0.88969,0.08692,0.50343,0.3670240201494273,62.39408342540264,0.07345,0.9074,0.09447,0.51845,0.33117953956127166,8.279488489031792,1713866509,,False,8,20f10460,2024-04-23_12-01-49,71.46132206916809,593.4849917888641,16692,AT-MB-PC-EOS,127.0.0.1,593.4849917888641,8,64,3,0.5,1e-05
0.07743,0.89941,0.09256,0.51963,0.3471908794606433,59.022449508309364,0.07345,0.91195,0.10025,0.52614,0.31803659081459046,7.950914770364761,1713866582,,False,9,20f10460,2024-04-23_12-03-02,72.99388003349304,666.4788718223572,16692,AT-MB-PC-EOS,127.0.0.1,666.4788718223572,9,64,3,0.5,1e-05
0.07743,0.90189,0.09275,0.52658,0.33564018282820196,57.058831080794334,0.07345,0.90881,0.10667,0.54134,0.3255790156126022,8.139475390315056,1713866656,,False,10,20f10460,2024-04-23_12-04-16,74.25118112564087,740.730052947998,16692,AT-MB-PC-EOS,127.0.0.1,740.730052947998,10,64,3,0.5,1e-05
0.07743,0.90816,0.10085,0.53852,0.32417522116618996,55.1097875982523,0.07345,0.91535,0.11079,0.55673,0.30386284947395326,7.596571236848831,1713866728,,False,11,20f10460,2024-04-23_12-05-28,72.11574482917786,812.8457977771759,16692,AT-MB-PC-EOS,127.0.0.1,812.8457977771759,11,64,3,0.5,1e-05
0.07743,0.91056,0.10394,0.547,0.31481097384410744,53.51786555349827,0.07345,0.91887,0.11754,0.55669,0.30452063381671907,7.613015845417976,1713866801,,False,12,20f10460,2024-04-23_12-06-41,72.63197541236877,885.4777731895447,16692,AT-MB-PC-EOS,127.0.0.1,885.4777731895447,12,64,3,0.5,1e-05
0.07743,0.91235,0.106,0.55473,0.3124852303196402,53.12248915433884,0.07345,0.92063,0.12421,0.55625,0.29096769452095034,7.274192363023758,1713866873,,False,13,20f10460,2024-04-23_12-07-53,71.89156723022461,957.3693404197693,16692,AT-MB-PC-EOS,127.0.0.1,957.3693404197693,13,64,3,0.5,1e-05
0.07743,0.91459,0.11493,0.56277,0.30501302796251634,51.85221475362778,0.07345,0.92228,0.13775,0.56395,0.29815955460071564,7.453988865017891,1713866944,,False,14,20f10460,2024-04-23_12-09-04,71.20894837379456,1028.5782887935638,16692,AT-MB-PC-EOS,127.0.0.1,1028.5782887935638,14,64,3,0.5,1e-05
0.07743,0.91538,0.11978,0.57153,0.2977900955606909,50.62431624531746,0.07345,0.92382,0.14714,0.5759,0.2872784870862961,7.181962177157402,1713867017,,True,15,20f10460,2024-04-23_12-10-17,73.4681646823883,1102.0464534759521,16692,AT-MB-PC-EOS,127.0.0.1,1102.0464534759521,15,64,3,0.5,1e-05
