train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.56,0.08,0.47,0.9086432092330035,154.4693455696106,0.07,0.59,0.08,0.44,0.8305305480957031,20.763263702392578,1712862463,,False,1,ded6929a,2024-04-11_21-07-43,119.56238913536072,119.56238913536072,45760,AT-MB-PC-E13,127.0.0.1,119.56238913536072,1,64,3,0.5,0.001
0.08,0.87,0.09,0.53,0.3796477820066845,64.54012294113636,0.07,0.92,0.09,0.54,0.311002072095871,7.775051802396774,1712862576,,False,2,ded6929a,2024-04-11_21-09-36,113.82615494728088,233.3885440826416,45760,AT-MB-PC-E13,127.0.0.1,233.3885440826416,2,64,3,0.5,0.001
0.08,0.92,0.13,0.57,0.2995275820002836,50.91968894004822,0.07,0.92,0.15,0.58,0.2968877893686295,7.422194734215736,1712862686,,False,3,ded6929a,2024-04-11_21-11-26,109.08340668678284,342.47195076942444,45760,AT-MB-PC-E13,127.0.0.1,342.47195076942444,3,64,3,0.5,0.001
0.08,0.92,0.14,0.59,0.28929427029455407,49.180025950074196,0.07,0.92,0.11,0.59,0.2854347175359726,7.135867938399315,1712862796,,False,4,ded6929a,2024-04-11_21-13-16,110.37944316864014,452.8513939380646,45760,AT-MB-PC-E13,127.0.0.1,452.8513939380646,4,64,3,0.5,0.001
0.08,0.92,0.16,0.62,0.27016559032832876,45.92815035581589,0.07,0.92,0.17,0.65,0.2786933767795563,6.967334419488907,1712862908,,False,5,ded6929a,2024-04-11_21-15-08,112.45117998123169,565.3025739192963,45760,AT-MB-PC-E13,127.0.0.1,565.3025739192963,5,64,3,0.5,0.001
0.08,0.92,0.17,0.64,0.2602929209961611,44.24979656934738,0.07,0.93,0.16,0.63,0.27391356706619263,6.847839176654816,1712863022,,False,6,ded6929a,2024-04-11_21-17-02,114.0390408039093,679.3416147232056,45760,AT-MB-PC-E13,127.0.0.1,679.3416147232056,6,64,3,0.5,0.001
0.08,0.92,0.19,0.68,0.24872650574235355,42.283505976200104,0.07,0.93,0.18,0.62,0.2637346589565277,6.593366473913193,1712863135,,False,7,ded6929a,2024-04-11_21-18-55,112.72684979438782,792.0684645175934,45760,AT-MB-PC-E13,127.0.0.1,792.0684645175934,7,64,3,0.5,0.001
0.08,0.92,0.2,0.69,0.24499228368787204,41.64868822693825,0.07,0.93,0.21,0.69,0.24324304103851319,6.08107602596283,1712863248,,False,8,ded6929a,2024-04-11_21-20-48,112.62488389015198,904.6933484077454,45760,AT-MB-PC-E13,127.0.0.1,904.6933484077454,8,64,3,0.5,0.001
0.08,0.92,0.21,0.69,0.24351966950823278,41.398343816399574,0.07,0.92,0.19,0.66,0.25484841138124464,6.3712102845311165,1712863360,,False,9,ded6929a,2024-04-11_21-22-40,112.59718227386475,1017.2905306816101,45760,AT-MB-PC-E13,127.0.0.1,1017.2905306816101,9,64,3,0.5,0.001
0.08,0.92,0.21,0.69,0.24265729004845898,41.25173930823803,0.07,0.93,0.24,0.68,0.2551197597384453,6.377993993461132,1712863475,,False,10,ded6929a,2024-04-11_21-24-35,114.35372018814087,1131.644250869751,45760,AT-MB-PC-E13,127.0.0.1,1131.644250869751,10,64,3,0.5,0.001
