train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.47,0.08,0.46,0.7801491705810323,132.62535899877548,0.07,0.48,0.08,0.45,0.773290467262268,19.3322616815567,1712336085,,False,1,7458ea50,2024-04-05_18-54-45,242.17889642715454,242.17889642715454,11812,AT-MB-PC-EOS,127.0.0.1,242.17889642715454,1,256,10,0.2,0.001
0.08,0.88,0.08,0.49,0.3890482972649967,66.13821053504944,0.07,0.92,0.13,0.55,0.2926287126541138,7.315717816352844,1712336316,,False,2,7458ea50,2024-04-05_18-58-36,230.66370749473572,472.84260392189026,11812,AT-MB-PC-EOS,127.0.0.1,472.84260392189026,2,256,10,0.2,0.001
0.08,0.92,0.14,0.57,0.30622717536547606,52.05861981213093,0.07,0.88,0.16,0.64,0.3381853115558624,8.45463278889656,1712336550,,False,3,7458ea50,2024-04-05_19-02-30,234.01910018920898,706.8617041110992,11812,AT-MB-PC-EOS,127.0.0.1,706.8617041110992,3,256,10,0.2,0.001
0.08,0.92,0.15,0.61,0.2854999723679879,48.534995302557945,0.07,0.92,0.13,0.53,0.3026816958189011,7.5670423954725266,1712336781,,False,4,7458ea50,2024-04-05_19-06-21,231.62067699432373,938.482381105423,11812,AT-MB-PC-EOS,127.0.0.1,938.482381105423,4,256,10,0.2,0.001
0.08,0.92,0.16,0.61,0.2783164827262654,47.31380206346512,0.07,0.93,0.18,0.64,0.2559999966621399,6.399999916553497,1712337005,,False,5,7458ea50,2024-04-05_19-10-05,223.76905751228333,1162.2514386177063,11812,AT-MB-PC-EOS,127.0.0.1,1162.2514386177063,5,256,10,0.2,0.001
0.08,0.92,0.17,0.63,0.27193020647939514,46.22813510149717,0.07,0.92,0.18,0.61,0.2785161727666855,6.962904319167137,1712337237,,False,6,7458ea50,2024-04-05_19-13-57,231.8197681903839,1394.0712068080902,11812,AT-MB-PC-EOS,127.0.0.1,1394.0712068080902,6,256,10,0.2,0.001
0.08,0.92,0.16,0.64,0.2650787812383736,45.06339281052351,0.07,0.93,0.18,0.62,0.2591888080537319,6.479720201343298,1712337468,,False,7,7458ea50,2024-04-05_19-17-48,231.42658853530884,1625.497795343399,11812,AT-MB-PC-EOS,127.0.0.1,1625.497795343399,7,256,10,0.2,0.001
0.08,0.92,0.19,0.65,0.2591885274823974,44.06204967200756,0.07,0.93,0.21,0.68,0.2467878246307373,6.169695615768433,1712337702,,False,8,7458ea50,2024-04-05_19-21-42,233.29605674743652,1858.7938520908356,11812,AT-MB-PC-EOS,127.0.0.1,1858.7938520908356,8,256,10,0.2,0.001
0.08,0.92,0.16,0.62,0.2663136008907767,45.27331215143204,0.07,0.93,0.13,0.57,0.3133090627193451,7.832726567983627,1712337938,,False,9,7458ea50,2024-04-05_19-25-38,236.38070249557495,2095.1745545864105,11812,AT-MB-PC-EOS,127.0.0.1,2095.1745545864105,9,256,10,0.2,0.001
0.08,0.92,0.19,0.65,0.2564013966304414,43.588237427175045,0.07,0.93,0.15,0.57,0.3006648707389832,7.516621768474579,1712338166,,False,10,7458ea50,2024-04-05_19-29-26,228.51427030563354,2323.688824892044,11812,AT-MB-PC-EOS,127.0.0.1,2323.688824892044,10,256,10,0.2,0.001
0.08,0.92,0.2,0.67,0.2492992061902495,42.380865052342415,0.07,0.93,0.21,0.66,0.2558847153186798,6.397117882966995,1712338404,,False,11,7458ea50,2024-04-05_19-33-24,237.44949793815613,2561.1383228302,11812,AT-MB-PC-EOS,127.0.0.1,2561.1383228302,11,256,10,0.2,0.001
0.08,0.92,0.19,0.67,0.24850425597499398,42.24572351574898,0.07,0.93,0.18,0.6,0.25133166432380677,6.283291608095169,1712338640,,False,12,7458ea50,2024-04-05_19-37-20,236.18315267562866,2797.321475505829,11812,AT-MB-PC-EOS,127.0.0.1,2797.321475505829,12,256,10,0.2,0.001
0.08,0.92,0.18,0.65,0.2525308174245498,42.93023896217346,0.07,0.93,0.15,0.59,0.28643896877765657,7.160974219441414,1712338873,,False,13,7458ea50,2024-04-05_19-41-13,233.0968475341797,3030.4183230400085,11812,AT-MB-PC-EOS,127.0.0.1,3030.4183230400085,13,256,10,0.2,0.001
