train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.48,0.09,0.5,0.7929854904904085,134.80753338336945,0.07,0.5,0.09,0.49,0.8001251339912414,20.003128349781036,1712750697,,False,1,f36cf6b6,2024-04-10_14-04-57,88.11168599128723,88.11168599128723,32140,AT-MB-PC-EOS,127.0.0.1,88.11168599128723,1,128,3,0.0,0.001
0.08,0.84,0.09,0.49,0.43707433123798933,74.30263631045818,0.07,0.93,0.08,0.48,0.33213030874729155,8.30325771868229,1712750773,,False,2,f36cf6b6,2024-04-10_14-06-13,76.3531391620636,164.46482515335083,32140,AT-MB-PC-EOS,127.0.0.1,164.46482515335083,2,128,3,0.0,0.001
0.08,0.92,0.11,0.54,0.3101968721431844,52.733468264341354,0.07,0.92,0.17,0.61,0.28548328816890717,7.137082204222679,1712750851,,False,3,f36cf6b6,2024-04-10_14-07-31,77.58952116966248,242.0543463230133,32140,AT-MB-PC-EOS,127.0.0.1,242.0543463230133,3,128,3,0.0,0.001
0.08,0.92,0.13,0.59,0.28708871795850643,48.80508205294609,0.07,0.93,0.15,0.59,0.2709966540336609,6.774916350841522,1712750927,,False,4,f36cf6b6,2024-04-10_14-08-47,76.12880682945251,318.1831531524658,32140,AT-MB-PC-EOS,127.0.0.1,318.1831531524658,4,128,3,0.0,0.001
0.08,0.92,0.16,0.64,0.2709384678041234,46.05953952670097,0.07,0.93,0.17,0.65,0.2632055604457855,6.580139011144638,1712751003,,False,5,f36cf6b6,2024-04-10_14-10-03,76.45816588401794,394.64131903648376,32140,AT-MB-PC-EOS,127.0.0.1,394.64131903648376,5,128,3,0.0,0.001
0.08,0.92,0.18,0.65,0.2652039958273663,45.084679290652275,0.07,0.92,0.18,0.66,0.2597999083995819,6.494997709989548,1712751080,,False,6,f36cf6b6,2024-04-10_14-11-20,77.05666255950928,471.69798159599304,32140,AT-MB-PC-EOS,127.0.0.1,471.69798159599304,6,128,3,0.0,0.001
0.08,0.92,0.2,0.68,0.2517659779418917,42.80021625012159,0.07,0.93,0.18,0.65,0.25364052653312685,6.341013163328171,1712751157,,False,7,f36cf6b6,2024-04-10_14-12-37,76.74951148033142,548.4474930763245,32140,AT-MB-PC-EOS,127.0.0.1,548.4474930763245,7,128,3,0.0,0.001
0.08,0.92,0.21,0.69,0.2466094893129433,41.92361318320036,0.07,0.92,0.22,0.69,0.2653528255224228,6.63382063806057,1712751235,,False,8,f36cf6b6,2024-04-10_14-13-55,77.806321144104,626.2538142204285,32140,AT-MB-PC-EOS,127.0.0.1,626.2538142204285,8,128,3,0.0,0.001
0.08,0.93,0.25,0.71,0.23889313462902517,40.61183288693428,0.07,0.92,0.21,0.7,0.25023690819740296,6.255922704935074,1712751309,,False,9,f36cf6b6,2024-04-10_14-15-09,73.84256219863892,700.0963764190674,32140,AT-MB-PC-EOS,127.0.0.1,700.0963764190674,9,128,3,0.0,0.001
0.08,0.92,0.23,0.7,0.24201210141181945,41.14205724000931,0.07,0.93,0.18,0.62,0.2514530950784683,6.286327376961708,1712751387,,False,10,f36cf6b6,2024-04-10_14-16-27,77.98403358459473,778.0804100036621,32140,AT-MB-PC-EOS,127.0.0.1,778.0804100036621,10,128,3,0.0,0.001
0.08,0.92,0.23,0.71,0.23847263792858403,40.54034844785929,0.07,0.93,0.23,0.7,0.2369677221775055,5.924193054437637,1712751461,,False,11,f36cf6b6,2024-04-10_14-17-41,74.39300227165222,852.4734122753143,32140,AT-MB-PC-EOS,127.0.0.1,852.4734122753143,11,128,3,0.0,0.001
0.08,0.92,0.24,0.72,0.23559427313944872,40.051026433706284,0.07,0.93,0.22,0.69,0.24861807346343995,6.2154518365859985,1712751538,,False,12,f36cf6b6,2024-04-10_14-18-58,76.91012454032898,929.3835368156433,32140,AT-MB-PC-EOS,127.0.0.1,929.3835368156433,12,128,3,0.0,0.001
0.08,0.93,0.27,0.74,0.22866689159589657,38.873371571302414,0.07,0.93,0.25,0.65,0.25402408063411713,6.350602015852928,1712751614,,False,13,f36cf6b6,2024-04-10_14-20-14,75.92770671844482,1005.3112435340881,32140,AT-MB-PC-EOS,127.0.0.1,1005.3112435340881,13,128,3,0.0,0.001
