train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.47,0.09,0.5,0.8080749701051151,137.37274491786957,0.07,0.52,0.1,0.52,0.8221147918701172,20.55286979675293,1712722388,,False,1,409dc974,2024-04-10_06-13-08,92.48130369186401,92.48130369186401,34616,AT-MB-PC-EOS,127.0.0.1,92.48130369186401,1,128,3,0.0,0.001
0.08,0.87,0.09,0.5,0.395997897930005,67.31964264810085,0.07,0.92,0.1,0.5,0.3062592506408691,7.6564812660217285,1712722468,,False,2,409dc974,2024-04-10_06-14-28,80.06278133392334,172.54408502578735,34616,AT-MB-PC-EOS,127.0.0.1,172.54408502578735,2,128,3,0.0,0.001
0.08,0.92,0.14,0.57,0.29830702797454944,50.71219475567341,0.07,0.92,0.11,0.54,0.29751480877399444,7.437870219349861,1712722547,,False,3,409dc974,2024-04-10_06-15-47,79.19431734085083,251.73840236663818,34616,AT-MB-PC-EOS,127.0.0.1,251.73840236663818,3,128,3,0.0,0.001
0.08,0.92,0.15,0.61,0.28404114369083855,48.28699442744255,0.07,0.93,0.13,0.58,0.30795721113681795,7.698930278420448,1712722628,,False,4,409dc974,2024-04-10_06-17-08,81.19841122627258,332.93681359291077,34616,AT-MB-PC-EOS,127.0.0.1,332.93681359291077,4,128,3,0.0,0.001
0.08,0.92,0.16,0.64,0.2709101336843827,46.05472272634506,0.07,0.93,0.21,0.66,0.2546533381938934,6.366333454847336,1712722707,,False,5,409dc974,2024-04-10_06-18-27,78.63131141662598,411.56812500953674,34616,AT-MB-PC-EOS,127.0.0.1,411.56812500953674,5,128,3,0.0,0.001
0.08,0.92,0.18,0.65,0.26257412565105104,44.63760136067867,0.07,0.93,0.2,0.64,0.27684862434864044,6.921215608716011,1712722788,,False,6,409dc974,2024-04-10_06-19-48,81.46482062339783,493.03294563293457,34616,AT-MB-PC-EOS,127.0.0.1,493.03294563293457,6,128,3,0.0,0.001
0.08,0.92,0.2,0.68,0.25234987534144343,42.89947880804539,0.07,0.93,0.21,0.65,0.25647042512893675,6.411760628223419,1712722867,,False,7,409dc974,2024-04-10_06-21-07,78.33604693412781,571.3689925670624,34616,AT-MB-PC-EOS,127.0.0.1,571.3689925670624,7,128,3,0.0,0.001
0.08,0.92,0.22,0.69,0.24627461521064534,41.86668458580971,0.07,0.93,0.2,0.64,0.2542336559295654,6.355841398239136,1712722948,,False,8,409dc974,2024-04-10_06-22-28,81.17222166061401,652.5412142276764,34616,AT-MB-PC-EOS,127.0.0.1,652.5412142276764,8,128,3,0.0,0.001
0.08,0.92,0.22,0.69,0.2429970533532255,41.30949907004833,0.07,0.93,0.2,0.63,0.2817948776483536,7.044871941208839,1712723027,,False,9,409dc974,2024-04-10_06-23-47,78.73287606239319,731.2740902900696,34616,AT-MB-PC-EOS,127.0.0.1,731.2740902900696,9,128,3,0.0,0.001
0.08,0.92,0.23,0.69,0.24431789315798702,41.534041836857796,0.07,0.93,0.22,0.65,0.25041490435600283,6.26037260890007,1712723108,,False,10,409dc974,2024-04-10_06-25-08,81.75889730453491,813.0329875946045,34616,AT-MB-PC-EOS,127.0.0.1,813.0329875946045,10,128,3,0.0,0.001
0.08,0.92,0.24,0.71,0.23809311153257595,40.47582896053791,0.07,0.93,0.27,0.72,0.24199323296546937,6.049830824136734,1712723187,,False,11,409dc974,2024-04-10_06-26-27,78.98063373565674,892.0136213302612,34616,AT-MB-PC-EOS,127.0.0.1,892.0136213302612,11,128,3,0.0,0.001
0.08,0.93,0.25,0.72,0.23414939821642988,39.80539769679308,0.07,0.93,0.24,0.73,0.24247173130512237,6.061793282628059,1712723269,,False,12,409dc974,2024-04-10_06-27-49,81.5392096042633,973.5528309345245,34616,AT-MB-PC-EOS,127.0.0.1,973.5528309345245,12,128,3,0.0,0.001
0.08,0.93,0.26,0.73,0.2289148236022276,38.91552001237869,0.07,0.93,0.28,0.72,0.22550214260816573,5.6375535652041435,1712723348,,False,13,409dc974,2024-04-10_06-29-08,79.0010097026825,1052.553840637207,34616,AT-MB-PC-EOS,127.0.0.1,1052.553840637207,13,128,3,0.0,0.001
0.08,0.93,0.28,0.75,0.22234708780751508,37.799004927277565,0.07,0.93,0.24,0.72,0.23270754814147948,5.817688703536987,1712723428,,False,14,409dc974,2024-04-10_06-30-28,80.24859499931335,1132.8024356365204,34616,AT-MB-PC-EOS,127.0.0.1,1132.8024356365204,14,128,3,0.0,0.001
0.08,0.93,0.3,0.75,0.22141811856452157,37.641080155968666,0.07,0.93,0.24,0.7,0.24241428673267365,6.060357168316841,1712723508,,False,15,409dc974,2024-04-10_06-31-48,79.84997153282166,1212.652407169342,34616,AT-MB-PC-EOS,127.0.0.1,1212.652407169342,15,128,3,0.0,0.001
0.08,0.93,0.31,0.76,0.21654206067323684,36.812150314450264,0.07,0.93,0.26,0.74,0.21514301419258117,5.378575354814529,1712723586,,False,16,409dc974,2024-04-10_06-33-06,78.40975975990295,1291.062166929245,34616,AT-MB-PC-EOS,127.0.0.1,1291.062166929245,16,128,3,0.0,0.001
0.08,0.93,0.31,0.77,0.21382619528209462,36.350453197956085,0.07,0.93,0.29,0.75,0.22111844420433044,5.527961105108261,1712723668,,False,17,409dc974,2024-04-10_06-34-28,81.05616807937622,1372.1183350086212,34616,AT-MB-PC-EOS,127.0.0.1,1372.1183350086212,17,128,3,0.0,0.001
0.08,0.93,0.31,0.76,0.2168980428839431,36.87266729027033,0.07,0.93,0.31,0.75,0.21262518763542176,5.315629690885544,1712723747,,False,18,409dc974,2024-04-10_06-35-47,79.04114079475403,1451.1594758033752,34616,AT-MB-PC-EOS,127.0.0.1,1451.1594758033752,18,128,3,0.0,0.001
0.08,0.93,0.33,0.78,0.2097696214037783,35.66083563864231,0.07,0.93,0.3,0.75,0.21349016517400743,5.337254129350185,1712723828,,False,19,409dc974,2024-04-10_06-37-08,80.99408292770386,1532.153558731079,34616,AT-MB-PC-EOS,127.0.0.1,1532.153558731079,19,128,3,0.0,0.001
0.08,0.93,0.34,0.79,0.20806793601197354,35.3715491220355,0.07,0.93,0.29,0.76,0.21504238218069077,5.376059554517269,1712723906,,False,20,409dc974,2024-04-10_06-38-26,78.8705894947052,1611.0241482257843,34616,AT-MB-PC-EOS,127.0.0.1,1611.0241482257843,20,128,3,0.0,0.001
0.08,0.93,0.35,0.8,0.20435150156126303,34.739755265414715,0.07,0.93,0.33,0.76,0.21105761468410492,5.276440367102623,1712723988,,False,21,409dc974,2024-04-10_06-39-48,81.34922933578491,1692.3733775615692,34616,AT-MB-PC-EOS,127.0.0.1,1692.3733775615692,21,128,3,0.0,0.001
0.08,0.93,0.35,0.8,0.20241758735740886,34.410989850759506,0.07,0.93,0.31,0.78,0.20632735073566436,5.158183768391609,1712724067,,False,22,409dc974,2024-04-10_06-41-07,78.96583366394043,1771.3392112255096,34616,AT-MB-PC-EOS,127.0.0.1,1771.3392112255096,22,128,3,0.0,0.001
0.08,0.93,0.36,0.8,0.2030180204878835,34.5130634829402,0.07,0.93,0.28,0.76,0.2253892159461975,5.634730398654938,1712724148,,False,23,409dc974,2024-04-10_06-42-28,81.08421063423157,1852.4234218597412,34616,AT-MB-PC-EOS,127.0.0.1,1852.4234218597412,23,128,3,0.0,0.001
0.08,0.93,0.34,0.8,0.20456515002776596,34.77607550472021,0.07,0.93,0.33,0.77,0.2065006572008133,5.162516430020332,1712724226,,False,24,409dc974,2024-04-10_06-43-46,78.36955380439758,1930.7929756641388,34616,AT-MB-PC-EOS,127.0.0.1,1930.7929756641388,24,128,3,0.0,0.001
0.08,0.93,0.35,0.81,0.20125446069766492,34.21325831860304,0.07,0.93,0.32,0.79,0.20300060302019118,5.07501507550478,1712724308,,False,25,409dc974,2024-04-10_06-45-08,81.51443839073181,2012.3074140548706,34616,AT-MB-PC-EOS,127.0.0.1,2012.3074140548706,25,128,3,0.0,0.001
0.08,0.93,0.36,0.82,0.1981551293941105,33.68637199699879,0.07,0.93,0.29,0.78,0.20729054272174835,5.182263568043709,1712724386,,False,26,409dc974,2024-04-10_06-46-26,78.40079855918884,2090.7082126140594,34616,AT-MB-PC-EOS,127.0.0.1,2090.7082126140594,26,128,3,0.0,0.001
0.08,0.93,0.39,0.82,0.19553717931403833,33.24132048338652,0.07,0.93,0.29,0.79,0.20266562461853027,5.066640615463257,1712724468,,False,27,409dc974,2024-04-10_06-47-48,81.50134015083313,2172.2095527648926,34616,AT-MB-PC-EOS,127.0.0.1,2172.2095527648926,27,128,3,0.0,0.001
0.08,0.93,0.38,0.82,0.19543578155777033,33.22408286482096,0.07,0.93,0.34,0.79,0.20498468339443207,5.124617084860802,1712724546,,False,28,409dc974,2024-04-10_06-49-06,78.71733713150024,2250.926889896393,34616,AT-MB-PC-EOS,127.0.0.1,2250.926889896393,28,128,3,0.0,0.001
0.08,0.93,0.39,0.82,0.1958202490473495,33.28944233804941,0.07,0.93,0.32,0.78,0.20006541281938553,5.001635320484638,1712724626,,False,29,409dc974,2024-04-10_06-50-26,79.64791011810303,2330.574800014496,34616,AT-MB-PC-EOS,127.0.0.1,2330.574800014496,29,128,3,0.0,0.001
0.08,0.93,0.4,0.83,0.1939074095995987,32.96425963193178,0.07,0.93,0.32,0.79,0.20111899375915526,5.027974843978882,1712724707,,False,30,409dc974,2024-04-10_06-51-47,80.88764929771423,2411.46244931221,34616,AT-MB-PC-EOS,127.0.0.1,2411.46244931221,30,128,3,0.0,0.001
0.08,0.93,0.39,0.83,0.19216537620214855,32.66811395436525,0.07,0.93,0.34,0.81,0.19794346660375595,4.948586665093899,1712724786,,False,31,409dc974,2024-04-10_06-53-06,78.82726311683655,2490.2897124290466,34616,AT-MB-PC-EOS,127.0.0.1,2490.2897124290466,31,128,3,0.0,0.001
0.08,0.93,0.42,0.84,0.18881407691275373,32.09839307516813,0.07,0.93,0.34,0.78,0.20226474463939667,5.056618615984917,1712724871,,False,32,409dc974,2024-04-10_06-54-31,84.96314764022827,2575.252860069275,34616,AT-MB-PC-EOS,127.0.0.1,2575.252860069275,32,128,3,0.0,0.001
0.08,0.93,0.4,0.83,0.19171223782879465,32.59108043089509,0.07,0.93,0.36,0.81,0.19415398210287094,4.8538495525717735,1712724952,,False,33,409dc974,2024-04-10_06-55-52,81.6641743183136,2656.9170343875885,34616,AT-MB-PC-EOS,127.0.0.1,2656.9170343875885,33,128,3,0.0,0.001
0.08,0.93,0.42,0.84,0.18771058890749426,31.910800114274025,0.07,0.93,0.33,0.81,0.19668856382369995,4.917214095592499,1712725033,,False,34,409dc974,2024-04-10_06-57-13,80.95549607276917,2737.8725304603577,34616,AT-MB-PC-EOS,127.0.0.1,2737.8725304603577,34,128,3,0.0,0.001
0.08,0.93,0.42,0.84,0.18743057597209425,31.863197915256023,0.07,0.93,0.35,0.79,0.2012772446870804,5.03193111717701,1712725107,,False,35,409dc974,2024-04-10_06-58-27,73.34570336341858,2811.2182338237762,34616,AT-MB-PC-EOS,127.0.0.1,2811.2182338237762,35,128,3,0.0,0.001
0.08,0.93,0.42,0.84,0.18917033093817093,32.15895625948906,0.07,0.93,0.35,0.8,0.19886587381362916,4.971646845340729,1712725186,,False,36,409dc974,2024-04-10_06-59-46,79.06310439109802,2890.2813382148743,34616,AT-MB-PC-EOS,127.0.0.1,2890.2813382148743,36,128,3,0.0,0.001
0.08,0.93,0.43,0.84,0.18786966454456835,31.937842972576618,0.07,0.93,0.36,0.8,0.19291048645973205,4.822762161493301,1712725258,,False,37,409dc974,2024-04-10_07-00-58,72.60919141769409,2962.8905296325684,34616,AT-MB-PC-EOS,127.0.0.1,2962.8905296325684,37,128,3,0.0,0.001
0.08,0.94,0.45,0.85,0.18254776386653676,31.03311985731125,0.07,0.93,0.37,0.81,0.1963698011636734,4.909245029091835,1712725336,,False,38,409dc974,2024-04-10_07-02-16,77.8419578075409,3040.7324874401093,34616,AT-MB-PC-EOS,127.0.0.1,3040.7324874401093,38,128,3,0.0,0.001
0.08,0.93,0.45,0.85,0.183149774109616,31.13546159863472,0.07,0.94,0.37,0.81,0.19543509930372238,4.8858774825930595,1712725414,,False,39,409dc974,2024-04-10_07-03-34,77.74524140357971,3118.477728843689,34616,AT-MB-PC-EOS,127.0.0.1,3118.477728843689,39,128,3,0.0,0.001
