train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.07743,0.48306,0.08522,0.51239,0.7712538624511046,131.11315661668777,0.07345,0.50594,0.09218,0.51479,0.7742950201034546,19.357375502586365,1713436162,,False,1,13767172,2024-04-18_12-29-22,96.0159044265747,96.0159044265747,24024,AT-MB-PC-EOS,127.0.0.1,96.0159044265747,1,256,3,0.5,0.001
0.07743,0.8572,0.08423,0.49834,0.4088044252465753,69.4967522919178,0.07345,0.91342,0.10009,0.48139,0.33941716849803927,8.485429212450981,1713436243,,False,2,13767172,2024-04-18_12-30-43,81.28422260284424,177.30012702941895,24024,AT-MB-PC-EOS,127.0.0.1,177.30012702941895,2,256,3,0.5,0.001
0.07743,0.91919,0.11775,0.55708,0.3041217405129881,51.700695887207985,0.07345,0.9259,0.12243,0.55516,0.28407495260238647,7.101873815059662,1713436327,,False,3,13767172,2024-04-18_12-32-07,83.80045795440674,261.1005849838257,24024,AT-MB-PC-EOS,127.0.0.1,261.1005849838257,3,256,3,0.5,0.001
0.07743,0.92144,0.13365,0.58239,0.28313938502003166,48.13369545340538,0.07345,0.92209,0.1178,0.52876,0.28782971382141115,7.195742845535278,1713436409,,False,4,13767172,2024-04-18_12-33-29,82.18926453590393,343.2898495197296,24024,AT-MB-PC-EOS,127.0.0.1,343.2898495197296,4,256,3,0.5,0.001
0.07743,0.92187,0.14013,0.60577,0.2760661261923173,46.93124145269394,0.07345,0.92419,0.1569,0.58861,0.27005771338939666,6.751442834734917,1713436493,,False,5,13767172,2024-04-18_12-34-53,84.3457498550415,427.6355993747711,24024,AT-MB-PC-EOS,127.0.0.1,427.6355993747711,5,256,3,0.5,0.001
0.07743,0.92191,0.15173,0.61969,0.26721967861932866,45.42734536528587,0.07345,0.92601,0.15447,0.57647,0.2716199195384979,6.790497988462448,1713436575,,False,6,13767172,2024-04-18_12-36-15,81.96538066864014,509.60098004341125,24024,AT-MB-PC-EOS,127.0.0.1,509.60098004341125,6,256,3,0.5,0.001
0.07743,0.92276,0.15773,0.6188,0.2613390804213636,44.42764367163181,0.07345,0.9264,0.15359,0.57629,0.3003268939256668,7.50817234814167,1713436658,,False,7,13767172,2024-04-18_12-37-38,82.96795892715454,592.5689389705658,24024,AT-MB-PC-EOS,127.0.0.1,592.5689389705658,7,256,3,0.5,0.001
0.07743,0.92212,0.15275,0.64728,0.25638622483786416,43.585658222436905,0.07345,0.92684,0.15782,0.61005,0.24912958100438118,6.2282395251095295,1713436742,,False,8,13767172,2024-04-18_12-39-02,83.63446283340454,676.2034018039703,24024,AT-MB-PC-EOS,127.0.0.1,676.2034018039703,8,256,3,0.5,0.001
0.07743,0.92276,0.16514,0.64907,0.2528023945058093,42.97640706598759,0.07345,0.92629,0.14265,0.61325,0.29891133546829224,7.472783386707306,1713436823,,False,9,13767172,2024-04-18_12-40-23,81.32770466804504,757.5311064720154,24024,AT-MB-PC-EOS,127.0.0.1,757.5311064720154,9,256,3,0.5,0.001
0.07743,0.92257,0.17134,0.66211,0.24857660663478515,42.258023127913475,0.07345,0.92677,0.1835,0.6337,0.26400439321994784,6.600109830498695,1713436908,,False,10,13767172,2024-04-18_12-41-48,84.72608256340027,842.2571890354156,24024,AT-MB-PC-EOS,127.0.0.1,842.2571890354156,10,256,3,0.5,0.001
0.07743,0.92253,0.17595,0.66525,0.24569876343011857,41.768789783120155,0.07345,0.92612,0.19482,0.65478,0.2566299277544022,6.415748193860054,1713436990,,False,11,13767172,2024-04-18_12-43-10,81.74254751205444,923.9997365474701,24024,AT-MB-PC-EOS,127.0.0.1,923.9997365474701,11,256,3,0.5,0.001
0.07743,0.92288,0.18046,0.66808,0.24355239692856284,41.40390747785568,0.07345,0.92574,0.2038,0.67617,0.24553244113922118,6.13831102848053,1713437074,,False,12,13767172,2024-04-18_12-44-34,84.15021443367004,1008.1499509811401,24024,AT-MB-PC-EOS,127.0.0.1,1008.1499509811401,12,256,3,0.5,0.001
0.07743,0.92318,0.19442,0.68015,0.239768897742033,40.76071261614561,0.07345,0.92413,0.14469,0.60719,0.25887865871191024,6.471966467797756,1713437156,,False,13,13767172,2024-04-18_12-45-56,82.01772570610046,1090.1676766872406,24024,AT-MB-PC-EOS,127.0.0.1,1090.1676766872406,13,256,3,0.5,0.001
0.07743,0.92267,0.19025,0.69676,0.2370481541928123,40.29818621277809,0.07345,0.9285,0.20785,0.67685,0.24257721483707428,6.064430370926857,1713437240,,False,14,13767172,2024-04-18_12-47-20,84.3624517917633,1174.530128479004,24024,AT-MB-PC-EOS,127.0.0.1,1174.530128479004,14,256,3,0.5,0.001
0.07743,0.92318,0.20162,0.69261,0.23649553262135561,40.204240545630455,0.07345,0.92336,0.19986,0.67445,0.2826802289485931,7.0670057237148285,1713437318,,False,15,13767172,2024-04-18_12-48-38,77.93434572219849,1252.4644742012024,24024,AT-MB-PC-EOS,127.0.0.1,1252.4644742012024,15,256,3,0.5,0.001
0.07743,0.9236,0.20389,0.70894,0.23289884337607553,39.59280337393284,0.07345,0.92675,0.21421,0.70353,0.24117397665977477,6.0293494164943695,1713437425,,False,16,13767172,2024-04-18_12-50-25,81.5590751171112,1334.0235493183136,24024,AT-MB-PC-EOS,127.0.0.1,1334.0235493183136,16,256,3,0.5,0.001
0.07743,0.9236,0.20937,0.70855,0.23255857737625346,39.53495815396309,0.07345,0.92338,0.17392,0.64584,0.26145963072776796,6.536490768194199,1713437512,,False,17,13767172,2024-04-18_12-51-52,86.55021643638611,1420.5737657546997,24024,AT-MB-PC-EOS,127.0.0.1,1420.5737657546997,17,256,3,0.5,0.001
0.07743,0.92305,0.21419,0.71241,0.23073517088504397,39.22497905045748,0.07345,0.92747,0.20499,0.68596,0.23207861334085464,5.801965333521366,1713437595,,False,18,13767172,2024-04-18_12-53-15,82.99152302742004,1503.5652887821198,24024,AT-MB-PC-EOS,127.0.0.1,1503.5652887821198,18,256,3,0.5,0.001
0.07743,0.92353,0.22984,0.7221,0.2274163302691544,38.660776145756245,0.07345,0.92705,0.2093,0.68172,0.24258666455745698,6.064666613936424,1713437679,,False,19,13767172,2024-04-18_12-54-39,84.65417218208313,1588.2194609642029,24024,AT-MB-PC-EOS,127.0.0.1,1588.2194609642029,19,256,3,0.5,0.001
0.07743,0.92337,0.21801,0.72636,0.22754339339102017,38.68237687647343,0.07345,0.92892,0.21492,0.69414,0.23016150593757628,5.754037648439407,1713437764,,False,20,13767172,2024-04-18_12-56-04,85.23509621620178,1673.4545571804047,24024,AT-MB-PC-EOS,127.0.0.1,1673.4545571804047,20,256,3,0.5,0.001
