train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.48,0.09,0.49,0.7546031548696406,128.2825363278389,0.07,0.52,0.09,0.48,0.7413725662231445,18.534314155578613,1712524117,,False,1,6c6068bd,2024-04-07_23-08-37,88.07336091995239,88.07336091995239,30412,AT-MB-PC-EOS,127.0.0.1,88.07336091995239,1,256,3,0.5,0.001
0.08,0.8,0.09,0.49,0.481106517858365,81.78810803592205,0.07,0.93,0.07,0.45,0.33792086243629454,8.448021560907364,1712524191,,False,2,6c6068bd,2024-04-07_23-09-51,74.40895366668701,162.4823145866394,30412,AT-MB-PC-EOS,127.0.0.1,162.4823145866394,2,256,3,0.5,0.001
0.08,0.92,0.1,0.51,0.32342057061545987,54.98149700462818,0.07,0.92,0.14,0.56,0.2959819930791855,7.399549826979637,1712524266,,False,3,6c6068bd,2024-04-07_23-11-06,75.4053282737732,237.8876428604126,30412,AT-MB-PC-EOS,127.0.0.1,237.8876428604126,3,256,3,0.5,0.001
0.08,0.92,0.12,0.58,0.28981260446941154,49.26814275979996,0.07,0.93,0.15,0.59,0.2757172441482544,6.89293110370636,1712524341,,False,4,6c6068bd,2024-04-07_23-12-21,74.2085292339325,312.0961720943451,30412,AT-MB-PC-EOS,127.0.0.1,312.0961720943451,4,256,3,0.5,0.001
0.08,0.92,0.14,0.6,0.2791439025717623,47.45446343719959,0.07,0.93,0.13,0.56,0.32451537311077117,8.11288432776928,1712524417,,False,5,6c6068bd,2024-04-07_23-13-37,75.86629891395569,387.9624710083008,30412,AT-MB-PC-EOS,127.0.0.1,387.9624710083008,5,256,3,0.5,0.001
0.08,0.92,0.15,0.61,0.2719101170406622,46.224719896912575,0.07,0.92,0.16,0.61,0.26580565750598906,6.645141437649727,1712524491,,False,6,6c6068bd,2024-04-07_23-14-51,74.07014393806458,462.03261494636536,30412,AT-MB-PC-EOS,127.0.0.1,462.03261494636536,6,256,3,0.5,0.001
0.08,0.92,0.16,0.63,0.26253260435426934,44.63054274022579,0.07,0.93,0.14,0.6,0.25852170944213865,6.463042736053467,1712524566,,False,7,6c6068bd,2024-04-07_23-16-06,74.91889381408691,536.9515087604523,30412,AT-MB-PC-EOS,127.0.0.1,536.9515087604523,7,256,3,0.5,0.001
0.08,0.92,0.17,0.65,0.25524448384256926,43.39156225323677,0.07,0.92,0.17,0.6,0.26551012516021727,6.637753129005432,1712524641,,False,8,6c6068bd,2024-04-07_23-17-21,75.38686871528625,612.3383774757385,30412,AT-MB-PC-EOS,127.0.0.1,612.3383774757385,8,256,3,0.5,0.001
0.08,0.92,0.17,0.65,0.25367570685989715,43.12487016618252,0.07,0.93,0.15,0.62,0.2606733733415604,6.516834333539009,1712524715,,False,9,6c6068bd,2024-04-07_23-18-35,74.36537289619446,686.703750371933,30412,AT-MB-PC-EOS,127.0.0.1,686.703750371933,9,256,3,0.5,0.001
0.08,0.92,0.18,0.65,0.25023656908203573,42.540216743946075,0.07,0.92,0.15,0.6,0.2561911129951477,6.404777824878693,1712524791,,False,10,6c6068bd,2024-04-07_23-19-51,76.17431354522705,762.87806391716,30412,AT-MB-PC-EOS,127.0.0.1,762.87806391716,10,256,3,0.5,0.001
0.08,0.92,0.18,0.67,0.2451388019411003,41.67359632998705,0.07,0.93,0.17,0.63,0.26425508081912996,6.606377020478249,1712524866,,False,11,6c6068bd,2024-04-07_23-21-06,74.24910640716553,837.1271703243256,30412,AT-MB-PC-EOS,127.0.0.1,837.1271703243256,11,256,3,0.5,0.001
0.08,0.92,0.19,0.68,0.24266235021983876,41.25259953737259,0.07,0.93,0.16,0.63,0.26047163069248197,6.51179076731205,1712524941,,False,12,6c6068bd,2024-04-07_23-22-21,75.70126080513,912.8284311294556,30412,AT-MB-PC-EOS,127.0.0.1,912.8284311294556,12,256,3,0.5,0.001
0.08,0.92,0.19,0.67,0.24260368811733582,41.24262697994709,0.07,0.92,0.18,0.62,0.2860555225610733,7.151388064026833,1712525016,,False,13,6c6068bd,2024-04-07_23-23-36,74.4245855808258,987.2530167102814,30412,AT-MB-PC-EOS,127.0.0.1,987.2530167102814,13,256,3,0.5,0.001
0.08,0.92,0.19,0.68,0.23992386276231092,40.78705666959286,0.07,0.93,0.21,0.68,0.25254551231861117,6.313637807965279,1712525092,,False,14,6c6068bd,2024-04-07_23-24-52,75.97975707054138,1063.2327737808228,30412,AT-MB-PC-EOS,127.0.0.1,1063.2327737808228,14,256,3,0.5,0.001
0.08,0.92,0.21,0.7,0.2346975281396333,39.89857978373766,0.07,0.93,0.21,0.71,0.23931749761104584,5.982937440276146,1712525167,,False,15,6c6068bd,2024-04-07_23-26-07,74.71561217308044,1137.9483859539032,30412,AT-MB-PC-EOS,127.0.0.1,1137.9483859539032,15,256,3,0.5,0.001
0.08,0.92,0.21,0.71,0.2328917891225394,39.5916041508317,0.07,0.93,0.25,0.72,0.2362210112810135,5.905525282025337,1712525242,,False,16,6c6068bd,2024-04-07_23-27-22,75.79241013526917,1213.7407960891724,30412,AT-MB-PC-EOS,127.0.0.1,1213.7407960891724,16,256,3,0.5,0.001
0.08,0.92,0.21,0.71,0.23336833877598537,39.672617591917515,0.07,0.93,0.2,0.68,0.25325556576251984,6.331389144062996,1712525317,,False,17,6c6068bd,2024-04-07_23-28-37,74.4613835811615,1288.2021796703339,30412,AT-MB-PC-EOS,127.0.0.1,1288.2021796703339,17,256,3,0.5,0.001
0.08,0.92,0.22,0.72,0.2322535847478053,39.4831094071269,0.07,0.93,0.25,0.73,0.25373938083648684,6.34348452091217,1712525391,,False,18,6c6068bd,2024-04-07_23-29-51,74.60920143127441,1362.8113811016083,30412,AT-MB-PC-EOS,127.0.0.1,1362.8113811016083,18,256,3,0.5,0.001
0.08,0.92,0.21,0.71,0.2304411121589296,39.17498906701803,0.07,0.93,0.19,0.69,0.251095295548439,6.277382388710976,1712525467,,False,19,6c6068bd,2024-04-07_23-31-07,75.11537599563599,1437.9267570972443,30412,AT-MB-PC-EOS,127.0.0.1,1437.9267570972443,19,256,3,0.5,0.001
0.08,0.92,0.21,0.71,0.23223298735478345,39.47960785031319,0.07,0.93,0.22,0.71,0.2668176674842834,6.670441687107086,1712525541,,False,20,6c6068bd,2024-04-07_23-32-21,74.40994596481323,1512.3367030620575,30412,AT-MB-PC-EOS,127.0.0.1,1512.3367030620575,20,256,3,0.5,0.001
