train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.07743,0.51134,0.10554,0.56673,0.8326058342176326,141.54299181699753,0.07345,0.50603,0.11758,0.57947,0.8616466856002808,21.54116714000702,1714459813,,False,1,a704618b,2024-04-30_08-50-13,230.43953728675842,230.43953728675842,16608,AT-MB-PC-EOS,127.0.0.1,230.43953728675842,1,128,6,0.2,0.001
0.07743,0.86727,0.08678,0.50639,0.3914763340178658,66.55097678303719,0.07345,0.9255,0.11772,0.52299,0.29537113845348356,7.3842784613370895,1714460030,,False,2,a704618b,2024-04-30_08-53-50,217.5478069782257,447.98734426498413,16608,AT-MB-PC-EOS,127.0.0.1,447.98734426498413,2,128,6,0.2,0.001
0.07743,0.91966,0.12869,0.56627,0.29870203654555716,50.77934621274471,0.07345,0.92432,0.11485,0.58295,0.26878995180130005,6.719748795032501,1714460247,,False,3,a704618b,2024-04-30_08-57-27,216.77387714385986,664.761221408844,16608,AT-MB-PC-EOS,127.0.0.1,664.761221408844,3,128,6,0.2,0.001
0.07743,0.92133,0.13832,0.5993,0.28036987658809215,47.66287901997566,0.07345,0.92655,0.09733,0.52296,0.33713411502540114,8.428352875635028,1714460464,,False,4,a704618b,2024-04-30_09-01-04,217.1435706615448,881.9047920703888,16608,AT-MB-PC-EOS,127.0.0.1,881.9047920703888,4,128,6,0.2,0.001
0.07743,0.92172,0.15519,0.62119,0.2737801648238126,46.54262802004814,0.07345,0.92649,0.1167,0.55876,0.3487543231248856,8.718858078122139,1714460681,,False,5,a704618b,2024-04-30_09-04-41,216.56356525421143,1098.4683573246002,16608,AT-MB-PC-EOS,127.0.0.1,1098.4683573246002,5,128,6,0.2,0.001
0.07743,0.92203,0.15702,0.63584,0.2686373755335808,45.66835384070873,0.07345,0.91819,0.1679,0.63087,0.27687248289585115,6.921812072396278,1714460898,,False,6,a704618b,2024-04-30_09-08-18,217.2724449634552,1315.7408022880554,16608,AT-MB-PC-EOS,127.0.0.1,1315.7408022880554,6,128,6,0.2,0.001
0.07743,0.92306,0.17636,0.65619,0.2586740688366048,43.974591702222824,0.07345,0.92776,0.12638,0.56222,0.43096939504146575,10.774234876036644,1714461116,,False,7,a704618b,2024-04-30_09-11-56,217.4333357810974,1533.1741380691528,16608,AT-MB-PC-EOS,127.0.0.1,1533.1741380691528,7,128,6,0.2,0.001
0.07743,0.92346,0.18057,0.65149,0.25850791352636676,43.946345299482346,0.07345,0.92515,0.19739,0.63688,0.25888006448745726,6.472001612186432,1714461333,,False,8,a704618b,2024-04-30_09-15-33,217.3844997882843,1750.5586378574371,16608,AT-MB-PC-EOS,127.0.0.1,1750.5586378574371,8,128,6,0.2,0.001
0.07743,0.92358,0.19601,0.67942,0.2505617256988497,42.595493368804455,0.07345,0.92749,0.20001,0.66579,0.2577216750383377,6.443041875958443,1714461550,,False,9,a704618b,2024-04-30_09-19-10,217.21883535385132,1967.7774732112885,16608,AT-MB-PC-EOS,127.0.0.1,1967.7774732112885,9,128,6,0.2,0.001
0.07743,0.92369,0.19608,0.67442,0.24801562060328092,42.162655502557755,0.07345,0.92766,0.22866,0.70785,0.24336262583732604,6.084065645933151,1714461767,,False,10,a704618b,2024-04-30_09-22-47,216.97176098823547,2184.749234199524,16608,AT-MB-PC-EOS,127.0.0.1,2184.749234199524,10,128,6,0.2,0.001
0.07743,0.9246,0.2211,0.713,0.23767438399441101,40.40464527904987,0.07345,0.92727,0.15858,0.64286,0.27246204018592834,6.811551004648209,1714461984,,False,11,a704618b,2024-04-30_09-26-24,216.81701111793518,2401.566245317459,16608,AT-MB-PC-EOS,127.0.0.1,2401.566245317459,11,128,6,0.2,0.001
0.07743,0.92365,0.21603,0.70158,0.23914975914008477,40.65545905381441,0.07345,0.9288,0.23817,0.68175,0.23008465886116028,5.752116471529007,1714462202,,False,12,a704618b,2024-04-30_09-30-02,218.14063930511475,2619.706884622574,16608,AT-MB-PC-EOS,127.0.0.1,2619.706884622574,12,128,6,0.2,0.001
0.07743,0.92498,0.2396,0.71988,0.23110747048083474,39.288269981741905,0.07345,0.92443,0.24317,0.70232,0.24447379231452943,6.1118448078632355,1714462421,,False,13,a704618b,2024-04-30_09-33-41,218.69561886787415,2838.402503490448,16608,AT-MB-PC-EOS,127.0.0.1,2838.402503490448,13,128,6,0.2,0.001
0.07743,0.92495,0.24392,0.72026,0.2296543323818375,39.041236504912376,0.07345,0.9274,0.22622,0.70216,0.22948728919029235,5.737182229757309,1714462638,,False,14,a704618b,2024-04-30_09-37-18,217.287273645401,3055.689777135849,16608,AT-MB-PC-EOS,127.0.0.1,3055.689777135849,14,128,6,0.2,0.001
0.07743,0.92498,0.25565,0.7395,0.22525074122583164,38.29262600839138,0.07345,0.92978,0.27936,0.73891,0.2270297333598137,5.675743333995342,1714462856,,True,15,a704618b,2024-04-30_09-40-56,217.87002730369568,3273.5598044395447,16608,AT-MB-PC-EOS,127.0.0.1,3273.5598044395447,15,128,6,0.2,0.001
