train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.07743,0.45597,0.08423,0.50916,0.9038734432529001,153.658485352993,0.07345,0.44983,0.08249,0.50193,0.9368948245048523,23.422370612621307,1715970524,,False,1,c0b5aeee,2024-05-17_20-28-44,106.72356939315796,106.72356939315796,24936,AT-MB-PC-E13,127.0.0.1,106.72356939315796,1,128,3,0.0,0.001
0.07743,0.80232,0.08663,0.50498,0.4977007005144568,84.60911908745766,0.07345,0.91549,0.09023,0.48374,0.34402171850204466,8.600542962551117,1715970627,,False,2,c0b5aeee,2024-05-17_20-30-27,103.1173620223999,209.84093141555786,24936,AT-MB-PC-E13,127.0.0.1,209.84093141555786,2,128,3,0.0,0.001
0.07743,0.91984,0.11217,0.54498,0.3104644642156713,52.77895891666412,0.07345,0.92306,0.18105,0.60934,0.28677807867527005,7.169451966881752,1715970730,,False,3,c0b5aeee,2024-05-17_20-32-10,103.06554055213928,312.90647196769714,24936,AT-MB-PC-E13,127.0.0.1,312.90647196769714,3,128,3,0.0,0.001
0.07743,0.92234,0.15006,0.60176,0.27748930822400486,47.173182398080826,0.07345,0.92529,0.16667,0.62749,0.26426738142967227,6.606684535741806,1715970833,,False,4,c0b5aeee,2024-05-17_20-33-53,102.86480474472046,415.7712767124176,24936,AT-MB-PC-E13,127.0.0.1,415.7712767124176,4,128,3,0.0,0.001
0.07743,0.92219,0.18389,0.65519,0.26099126391551075,44.368514865636826,0.07345,0.92703,0.19216,0.62112,0.27406212598085405,6.851553149521351,1715970935,,False,5,c0b5aeee,2024-05-17_20-35-35,101.70092725753784,517.4722039699554,24936,AT-MB-PC-E13,127.0.0.1,517.4722039699554,5,128,3,0.0,0.001
0.07743,0.92333,0.21066,0.68253,0.2472935066503637,42.03989613056183,0.07345,0.92937,0.20022,0.69332,0.23357177197933196,5.839294299483299,1715971038,,False,6,c0b5aeee,2024-05-17_20-37-18,103.83247709274292,621.3046810626984,24936,AT-MB-PC-E13,127.0.0.1,621.3046810626984,6,128,3,0.0,0.001
0.07743,0.92375,0.22444,0.69327,0.24623335591133902,41.859670504927635,0.07345,0.92777,0.20809,0.6633,0.28198112785816193,7.049528196454048,1715971141,,False,7,c0b5aeee,2024-05-17_20-39-01,102.4520263671875,723.7567074298859,24936,AT-MB-PC-E13,127.0.0.1,723.7567074298859,7,128,3,0.0,0.001
0.07743,0.92425,0.23742,0.69643,0.24147219710490284,41.05027350783348,0.07345,0.92707,0.16726,0.61822,0.3209491914510727,8.023729786276817,1715971267,,False,8,c0b5aeee,2024-05-17_20-41-07,125.7338056564331,849.490513086319,24936,AT-MB-PC-E13,127.0.0.1,849.490513086319,8,128,3,0.0,0.001
0.07743,0.92517,0.24818,0.72207,0.23545100688934326,40.026671171188354,0.07345,0.92753,0.25017,0.71564,0.2430657172203064,6.07664293050766,1715971397,,False,9,c0b5aeee,2024-05-17_20-43-17,130.8922894001007,980.3828024864197,24936,AT-MB-PC-E13,127.0.0.1,980.3828024864197,9,128,3,0.0,0.001
0.07743,0.92423,0.24682,0.71699,0.23381398346494225,39.748377189040184,0.07345,0.92772,0.26155,0.70952,0.24647481381893158,6.1618703454732895,1715971526,,False,10,c0b5aeee,2024-05-17_20-45-26,128.83373427391052,1109.2165367603302,24936,AT-MB-PC-E13,127.0.0.1,1109.2165367603302,10,128,3,0.0,0.001
