train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,test_accuracy-0_0,test_accuracy-0_5,test_ap,test_auc,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/parameter/dropout,config/model/modules/1/times,config/optimizer/base_learning_rate
0.07743,0.50524,0.10722,0.56865,0.832350751582314,141.49962776899338,0.07345,0.52446,0.11507,0.57635,0.8256322646141052,20.64080661535263,0.08194,0.51627,0.12154,0.56074,0.8281186247358516,40.57781261205673,1714637096,,False,1,b8f7d02e,2024-05-02_10-04-56,201.70406579971313,201.70406579971313,6776,AT-MB-PC-EOS,127.0.0.1,201.70406579971313,1,256,0.2,6,0.001
0.07743,0.87052,0.09025,0.51291,0.3841150303973871,65.29955516755581,0.07345,0.91937,0.09976,0.51765,0.30599325120449067,7.6498312801122665,0.08194,0.91297,0.12177,0.531,0.32763360288678384,16.054046541452408,1714637288,,False,2,b8f7d02e,2024-05-02_10-08-08,192.80702114105225,394.5110869407654,6776,AT-MB-PC-EOS,127.0.0.1,394.5110869407654,2,256,0.2,6,0.001
0.07743,0.91896,0.13075,0.56978,0.2926674738526344,49.75347055494785,0.07345,0.92398,0.16089,0.57821,0.2719423234462738,6.798558086156845,0.08194,0.91571,0.15036,0.56357,0.2966307237440226,14.534905463457108,1714637479,,False,3,b8f7d02e,2024-05-02_10-11-19,190.50336956977844,585.0144565105438,6776,AT-MB-PC-EOS,127.0.0.1,585.0144565105438,3,256,0.2,6,0.001
0.07743,0.92043,0.14289,0.60667,0.277711627237937,47.210976630449295,0.07345,0.92567,0.14653,0.58868,0.2961447787284851,7.403619468212128,0.08194,0.91746,0.1468,0.59333,0.3177771835911031,15.57108199596405,1714637669,,False,4,b8f7d02e,2024-05-02_10-14-29,190.12314891815186,775.1376054286957,6776,AT-MB-PC-EOS,127.0.0.1,775.1376054286957,4,256,0.2,6,0.001
0.07743,0.92105,0.15582,0.63206,0.2710700278334758,46.081904731690884,0.07345,0.92515,0.17368,0.65825,0.25628941237926484,6.407235309481621,0.08194,0.91722,0.17362,0.63365,0.2730641854660852,13.380145087838173,1714637860,,False,5,b8f7d02e,2024-05-02_10-17-40,190.87801456451416,966.0156199932098,6776,AT-MB-PC-EOS,127.0.0.1,966.0156199932098,5,256,0.2,6,0.001
0.07743,0.92185,0.17571,0.64962,0.2630722684018752,44.72228562831879,0.07345,0.92731,0.15352,0.59273,0.29079175740480423,7.269793935120106,0.08194,0.91813,0.14625,0.59798,0.3285293296283605,16.097937151789665,1714638050,,False,6,b8f7d02e,2024-05-02_10-20-50,190.06614351272583,1156.0817635059357,6776,AT-MB-PC-EOS,127.0.0.1,1156.0817635059357,6,256,0.2,6,0.001
0.07743,0.92277,0.17503,0.65579,0.2597610012573354,44.159370213747025,0.07345,0.92461,0.16486,0.59754,0.2544446864724159,6.361117161810398,0.08194,0.91813,0.18383,0.60112,0.2789335509344023,13.667743995785713,1714638240,,False,7,b8f7d02e,2024-05-02_10-24-00,189.80942463874817,1345.8911881446838,6776,AT-MB-PC-EOS,127.0.0.1,1345.8911881446838,7,256,0.2,6,0.001
0.07743,0.9227,0.17852,0.66921,0.25466629924143064,43.293270871043205,0.07345,0.92806,0.21154,0.6502,0.2638586193323135,6.596465483307838,0.08194,0.92032,0.21453,0.67283,0.27054927087559993,13.256914272904396,1714638431,,False,8,b8f7d02e,2024-05-02_10-27-11,191.60373950004578,1537.4949276447296,6776,AT-MB-PC-EOS,127.0.0.1,1537.4949276447296,8,256,0.2,6,0.001
0.07743,0.92301,0.18764,0.66611,0.25394187578383615,43.170118883252144,0.07345,0.92653,0.14303,0.60501,0.30413255751132967,7.603313937783241,0.08194,0.91806,0.15619,0.65204,0.30359974959675146,14.876387730240822,1714638622,,False,9,b8f7d02e,2024-05-02_10-30-22,190.22793197631836,1727.722859621048,6776,AT-MB-PC-EOS,127.0.0.1,1727.722859621048,9,256,0.2,6,0.001
0.07743,0.92352,0.19759,0.68724,0.2461901769042015,41.852330073714256,0.07345,0.92862,0.22913,0.67708,0.24296246021986007,6.074061505496502,0.08194,0.91961,0.23015,0.6768,0.26945236325263977,13.203165799379349,1714638812,,False,10,b8f7d02e,2024-05-02_10-33-32,190.27405619621277,1917.9969158172607,6776,AT-MB-PC-EOS,127.0.0.1,1917.9969158172607,10,256,0.2,6,0.001
0.07743,0.92332,0.2169,0.70581,0.24086003623464528,40.9462061598897,0.07345,0.92597,0.17945,0.65956,0.26444674015045166,6.6111685037612915,0.08194,0.91824,0.21256,0.68218,0.28301193869235564,13.867584995925426,1714639003,,False,11,b8f7d02e,2024-05-02_10-36-43,190.97357559204102,2108.9704914093018,6776,AT-MB-PC-EOS,127.0.0.1,2108.9704914093018,11,256,0.2,6,0.001
0.07743,0.9232,0.21019,0.70319,0.2401068182552562,40.818159103393555,0.07345,0.92049,0.21037,0.65201,0.26243612468242644,6.560903117060661,0.08194,0.91643,0.21943,0.64903,0.2778680120803872,13.615532591938972,1714639192,,False,12,b8f7d02e,2024-05-02_10-39-52,188.93475008010864,2297.9052414894104,6776,AT-MB-PC-EOS,127.0.0.1,2297.9052414894104,12,256,0.2,6,0.001
0.07743,0.9244,0.22419,0.71437,0.2352357614566298,39.99007944762707,0.07345,0.92777,0.23345,0.69186,0.23040428310632705,5.760107077658176,0.08194,0.91963,0.25548,0.72197,0.24454818483518095,11.982861056923866,1714639382,,False,13,b8f7d02e,2024-05-02_10-43-02,189.85856199264526,2487.7638034820557,6776,AT-MB-PC-EOS,127.0.0.1,2487.7638034820557,13,256,0.2,6,0.001
0.07743,0.92514,0.24599,0.72625,0.23154133461854037,39.36202688515186,0.07345,0.92839,0.25133,0.73404,0.22989319741725922,5.74732993543148,0.08194,0.92142,0.25227,0.73284,0.24217970425985297,11.866805508732796,1714639571,,False,14,b8f7d02e,2024-05-02_10-46-11,189.32018852233887,2677.0839920043945,6776,AT-MB-PC-EOS,127.0.0.1,2677.0839920043945,14,256,0.2,6,0.001
0.07743,0.92512,0.25303,0.73287,0.2270959478090791,38.60631112754345,0.07345,0.9255,0.17615,0.63744,0.2388992801308632,5.97248200327158,0.08194,0.91879,0.22254,0.67139,0.25391100970458014,12.441639475524426,1714639761,,False,15,b8f7d02e,2024-05-02_10-49-21,189.64889907836914,2866.7328910827637,6776,AT-MB-PC-EOS,127.0.0.1,2866.7328910827637,15,256,0.2,6,0.001
