train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,test_accuracy-0_0,test_accuracy-0_5,test_ap,test_auc,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/parameter/dropout,config/model/modules/1/times,config/optimizer/base_learning_rate
0.07743,0.38797,0.09691,0.52115,1.1075734310290393,188.28748327493668,0.07345,0.38411,0.11154,0.55445,1.1206595253944398,28.016488134860992,0.08194,0.3903,0.10203,0.51683,1.1198457868731753,54.87244355678558,1713614846,,False,1,11ef119f,2024-04-20_14-07-26,55.80556011199951,55.80556011199951,22680,AT-MB-PC-E13,127.0.0.1,55.80556011199951,1,128,0.0,3,0.001
0.07743,0.86239,0.09617,0.53235,0.3821214150856523,64.96064056456089,0.07345,0.92051,0.1129,0.50833,0.3091485369205475,7.728713423013687,0.08194,0.91462,0.1094,0.51381,0.3353818074172857,16.433708563447,1713614902,,False,2,11ef119f,2024-04-20_14-08-22,56.23245358467102,112.03801369667053,22680,AT-MB-PC-E13,127.0.0.1,112.03801369667053,2,128,0.0,3,0.001
0.07743,0.9163,0.14577,0.59403,0.2981580192551893,50.68686327338219,0.07345,0.92324,0.14679,0.59508,0.2947531747817993,7.368829369544983,0.08194,0.91748,0.16839,0.60807,0.30684245149700007,15.035280123353004,1713614959,,False,3,11ef119f,2024-04-20_14-09-19,56.708986043930054,168.7469997406006,22680,AT-MB-PC-E13,127.0.0.1,168.7469997406006,3,128,0.0,3,0.001
0.07743,0.91986,0.17509,0.62566,0.27674329657764996,47.04636041820049,0.07345,0.92694,0.17674,0.60866,0.30858144879341126,7.714536219835281,0.08194,0.91917,0.19469,0.62378,0.327513439314706,16.048158526420593,1713615015,,False,4,11ef119f,2024-04-20_14-10-15,56.77868580818176,225.52568554878235,22680,AT-MB-PC-E13,127.0.0.1,225.52568554878235,4,128,0.0,3,0.001
0.07743,0.92177,0.18484,0.64586,0.2639341151013094,44.868799567222595,0.07345,0.92567,0.16866,0.59491,0.27284037351608276,6.821009337902069,0.08194,0.91716,0.16904,0.59558,0.2866127405847822,14.044024288654327,1713615073,,False,5,11ef119f,2024-04-20_14-11-13,57.76526069641113,283.2909462451935,22680,AT-MB-PC-E13,127.0.0.1,283.2909462451935,5,128,0.0,3,0.001
0.07743,0.92332,0.20976,0.67784,0.2519397968755049,42.82976546883583,0.07345,0.92612,0.15675,0.59483,0.30824830412864684,7.706207603216171,0.08194,0.91797,0.16067,0.60918,0.3204015605911917,15.699676468968391,1713615130,,False,6,11ef119f,2024-04-20_14-12-10,56.46536374092102,339.7563099861145,22680,AT-MB-PC-E13,127.0.0.1,339.7563099861145,6,128,0.0,3,0.001
0.07743,0.92343,0.22321,0.70019,0.24333224121262045,41.36648100614548,0.07345,0.92219,0.19007,0.61896,0.27016530752182005,6.754132688045502,0.08194,0.91821,0.20214,0.61899,0.2837446651288441,13.903488591313362,1713615186,,False,7,11ef119f,2024-04-20_14-13-06,56.226932525634766,395.98324251174927,22680,AT-MB-PC-E13,127.0.0.1,395.98324251174927,7,128,0.0,3,0.001
0.07743,0.92453,0.22838,0.71071,0.23983340719166923,40.77167922258377,0.07345,0.92727,0.22888,0.69081,0.23572010278701783,5.893002569675446,0.08194,0.92093,0.26072,0.71482,0.2528310951833822,12.38872366398573,1713615244,,False,8,11ef119f,2024-04-20_14-14-04,58.15068459510803,454.1339271068573,22680,AT-MB-PC-E13,127.0.0.1,454.1339271068573,8,128,0.0,3,0.001
0.07743,0.92555,0.25696,0.73054,0.23297867770580685,39.60637520998716,0.07345,0.91232,0.25117,0.69044,0.27601280599832534,6.900320149958134,0.08194,0.90794,0.24407,0.69872,0.2814155664979195,13.789362758398056,1713615301,,False,9,11ef119f,2024-04-20_14-15-01,57.17526817321777,511.3091952800751,22680,AT-MB-PC-E13,127.0.0.1,511.3091952800751,9,128,0.0,3,0.001
0.07743,0.92624,0.27905,0.74626,0.22813242314492954,38.78251193463802,0.07345,0.92698,0.20855,0.66227,0.2577607434988022,6.444018587470055,0.08194,0.92078,0.23904,0.6972,0.2702004094513095,13.239820063114166,1713615360,,False,10,11ef119f,2024-04-20_14-16-00,58.46811008453369,569.7773053646088,22680,AT-MB-PC-E13,127.0.0.1,569.7773053646088,10,128,0.0,3,0.001
0.07743,0.92646,0.27304,0.74619,0.22628694465931723,38.46878059208393,0.07345,0.92815,0.23958,0.68055,0.2362439054250717,5.906097635626793,0.08194,0.92346,0.2729,0.69938,0.24920477216341058,12.211033836007118,1713615418,,False,11,11ef119f,2024-04-20_14-16-58,58.44670009613037,628.2240054607391,22680,AT-MB-PC-E13,127.0.0.1,628.2240054607391,11,128,0.0,3,0.001
0.07743,0.92686,0.29215,0.75016,0.22322457428364192,37.94817762821913,0.07345,0.92801,0.25385,0.70463,0.2422538447380066,6.056346118450165,0.08194,0.92186,0.28608,0.71296,0.2504301247548084,12.271076112985611,1713615475,,False,12,11ef119f,2024-04-20_14-17-55,57.30365777015686,685.527663230896,22680,AT-MB-PC-E13,127.0.0.1,685.527663230896,12,128,0.0,3,0.001
0.07743,0.92699,0.30841,0.76694,0.219999187527334,37.39986187964678,0.07345,0.92277,0.23426,0.69737,0.25297640323638915,6.324410080909729,0.08194,0.9138,0.21705,0.67988,0.28179606308742444,13.808007091283798,1713615532,,False,13,11ef119f,2024-04-20_14-18-52,56.57246994972229,742.1001331806183,22680,AT-MB-PC-E13,127.0.0.1,742.1001331806183,13,128,0.0,3,0.001
0.07743,0.92886,0.32698,0.78409,0.21451971811406753,36.46835207939148,0.07345,0.92992,0.30976,0.77099,0.21372548580169679,5.343137145042419,0.08194,0.92578,0.34394,0.7837,0.2244198745002552,10.996573850512505,1713615589,,False,14,11ef119f,2024-04-20_14-19-49,56.84327220916748,798.9434053897858,22680,AT-MB-PC-E13,127.0.0.1,798.9434053897858,14,128,0.0,3,0.001
0.07743,0.9298,0.34082,0.7895,0.2090086454854292,35.531469732522964,0.07345,0.93122,0.27861,0.70144,0.234254435300827,5.856360882520676,0.08194,0.92163,0.27018,0.69986,0.25443041081331214,12.467090129852295,1713615646,,False,15,11ef119f,2024-04-20_14-20-46,56.58249115943909,855.5258965492249,22680,AT-MB-PC-E13,127.0.0.1,855.5258965492249,15,128,0.0,3,0.001
0.07743,0.92977,0.33621,0.79191,0.20858637637951793,35.45968398451805,0.07345,0.93049,0.31099,0.76749,0.21681723296642302,5.420430824160576,0.08194,0.92306,0.31399,0.78077,0.22788624237386548,11.166425876319408,1713615702,,False,16,11ef119f,2024-04-20_14-21-42,56.976728677749634,912.5026252269745,22680,AT-MB-PC-E13,127.0.0.1,912.5026252269745,16,128,0.0,3,0.001
0.07743,0.93089,0.36322,0.79799,0.2058608835672631,34.99635020643473,0.07345,0.92935,0.2941,0.72497,0.23337312817573547,5.834328204393387,0.08194,0.92402,0.31198,0.72547,0.24348437390765365,11.930734321475029,1713615759,,False,17,11ef119f,2024-04-20_14-22-39,56.40336060523987,968.9059858322144,22680,AT-MB-PC-E13,127.0.0.1,968.9059858322144,17,128,0.0,3,0.001
0.07743,0.93061,0.36353,0.80295,0.20432701281764928,34.73559217900038,0.07345,0.93083,0.31224,0.75936,0.21062813758850096,5.265703439712524,0.08194,0.92457,0.3378,0.76373,0.22376358341805788,10.964415587484837,1713615815,,False,18,11ef119f,2024-04-20_14-23-35,55.8026487827301,1024.7086346149445,22680,AT-MB-PC-E13,127.0.0.1,1024.7086346149445,18,128,0.0,3,0.001
0.07743,0.93149,0.38016,0.80811,0.20110993214389858,34.18868846446276,0.07345,0.93105,0.34482,0.7707,0.21637154042720794,5.409288510680199,0.08194,0.92564,0.32991,0.767,0.23502178277288163,11.5160673558712,1713615871,,False,19,11ef119f,2024-04-20_14-24-31,56.572025775909424,1081.2806603908539,22680,AT-MB-PC-E13,127.0.0.1,1081.2806603908539,19,128,0.0,3,0.001
0.07743,0.93115,0.37509,0.81226,0.2020781672176193,34.35328842699528,0.07345,0.93432,0.34977,0.76752,0.22044755071401595,5.511188767850399,0.08194,0.92634,0.37221,0.77694,0.22576508579813703,11.062489204108715,1713615928,,False,20,11ef119f,2024-04-20_14-25-28,56.56525230407715,1137.845912694931,22680,AT-MB-PC-E13,127.0.0.1,1137.845912694931,20,128,0.0,3,0.001
0.07743,0.93202,0.40525,0.82433,0.19483850098708097,33.122545167803764,0.07345,0.93175,0.34483,0.77815,0.22221730291843414,5.555432572960854,0.08194,0.9267,0.39954,0.79214,0.22708179087054972,11.127007752656937,1713615984,,False,21,11ef119f,2024-04-20_14-26-24,56.12124705314636,1193.9671597480774,22680,AT-MB-PC-E13,127.0.0.1,1193.9671597480774,21,128,0.0,3,0.001
0.07743,0.93391,0.41194,0.82845,0.1941882662475109,33.012005262076855,0.07345,0.93398,0.3239,0.79239,0.20884169578552247,5.2210423946380615,0.08194,0.92807,0.38684,0.7974,0.21455831339164655,10.513357356190681,1713616041,,False,22,11ef119f,2024-04-20_14-27-21,56.66130304336548,1250.6284627914429,22680,AT-MB-PC-E13,127.0.0.1,1250.6284627914429,22,128,0.0,3,0.001
0.07743,0.9329,0.39955,0.82788,0.1932670006857199,32.85539011657238,0.07345,0.93081,0.3195,0.78926,0.20582255423069,5.14556385576725,0.08194,0.92481,0.38884,0.80328,0.20990130442137622,10.285163916647434,1713616097,,False,23,11ef119f,2024-04-20_14-28-17,56.448448181152344,1307.0769109725952,22680,AT-MB-PC-E13,127.0.0.1,1307.0769109725952,23,128,0.0,3,0.001
0.07743,0.93396,0.43162,0.82797,0.19146465887041653,32.54899200797081,0.07345,0.93014,0.32628,0.77439,0.20632783234119415,5.158195808529854,0.08194,0.9275,0.40986,0.81337,0.20697401403164378,10.141726687550545,1713616152,,False,24,11ef119f,2024-04-20_14-29-12,54.54966473579407,1361.6265757083893,22680,AT-MB-PC-E13,127.0.0.1,1361.6265757083893,24,128,0.0,3,0.001
0.07743,0.93414,0.43717,0.82978,0.19119560841251823,32.5032534301281,0.07345,0.92977,0.34233,0.77891,0.20879226207733154,5.219806551933289,0.08194,0.926,0.41064,0.80871,0.2117303485164837,10.374787077307701,1713616207,,False,25,11ef119f,2024-04-20_14-30-07,55.20291709899902,1416.8294928073883,22680,AT-MB-PC-E13,127.0.0.1,1416.8294928073883,25,128,0.0,3,0.001
0.07743,0.93449,0.434,0.83703,0.1879535179804353,31.952098056674004,0.07345,0.92993,0.35256,0.78378,0.22398994177579878,5.59974854439497,0.08194,0.92634,0.40775,0.80775,0.21424598520507618,10.498053275048733,1713616263,,False,26,11ef119f,2024-04-20_14-31-03,56.15585112571716,1472.9853439331055,22680,AT-MB-PC-E13,127.0.0.1,1472.9853439331055,26,128,0.0,3,0.001
0.07743,0.93406,0.42852,0.8377,0.18854599730933413,32.0528195425868,0.07345,0.93117,0.31268,0.7576,0.21516618371009827,5.379154592752457,0.08194,0.92759,0.35179,0.75718,0.23460692699466432,11.495739422738552,1713616318,,False,27,11ef119f,2024-04-20_14-31-58,55.27609825134277,1528.2614421844482,22680,AT-MB-PC-E13,127.0.0.1,1528.2614421844482,27,128,0.0,3,0.001
0.07743,0.93484,0.44493,0.84313,0.1853116615291904,31.502982459962368,0.07345,0.92391,0.27504,0.76293,0.22166144967079163,5.541536241769791,0.08194,0.92183,0.35697,0.7748,0.2269959008815337,11.122799143195152,1713616375,,False,28,11ef119f,2024-04-20_14-32-55,56.618523359298706,1584.879965543747,22680,AT-MB-PC-E13,127.0.0.1,1584.879965543747,28,128,0.0,3,0.001
0.07743,0.93452,0.45746,0.84855,0.183804343071054,31.24673832207918,0.07345,0.93218,0.35654,0.79605,0.20294430196285249,5.073607549071312,0.08194,0.92635,0.39831,0.8029,0.2129966084446226,10.436833813786507,1713616433,,False,29,11ef119f,2024-04-20_14-33-53,58.17519950866699,1643.055165052414,22680,AT-MB-PC-E13,127.0.0.1,1643.055165052414,29,128,0.0,3,0.001
0.07743,0.93643,0.47025,0.84875,0.18298459438716663,31.10738104581833,0.07345,0.93446,0.37758,0.79543,0.19931708306074142,4.982927076518536,0.08194,0.92985,0.42157,0.80495,0.20849583191531046,10.216295763850212,1713616491,,False,30,11ef119f,2024-04-20_14-34-51,58.15169835090637,1701.2068634033203,22680,AT-MB-PC-E13,127.0.0.1,1701.2068634033203,30,128,0.0,3,0.001
0.07743,0.93697,0.47509,0.85693,0.17855128808056606,30.353718973696232,0.07345,0.93443,0.33739,0.76475,0.21289994776248933,5.322498694062233,0.08194,0.92808,0.42293,0.81273,0.21424129605293274,10.497823506593704,1713616550,,False,31,11ef119f,2024-04-20_14-35-50,58.997270584106445,1760.2041339874268,22680,AT-MB-PC-E13,127.0.0.1,1760.2041339874268,31,128,0.0,3,0.001
0.07743,0.9365,0.47842,0.86146,0.17813798684407683,30.28345776349306,0.07345,0.93218,0.36641,0.79753,0.20055721640586854,5.013930410146713,0.08194,0.92905,0.43491,0.82274,0.20259016311290312,9.926917992532253,1713616607,,False,32,11ef119f,2024-04-20_14-36-47,57.05491399765015,1817.259047985077,22680,AT-MB-PC-E13,127.0.0.1,1817.259047985077,32,128,0.0,3,0.001
