train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_ranking_accuracy_0.1,val_ranking_accuracy_0.2,val_ranking_accuracy_0.3,val_ranking_accuracy_0.4,val_ranking_accuracy_0.5,val_ranking_accuracy_0.6,val_ranking_accuracy_0.7,val_ranking_accuracy_0.8,val_ranking_accuracy_0.9,val_ranking_accuracy_1.0,val_ranking_accuracy_1.1,val_ranking_accuracy_1.2,val_ranking_accuracy_1.3,val_ranking_accuracy_1.4,val_ranking_accuracy_1.5,val_ranking_accuracy_1.6,val_ranking_accuracy_1.7,val_ranking_accuracy_1.8,val_ranking_accuracy_1.9,val_ranking_accuracy_2.0,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
5.199999809265137,-31.52,0.01,28.219999313354492,5.309999942779541,5.202410242496392,1623.1519956588745,4.210000038146973,-19.29,0.15,18.6200008392334,4.320000171661377,0.56,0.56,0.57,0.57,0.58,0.58,0.58,0.58,0.58,0.59,0.6,0.61,0.61,0.61,0.6,0.6,0.6,0.6,0.6,0.6,4.209584682513349,1317.6000056266785,1711702641,,False,1,dd370b27,2024-03-29_09-57-21,234.53574442863464,234.53574442863464,21460,AT-MB-PC-EOS,127.0.0.1,234.53574442863464,1,256,6,0.5,0.001
1.8600000143051147,-5.96,0.15,6.039999961853027,2.4600000381469727,1.8649659154888911,581.869365632534,7.019999980926514,-58.99,0.2,55.060001373291016,7.420000076293945,0.57,0.57,0.58,0.58,0.59,0.59,0.6,0.61,0.61,0.62,0.62,0.63,0.63,0.62,0.63,0.63,0.63,0.63,0.63,0.63,7.022498869667419,2198.042146205902,1711702855,,False,2,dd370b27,2024-03-29_10-00-55,214.15900897979736,448.694753408432,21460,AT-MB-PC-EOS,127.0.0.1,448.694753408432,2,256,6,0.5,0.001
0.8399999737739563,-0.32,0.41,1.149999976158142,1.0700000524520874,0.8362057808882151,260.8962036371231,4.619999885559082,-25.34,0.39,24.18000030517578,4.920000076293945,0.64,0.66,0.66,0.67,0.68,0.68,0.69,0.7,0.71,0.71,0.71,0.72,0.73,0.74,0.74,0.75,0.75,0.75,0.75,0.75,4.623290859472257,1447.0900390148163,1711703073,,False,3,dd370b27,2024-03-29_10-04-33,218.1835925579071,666.8783459663391,21460,AT-MB-PC-EOS,127.0.0.1,666.8783459663391,3,256,6,0.5,0.001
0.7400000095367432,-0.04,0.5,0.8999999761581421,0.949999988079071,0.7388518956991342,230.52179145812988,4.380000114440918,-22.6,0.43,21.65999984741211,4.650000095367432,0.66,0.67,0.68,0.69,0.7,0.71,0.71,0.73,0.74,0.74,0.75,0.75,0.76,0.76,0.77,0.78,0.78,0.78,0.78,0.78,4.375946108144693,1369.671131849289,1711703276,,False,4,dd370b27,2024-03-29_10-07-56,203.02906942367554,869.9074153900146,21460,AT-MB-PC-EOS,127.0.0.1,869.9074153900146,4,256,6,0.5,0.001
0.6899999976158142,0.09,0.54,0.7900000214576721,0.8899999856948853,0.6888588210329031,214.92395216226578,4.570000171661377,-24.58,0.39,23.479999542236328,4.849999904632568,0.64,0.65,0.66,0.67,0.67,0.68,0.69,0.7,0.7,0.71,0.72,0.73,0.73,0.74,0.75,0.75,0.76,0.76,0.76,0.76,4.571508809019583,1430.8822572231293,1711703496,,False,5,dd370b27,2024-03-29_10-11-36,219.98309016227722,1089.8905055522919,21460,AT-MB-PC-EOS,127.0.0.1,1089.8905055522919,5,256,6,0.5,0.001
0.6499999761581421,0.17,0.58,0.7200000286102295,0.8500000238418579,0.6534550357132386,203.87797114253044,4.019999980926514,-18.81,0.45,18.190000534057617,4.260000228881836,0.66,0.67,0.68,0.69,0.7,0.71,0.71,0.72,0.73,0.74,0.74,0.74,0.74,0.76,0.76,0.76,0.77,0.76,0.77,0.76,4.024203299714354,1259.5756328105927,1711703678,,False,6,dd370b27,2024-03-29_10-14-38,181.95019555091858,1271.8407011032104,21460,AT-MB-PC-EOS,127.0.0.1,1271.8407011032104,6,256,6,0.5,0.001
0.6200000047683716,0.24,0.62,0.6600000262260437,0.8100000023841858,0.6232560324745301,194.45588213205338,3.190000057220459,-11.57,0.58,11.529999732971191,3.4000000953674316,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.8,0.81,0.82,0.82,0.83,0.84,0.85,0.85,0.85,0.85,0.84,3.1901149353661093,998.5059747695923,1711703893,,False,7,dd370b27,2024-03-29_10-18-13,214.1829755306244,1486.0236766338348,21460,AT-MB-PC-EOS,127.0.0.1,1486.0236766338348,7,256,6,0.5,0.001
0.5899999737739563,0.31,0.65,0.6000000238418579,0.7699999809265137,0.5921885645351349,184.76283213496208,2.7300000190734863,-8.34,0.58,8.579999923706055,2.930000066757202,0.73,0.73,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.81,0.82,0.83,0.83,0.84,0.84,0.84,0.84,0.85,0.85,0.85,2.7339858399412504,855.7375679016113,1711704092,,False,8,dd370b27,2024-03-29_10-21-32,199.51546263694763,1685.5391392707825,21460,AT-MB-PC-EOS,127.0.0.1,1685.5391392707825,8,256,6,0.5,0.001
0.5699999928474426,0.35,0.67,0.5699999928474426,0.75,0.5726142490330415,178.65564569830894,2.0899999141693115,-4.6,0.66,5.139999866485596,2.2699999809265137,0.75,0.76,0.78,0.79,0.8,0.81,0.82,0.83,0.85,0.85,0.86,0.87,0.87,0.88,0.88,0.89,0.9,0.89,0.89,0.89,2.0871257363036038,653.270355463028,1711704302,,False,9,dd370b27,2024-03-29_10-25-02,209.7979588508606,1895.337098121643,21460,AT-MB-PC-EOS,127.0.0.1,1895.337098121643,9,256,6,0.5,0.001
0.5400000214576721,0.41,0.69,0.5099999904632568,0.7200000286102295,0.5416992323902937,169.01016050577164,2.8399999141693115,-8.76,0.66,8.960000038146973,2.990000009536743,0.76,0.77,0.79,0.8,0.81,0.82,0.83,0.85,0.86,0.86,0.87,0.87,0.88,0.89,0.89,0.9,0.91,0.91,0.91,0.9,2.8363644345499837,887.7820680141449,1711704498,,False,10,dd370b27,2024-03-29_10-28-18,196.54930710792542,2091.8864052295685,21460,AT-MB-PC-EOS,127.0.0.1,2091.8864052295685,10,256,6,0.5,0.001
