train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.55,0.09,0.51,0.9915351183975444,168.56097012758255,0.07,0.54,0.1,0.52,1.039830012321472,25.995750308036804,1712226368,,False,1,4b139f4d,2024-04-04_12-26-08,121.85635137557983,121.85635137557983,4476,AT-MB-PC-EOS,127.0.0.1,121.85635137557983,1,128,3,0.0,0.001
0.08,0.89,0.1,0.54,0.35365633605157626,60.12157712876797,0.07,0.92,0.13,0.57,0.3118033105134964,7.79508276283741,1712226478,,False,2,4b139f4d,2024-04-04_12-27-58,110.14214968681335,231.9985010623932,4476,AT-MB-PC-EOS,127.0.0.1,231.9985010623932,2,128,3,0.0,0.001
0.08,0.92,0.16,0.61,0.2895965237827862,49.231409043073654,0.07,0.91,0.19,0.66,0.2924207580089569,7.310518950223923,1712226588,,False,3,4b139f4d,2024-04-04_12-29-48,110.01995801925659,342.0184590816498,4476,AT-MB-PC-EOS,127.0.0.1,342.0184590816498,3,128,3,0.0,0.001
0.08,0.92,0.19,0.66,0.2643133631523918,44.9332717359066,0.07,0.92,0.15,0.56,0.27398629546165465,6.849657386541367,1712226696,,False,4,4b139f4d,2024-04-04_12-31-36,108.37175989151001,450.3902189731598,4476,AT-MB-PC-EOS,127.0.0.1,450.3902189731598,4,128,3,0.0,0.001
0.08,0.92,0.22,0.69,0.25116628978182287,42.69826926290989,0.07,0.92,0.19,0.61,0.3047979986667633,7.619949966669083,1712226804,,False,5,4b139f4d,2024-04-04_12-33-24,107.57879042625427,557.9690093994141,4476,AT-MB-PC-EOS,127.0.0.1,557.9690093994141,5,128,3,0.0,0.001
0.08,0.92,0.24,0.72,0.23835325127138812,40.52005271613598,0.07,0.93,0.23,0.68,0.27662265956401827,6.915566489100456,1712226906,,False,6,4b139f4d,2024-04-04_12-35-06,101.56268119812012,659.5316905975342,4476,AT-MB-PC-EOS,127.0.0.1,659.5316905975342,6,128,3,0.0,0.001
0.08,0.92,0.27,0.74,0.22927088864585932,38.976051069796085,0.07,0.93,0.21,0.66,0.29912829339504243,7.4782073348760605,1712227022,,False,7,4b139f4d,2024-04-04_12-37-02,116.24535822868347,775.7770488262177,4476,AT-MB-PC-EOS,127.0.0.1,775.7770488262177,7,128,3,0.0,0.001
0.08,0.93,0.28,0.75,0.22805236972430173,38.768902853131294,0.07,0.93,0.29,0.71,0.22448225528001786,5.612056382000446,1712227134,,False,8,4b139f4d,2024-04-04_12-38-54,111.74607515335083,887.5231239795685,4476,AT-MB-PC-EOS,127.0.0.1,887.5231239795685,8,128,3,0.0,0.001
0.08,0.93,0.29,0.76,0.22245009686140454,37.81651646643877,0.07,0.93,0.21,0.67,0.24566204726696014,6.141551181674004,1712227251,,False,9,4b139f4d,2024-04-04_12-40-51,117.9438259601593,1005.4669499397278,4476,AT-MB-PC-EOS,127.0.0.1,1005.4669499397278,9,128,3,0.0,0.001
0.08,0.93,0.29,0.76,0.22133732315372018,37.62734493613243,0.07,0.93,0.3,0.75,0.23226850777864455,5.806712694466114,1712227368,,False,10,4b139f4d,2024-04-04_12-42-48,116.34513688087463,1121.8120868206024,4476,AT-MB-PC-EOS,127.0.0.1,1121.8120868206024,10,128,3,0.0,0.001
0.08,0.93,0.31,0.76,0.22106200807234822,37.580541372299194,0.07,0.92,0.26,0.7,0.25038895547389983,6.259723886847496,1712227479,,False,11,4b139f4d,2024-04-04_12-44-39,110.91450810432434,1232.7265949249268,4476,AT-MB-PC-EOS,127.0.0.1,1232.7265949249268,11,128,3,0.0,0.001
0.08,0.93,0.32,0.78,0.2145781217252507,36.47828069329262,0.07,0.92,0.24,0.67,0.2708713537454605,6.771783843636513,1712227602,,False,12,4b139f4d,2024-04-04_12-46-42,122.93296384811401,1355.6595587730408,4476,AT-MB-PC-EOS,127.0.0.1,1355.6595587730408,12,128,3,0.0,0.001
0.08,0.93,0.33,0.78,0.2128202785463894,36.1794473528862,0.07,0.93,0.3,0.73,0.22030416548252105,5.507604137063026,1712227722,,False,13,4b139f4d,2024-04-04_12-48-42,120.26263737678528,1475.922196149826,4476,AT-MB-PC-EOS,127.0.0.1,1475.922196149826,13,128,3,0.0,0.001
0.08,0.93,0.34,0.79,0.20952626041629735,35.61946427077055,0.07,0.93,0.28,0.74,0.23417154788970948,5.854288697242737,1712227838,,False,14,4b139f4d,2024-04-04_12-50-38,116.4548270702362,1592.3770232200623,4476,AT-MB-PC-EOS,127.0.0.1,1592.3770232200623,14,128,3,0.0,0.001
0.08,0.93,0.37,0.8,0.20574754134697074,34.97708202898502,0.07,0.93,0.29,0.75,0.2327846646308899,5.819616615772247,1712227951,,False,15,4b139f4d,2024-04-04_12-52-31,112.67335796356201,1705.0503811836243,4476,AT-MB-PC-EOS,127.0.0.1,1705.0503811836243,15,128,3,0.0,0.001
0.08,0.93,0.37,0.8,0.20341101613114862,34.579872742295265,0.07,0.93,0.31,0.77,0.21919817328453065,5.479954332113266,1712228075,,False,16,4b139f4d,2024-04-04_12-54-35,123.63227200508118,1828.6826531887054,4476,AT-MB-PC-EOS,127.0.0.1,1828.6826531887054,16,128,3,0.0,0.001
0.08,0.93,0.37,0.81,0.19978471709524884,33.9634019061923,0.07,0.93,0.36,0.78,0.21306399166584014,5.326599791646004,1712228188,,False,17,4b139f4d,2024-04-04_12-56-28,113.08916425704956,1941.771817445755,4476,AT-MB-PC-EOS,127.0.0.1,1941.771817445755,17,128,3,0.0,0.001
0.08,0.93,0.38,0.81,0.2009050513891613,34.15385873615742,0.07,0.93,0.3,0.77,0.21591063797473908,5.397765949368477,1712228310,,False,18,4b139f4d,2024-04-04_12-58-30,122.5510618686676,2064.3228793144226,4476,AT-MB-PC-EOS,127.0.0.1,2064.3228793144226,18,128,3,0.0,0.001
0.08,0.93,0.4,0.83,0.194220360543798,33.01746129244566,0.07,0.92,0.31,0.76,0.22406580805778503,5.601645201444626,1712228430,,False,19,4b139f4d,2024-04-04_13-00-30,119.76907062530518,2184.091949939728,4476,AT-MB-PC-EOS,127.0.0.1,2184.091949939728,19,128,3,0.0,0.001
0.08,0.93,0.41,0.82,0.19473463292507565,33.10488759726286,0.07,0.93,0.33,0.75,0.21837375700473785,5.459343925118446,1712228544,,False,20,4b139f4d,2024-04-04_13-02-24,113.84888863563538,2297.940838575363,4476,AT-MB-PC-EOS,127.0.0.1,2297.940838575363,20,128,3,0.0,0.001
0.08,0.93,0.41,0.82,0.19398759984794786,32.977891974151134,0.07,0.93,0.32,0.77,0.21993569314479827,5.498392328619957,1712228666,,False,21,4b139f4d,2024-04-04_13-04-26,122.24512028694153,2420.1859588623047,4476,AT-MB-PC-EOS,127.0.0.1,2420.1859588623047,21,128,3,0.0,0.001
0.08,0.93,0.42,0.83,0.19323115993072004,32.84929718822241,0.07,0.93,0.35,0.79,0.20356735587120056,5.089183896780014,1712228785,,False,22,4b139f4d,2024-04-04_13-06-25,118.9746572971344,2539.160616159439,4476,AT-MB-PC-EOS,127.0.0.1,2539.160616159439,22,128,3,0.0,0.001
