train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.55,0.09,0.51,0.9915689713814679,168.56672513484955,0.07,0.54,0.1,0.52,1.0399153661727905,25.997884154319763,1712237593,,False,1,89f096be,2024-04-04_15-33-13,126.53129649162292,126.53129649162292,31064,AT-MB-PC-EOS,127.0.0.1,126.53129649162292,1,256,3,0.0,0.0001
0.08,0.77,0.09,0.48,0.5411915908841526,92.00257045030594,0.07,0.89,0.11,0.5,0.37419209122657776,9.354802280664444,1712237707,,False,2,89f096be,2024-04-04_15-35-07,113.95432472229004,240.48562121391296,31064,AT-MB-PC-EOS,127.0.0.1,240.48562121391296,2,256,3,0.0,0.0001
0.08,0.9,0.1,0.51,0.3560507036307279,60.52861961722374,0.07,0.92,0.1,0.51,0.3098150652647018,7.745376631617546,1712237824,,False,3,89f096be,2024-04-04_15-37-04,116.8705050945282,357.35612630844116,31064,AT-MB-PC-EOS,127.0.0.1,357.35612630844116,3,256,3,0.0,0.0001
0.08,0.92,0.11,0.56,0.30822774066644554,52.398715913295746,0.07,0.92,0.13,0.55,0.2919230318069458,7.298075795173645,1712237930,,False,4,89f096be,2024-04-04_15-38-50,106.01200270652771,463.3681290149689,31064,AT-MB-PC-EOS,127.0.0.1,463.3681290149689,4,256,3,0.0,0.0001
0.08,0.92,0.14,0.59,0.29068478179328583,49.41641290485859,0.07,0.92,0.17,0.57,0.28448749899864195,7.112187474966049,1712238049,,False,5,89f096be,2024-04-04_15-40-49,118.69886040687561,582.0669894218445,31064,AT-MB-PC-EOS,127.0.0.1,582.0669894218445,5,256,3,0.0,0.0001
0.08,0.92,0.17,0.62,0.2743670616079779,46.64240047335625,0.07,0.92,0.16,0.61,0.27816826283931734,6.954206570982933,1712238164,,False,6,89f096be,2024-04-04_15-42-44,114.70341563224792,696.7704050540924,31064,AT-MB-PC-EOS,127.0.0.1,696.7704050540924,6,256,3,0.0,0.0001
0.08,0.92,0.18,0.64,0.2673844911596354,45.45536349713802,0.07,0.93,0.17,0.62,0.26539263129234314,6.6348157823085785,1712238275,,False,7,89f096be,2024-04-04_15-44-35,111.77735948562622,808.5477645397186,31064,AT-MB-PC-EOS,127.0.0.1,808.5477645397186,7,256,3,0.0,0.0001
0.08,0.92,0.21,0.66,0.25994775505626905,44.191118359565735,0.07,0.92,0.2,0.63,0.2558618342876434,6.396545857191086,1712238392,,False,8,89f096be,2024-04-04_15-46-32,116.83157801628113,925.3793425559998,31064,AT-MB-PC-EOS,127.0.0.1,925.3793425559998,8,256,3,0.0,0.0001
0.08,0.92,0.23,0.7,0.24729793382918133,42.04064875096083,0.07,0.9,0.17,0.62,0.2842804342508316,7.10701085627079,1712238508,,False,9,89f096be,2024-04-04_15-48-28,115.53364706039429,1040.912989616394,31064,AT-MB-PC-EOS,127.0.0.1,1040.912989616394,9,256,3,0.0,0.0001
0.08,0.92,0.22,0.7,0.24427377160857705,41.5265411734581,0.07,0.93,0.22,0.67,0.2563337707519531,6.408344268798828,1712238622,,False,10,89f096be,2024-04-04_15-50-22,114.18989729881287,1155.102886915207,31064,AT-MB-PC-EOS,127.0.0.1,1155.102886915207,10,256,3,0.0,0.0001
0.08,0.92,0.24,0.71,0.2390691060353728,40.641748026013374,0.07,0.93,0.25,0.71,0.23113285958766938,5.778321489691734,1712238737,,False,11,89f096be,2024-04-04_15-52-17,114.87759137153625,1269.9804782867432,31064,AT-MB-PC-EOS,127.0.0.1,1269.9804782867432,11,256,3,0.0,0.0001
0.08,0.93,0.27,0.73,0.23188846120062998,39.421038404107094,0.07,0.93,0.25,0.71,0.24467474460601807,6.116868615150452,1712238855,,False,12,89f096be,2024-04-04_15-54-15,118.28678774833679,1388.26726603508,31064,AT-MB-PC-EOS,127.0.0.1,1388.26726603508,12,256,3,0.0,0.0001
0.08,0.93,0.28,0.74,0.2294445658869603,39.00557620078325,0.07,0.93,0.27,0.73,0.22330127090215682,5.582531772553921,1712238968,,False,13,89f096be,2024-04-04_15-56-08,113.02237105369568,1501.2896370887756,31064,AT-MB-PC-EOS,127.0.0.1,1501.2896370887756,13,256,3,0.0,0.0001
0.08,0.93,0.3,0.76,0.22335063885239995,37.96960860490799,0.07,0.93,0.22,0.62,0.2998647278547287,7.4966181963682175,1712239086,,False,14,89f096be,2024-04-04_15-58-06,117.91344571113586,1619.2030827999115,31064,AT-MB-PC-EOS,127.0.0.1,1619.2030827999115,14,256,3,0.0,0.0001
0.08,0.93,0.31,0.76,0.21900422989445575,37.230719082057476,0.07,0.93,0.27,0.71,0.23480044364929198,5.8700110912323,1712239202,,True,15,89f096be,2024-04-04_16-00-02,115.82445406913757,1735.027536869049,31064,AT-MB-PC-EOS,127.0.0.1,1735.027536869049,15,256,3,0.0,0.0001
