train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.56,0.09,0.5,0.8273264839368708,140.64550226926804,0.07,0.56,0.09,0.48,0.8009201645851135,20.023004114627838,1712215727,,False,1,f9847c5e,2024-04-04_09-28-47,121.51488947868347,121.51488947868347,15296,AT-MB-PC-EOS,127.0.0.1,121.51488947868347,1,64,3,0.5,1e-05
0.08,0.59,0.08,0.49,0.7751207085216747,131.7705204486847,0.07,0.66,0.09,0.45,0.6711047339439392,16.77761834859848,1712215839,,False,2,f9847c5e,2024-04-04_09-30-39,111.55102705955505,233.06591653823853,15296,AT-MB-PC-EOS,127.0.0.1,233.06591653823853,2,64,3,0.5,1e-05
0.08,0.65,0.08,0.48,0.6633085131645202,112.76244723796844,0.07,0.76,0.08,0.44,0.556260563135147,13.906514078378677,1712215953,,False,3,f9847c5e,2024-04-04_09-32-33,114.30294466018677,347.3688611984253,15296,AT-MB-PC-EOS,127.0.0.1,347.3688611984253,3,64,3,0.5,1e-05
0.08,0.74,0.08,0.46,0.5521934591672,93.872888058424,0.07,0.82,0.09,0.46,0.47940967679023744,11.985241919755936,1712216063,,False,4,f9847c5e,2024-04-04_09-34-23,110.62528228759766,457.99414348602295,15296,AT-MB-PC-EOS,127.0.0.1,457.99414348602295,4,64,3,0.5,1e-05
0.08,0.81,0.08,0.46,0.4748271628337748,80.72061768174171,0.07,0.88,0.08,0.44,0.41691494584083555,10.42287364602089,1712216180,,False,5,f9847c5e,2024-04-04_09-36-20,116.42429208755493,574.4184355735779,15296,AT-MB-PC-EOS,127.0.0.1,574.4184355735779,5,64,3,0.5,1e-05
0.08,0.85,0.08,0.47,0.4253864519736346,72.31569683551788,0.07,0.9,0.09,0.46,0.3636066627502441,9.090166568756104,1712216291,,False,6,f9847c5e,2024-04-04_09-38-11,111.20353531837463,685.6219708919525,15296,AT-MB-PC-EOS,127.0.0.1,685.6219708919525,6,64,3,0.5,1e-05
0.08,0.88,0.08,0.47,0.3929804283029893,66.80667281150818,0.07,0.91,0.09,0.49,0.3441230756044388,8.60307689011097,1712216407,,False,7,f9847c5e,2024-04-04_09-40-07,116.1250205039978,801.7469913959503,15296,AT-MB-PC-EOS,127.0.0.1,801.7469913959503,7,64,3,0.5,1e-05
0.08,0.89,0.08,0.49,0.3675396342487896,62.481737822294235,0.07,0.92,0.08,0.49,0.3277914196252823,8.194785490632057,1712216518,,False,8,f9847c5e,2024-04-04_09-41-58,111.11107397079468,912.858065366745,15296,AT-MB-PC-EOS,127.0.0.1,912.858065366745,8,64,3,0.5,1e-05
0.08,0.9,0.09,0.52,0.3437960914829198,58.44533555209637,0.07,0.92,0.1,0.5,0.30988939106464386,7.7472347766160965,1712216633,,False,9,f9847c5e,2024-04-04_09-43-53,114.88326716423035,1027.7413325309753,15296,AT-MB-PC-EOS,127.0.0.1,1027.7413325309753,9,64,3,0.5,1e-05
0.08,0.91,0.1,0.53,0.33022690844886443,56.13857443630695,0.07,0.92,0.12,0.53,0.31725256502628324,7.931314125657082,1712216742,,False,10,f9847c5e,2024-04-04_09-45-42,108.64528107643127,1136.3866136074066,15296,AT-MB-PC-EOS,127.0.0.1,1136.3866136074066,10,64,3,0.5,1e-05
