train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.55,0.1,0.52,0.8085692672168507,137.45677542686462,0.07,0.59,0.11,0.51,0.7858354091644287,19.645885229110718,1712258779,,False,1,fea30bbe,2024-04-04_21-26-19,130.36560821533203,130.36560821533203,34436,AT-MB-PC-EOS,127.0.0.1,130.36560821533203,1,256,3,0.5,0.001
0.08,0.87,0.1,0.54,0.3827846440322259,65.0733894854784,0.07,0.93,0.13,0.57,0.2934685605764389,7.336714014410973,1712258900,,False,2,fea30bbe,2024-04-04_21-28-20,121.12952375411987,251.4951319694519,34436,AT-MB-PC-EOS,127.0.0.1,251.4951319694519,2,256,3,0.5,0.001
0.08,0.92,0.14,0.58,0.3005040548303548,51.08568932116032,0.07,0.93,0.17,0.6,0.28907998919487,7.22699972987175,1712259022,,False,3,fea30bbe,2024-04-04_21-30-22,121.70911145210266,373.20424342155457,34436,AT-MB-PC-EOS,127.0.0.1,373.20424342155457,3,256,3,0.5,0.001
0.08,0.92,0.16,0.63,0.2760282243875896,46.924798145890236,0.07,0.93,0.16,0.6,0.2670712172985077,6.676780432462692,1712259140,,False,4,fea30bbe,2024-04-04_21-32-20,118.16799831390381,491.3722417354584,34436,AT-MB-PC-EOS,127.0.0.1,491.3722417354584,4,256,3,0.5,0.001
0.08,0.92,0.18,0.65,0.26016614686916856,44.228244967758656,0.07,0.93,0.16,0.57,0.4458113831281662,11.145284578204155,1712259261,,False,5,fea30bbe,2024-04-04_21-34-21,120.94089674949646,612.3131384849548,34436,AT-MB-PC-EOS,127.0.0.1,612.3131384849548,5,256,3,0.5,0.001
0.08,0.92,0.19,0.68,0.25214800896013484,42.86516152322292,0.07,0.93,0.21,0.67,0.26976327270269396,6.7440818175673485,1712259383,,False,6,fea30bbe,2024-04-04_21-36-23,121.73440170288086,734.0475401878357,34436,AT-MB-PC-EOS,127.0.0.1,734.0475401878357,6,256,3,0.5,0.001
0.08,0.92,0.2,0.69,0.24584697896943372,41.793986424803734,0.07,0.93,0.25,0.72,0.22973448157310486,5.7433620393276215,1712259504,,False,7,fea30bbe,2024-04-04_21-38-24,120.63751411437988,854.6850543022156,34436,AT-MB-PC-EOS,127.0.0.1,854.6850543022156,7,256,3,0.5,0.001
0.08,0.92,0.23,0.71,0.2378903956974254,40.44136726856232,0.07,0.93,0.17,0.61,0.3738951164484024,9.34737791121006,1712259626,,False,8,fea30bbe,2024-04-04_21-40-26,122.26533699035645,976.950391292572,34436,AT-MB-PC-EOS,127.0.0.1,976.950391292572,8,256,3,0.5,0.001
0.08,0.92,0.22,0.7,0.24135184086420958,41.02981294691563,0.07,0.93,0.14,0.59,0.465725235491991,11.643130887299776,1712259745,,False,9,fea30bbe,2024-04-04_21-42-25,119.25915312767029,1096.2095444202423,34436,AT-MB-PC-EOS,127.0.0.1,1096.2095444202423,9,256,3,0.5,0.001
0.08,0.92,0.23,0.71,0.23739195720237843,40.356632724404335,0.07,0.93,0.22,0.65,0.3000132441520691,7.500331103801727,1712259867,,False,10,fea30bbe,2024-04-04_21-44-27,122.09338593482971,1218.302930355072,34436,AT-MB-PC-EOS,127.0.0.1,1218.302930355072,10,256,3,0.5,0.001
0.08,0.92,0.24,0.72,0.23408118753748783,39.79380188137293,0.07,0.93,0.24,0.7,0.23400951266288758,5.850237816572189,1712259987,,False,11,fea30bbe,2024-04-04_21-46-27,120.10001850128174,1338.4029488563538,34436,AT-MB-PC-EOS,127.0.0.1,1338.4029488563538,11,256,3,0.5,0.001
0.08,0.92,0.24,0.72,0.23497359691297307,39.94551147520542,0.07,0.93,0.26,0.71,0.22723144501447679,5.680786125361919,1712260108,,False,12,fea30bbe,2024-04-04_21-48-28,120.56535506248474,1458.9683039188385,34436,AT-MB-PC-EOS,127.0.0.1,1458.9683039188385,12,256,3,0.5,0.001
0.08,0.92,0.25,0.73,0.23010655413655673,39.118114203214645,0.07,0.93,0.26,0.73,0.22655847638845444,5.663961909711361,1712260226,,False,13,fea30bbe,2024-04-04_21-50-26,117.69768452644348,1576.665988445282,34436,AT-MB-PC-EOS,127.0.0.1,1576.665988445282,13,256,3,0.5,0.001
0.08,0.92,0.25,0.73,0.2298764896743438,39.07900324463844,0.07,0.93,0.25,0.72,0.2425811204314232,6.06452801078558,1712260347,,False,14,fea30bbe,2024-04-04_21-52-27,121.43016242980957,1698.0961508750916,34436,AT-MB-PC-EOS,127.0.0.1,1698.0961508750916,14,256,3,0.5,0.001
0.08,0.92,0.26,0.75,0.22688514835694257,38.57047522068024,0.07,0.92,0.25,0.75,0.23782670319080354,5.945667579770088,1712260466,,False,15,fea30bbe,2024-04-04_21-54-26,118.94206500053406,1817.0382158756256,34436,AT-MB-PC-EOS,127.0.0.1,1817.0382158756256,15,256,3,0.5,0.001
0.08,0.92,0.26,0.75,0.2250624393715578,38.260614693164825,0.07,0.93,0.28,0.73,0.22999872922897338,5.749968230724335,1712260582,,False,16,fea30bbe,2024-04-04_21-56-22,116.07541680335999,1933.1136326789856,34436,AT-MB-PC-EOS,127.0.0.1,1933.1136326789856,16,256,3,0.5,0.001
0.08,0.93,0.27,0.75,0.22317708033849212,37.94010365754366,0.07,0.92,0.28,0.75,0.23020433843135835,5.755108460783958,1712260702,,False,17,fea30bbe,2024-04-04_21-58-22,120.37491393089294,2053.4885466098785,34436,AT-MB-PC-EOS,127.0.0.1,2053.4885466098785,17,256,3,0.5,0.001
0.08,0.93,0.28,0.75,0.2206058826078387,37.50300004333258,0.07,0.93,0.27,0.76,0.2269999575614929,5.674998939037323,1712260820,,False,18,fea30bbe,2024-04-04_22-00-20,117.9770758152008,2171.4656224250793,34436,AT-MB-PC-EOS,127.0.0.1,2171.4656224250793,18,256,3,0.5,0.001
0.08,0.93,0.26,0.76,0.21916180432719343,37.25750673562288,0.07,0.93,0.28,0.73,0.2314176970720291,5.785442426800728,1712260941,,False,19,fea30bbe,2024-04-04_22-02-21,120.53101968765259,2291.996642112732,34436,AT-MB-PC-EOS,127.0.0.1,2291.996642112732,19,256,3,0.5,0.001
0.08,0.93,0.28,0.76,0.21838789047563778,37.12594138085842,0.07,0.93,0.3,0.76,0.2100759842991829,5.251899607479572,1712261062,,False,20,fea30bbe,2024-04-04_22-04-22,121.11758661270142,2413.1142287254333,34436,AT-MB-PC-EOS,127.0.0.1,2413.1142287254333,20,256,3,0.5,0.001
0.08,0.93,0.3,0.77,0.21525723934173585,36.59373068809509,0.07,0.93,0.29,0.75,0.23196407318115234,5.799101829528809,1712261179,,False,21,fea30bbe,2024-04-04_22-06-19,117.08104133605957,2530.195270061493,34436,AT-MB-PC-EOS,127.0.0.1,2530.195270061493,21,256,3,0.5,0.001
0.08,0.93,0.29,0.77,0.2179580879123772,37.05287494510412,0.07,0.92,0.26,0.74,0.22003467589616776,5.500866897404194,1712261299,,False,22,fea30bbe,2024-04-04_22-08-19,120.03457188606262,2650.2298419475555,34436,AT-MB-PC-EOS,127.0.0.1,2650.2298419475555,22,256,3,0.5,0.001
0.08,0.93,0.28,0.77,0.21496233659632066,36.54359722137451,0.07,0.93,0.29,0.75,0.22597627341747284,5.649406835436821,1712261422,,False,23,fea30bbe,2024-04-04_22-10-22,122.4657518863678,2772.6955938339233,34436,AT-MB-PC-EOS,127.0.0.1,2772.6955938339233,23,256,3,0.5,0.001
0.08,0.93,0.29,0.78,0.21364296885097728,36.31930470466614,0.07,0.93,0.3,0.77,0.21645659416913987,5.4114148542284966,1712261539,,False,24,fea30bbe,2024-04-04_22-12-19,117.20134782791138,2889.8969416618347,34436,AT-MB-PC-EOS,127.0.0.1,2889.8969416618347,24,256,3,0.5,0.001
0.08,0.93,0.3,0.78,0.21196676760035402,36.034350492060184,0.07,0.93,0.3,0.78,0.21716725528240205,5.429181382060051,1712261659,,False,25,fea30bbe,2024-04-04_22-14-19,120.44857454299927,3010.345516204834,34436,AT-MB-PC-EOS,127.0.0.1,3010.345516204834,25,256,3,0.5,0.001
0.08,0.93,0.3,0.78,0.2120864921632935,36.054703667759895,0.07,0.93,0.28,0.77,0.21226666495203972,5.306666623800993,1712261784,,False,26,fea30bbe,2024-04-04_22-16-24,124.41812491416931,3134.7636411190033,34436,AT-MB-PC-EOS,127.0.0.1,3134.7636411190033,26,256,3,0.5,0.001
0.08,0.93,0.32,0.79,0.20955688769326491,35.624670907855034,0.07,0.93,0.29,0.75,0.22789979249238967,5.697494812309742,1712261902,,False,27,fea30bbe,2024-04-04_22-18-22,118.15632748603821,3252.9199686050415,34436,AT-MB-PC-EOS,127.0.0.1,3252.9199686050415,27,256,3,0.5,0.001
0.08,0.93,0.31,0.79,0.2095710909980185,35.62708546966314,0.07,0.92,0.3,0.78,0.22344613552093506,5.5861533880233765,1712262025,,False,28,fea30bbe,2024-04-04_22-20-25,122.8460533618927,3375.766021966934,34436,AT-MB-PC-EOS,127.0.0.1,3375.766021966934,28,256,3,0.5,0.001
0.08,0.93,0.32,0.79,0.20879525717566996,35.49519371986389,0.07,0.93,0.3,0.77,0.22611985206604004,5.652996301651001,1712262145,,False,29,fea30bbe,2024-04-04_22-22-25,120.10277223587036,3495.8687942028046,34436,AT-MB-PC-EOS,127.0.0.1,3495.8687942028046,29,256,3,0.5,0.001
0.08,0.93,0.34,0.8,0.20653541254646637,35.111020132899284,0.07,0.93,0.31,0.77,0.20621670305728912,5.155417576432228,1712262261,,False,30,fea30bbe,2024-04-04_22-24-21,116.40933752059937,3612.278131723404,34436,AT-MB-PC-EOS,127.0.0.1,3612.278131723404,30,256,3,0.5,0.001
0.08,0.93,0.34,0.8,0.20424605257370892,34.72182893753052,0.07,0.93,0.31,0.76,0.21609621196985246,5.402405299246311,1712262386,,False,31,fea30bbe,2024-04-04_22-26-26,125.07428789138794,3737.352419614792,34436,AT-MB-PC-EOS,127.0.0.1,3737.352419614792,31,256,3,0.5,0.001
0.08,0.93,0.35,0.81,0.20301707321230103,34.512902446091175,0.07,0.93,0.32,0.77,0.212580406665802,5.31451016664505,1712262510,,False,32,fea30bbe,2024-04-04_22-28-30,123.4779896736145,3860.8304092884064,34436,AT-MB-PC-EOS,127.0.0.1,3860.8304092884064,32,256,3,0.5,0.001
0.08,0.93,0.34,0.8,0.2029928613673238,34.50878643244505,0.07,0.93,0.31,0.78,0.2063673970103264,5.15918492525816,1712262624,,False,33,fea30bbe,2024-04-04_22-30-24,114.5850601196289,3975.4154694080353,34436,AT-MB-PC-EOS,127.0.0.1,3975.4154694080353,33,256,3,0.5,0.001
0.08,0.93,0.35,0.81,0.20202102906563701,34.343574941158295,0.07,0.93,0.3,0.76,0.20800856709480287,5.200214177370071,1712262745,,False,34,fea30bbe,2024-04-04_22-32-25,121.05818891525269,4096.473658323288,34436,AT-MB-PC-EOS,127.0.0.1,4096.473658323288,34,256,3,0.5,0.001
0.08,0.93,0.35,0.81,0.2028550503885045,34.48535856604576,0.07,0.93,0.34,0.79,0.2096947991847992,5.24236997961998,1712262868,,False,35,fea30bbe,2024-04-04_22-34-28,122.24715900421143,4218.720817327499,34436,AT-MB-PC-EOS,127.0.0.1,4218.720817327499,35,256,3,0.5,0.001
0.08,0.93,0.37,0.81,0.19879383247564822,33.794951520860195,0.07,0.93,0.34,0.78,0.20292039066553116,5.073009766638279,1712262982,,False,36,fea30bbe,2024-04-04_22-36-22,113.95839309692383,4332.679210424423,34436,AT-MB-PC-EOS,127.0.0.1,4332.679210424423,36,256,3,0.5,0.001
0.08,0.93,0.37,0.81,0.19828335533247274,33.70817040652037,0.07,0.93,0.33,0.78,0.20356214702129363,5.089053675532341,1712263106,,False,37,fea30bbe,2024-04-04_22-38-26,124.73821902275085,4457.417429447174,34436,AT-MB-PC-EOS,127.0.0.1,4457.417429447174,37,256,3,0.5,0.001
0.08,0.93,0.38,0.82,0.1975304600508774,33.58017820864916,0.07,0.93,0.34,0.78,0.21502556800842285,5.375639200210571,1712263227,,False,38,fea30bbe,2024-04-04_22-40-27,120.88739013671875,4578.304819583893,34436,AT-MB-PC-EOS,127.0.0.1,4578.304819583893,38,256,3,0.5,0.001
0.08,0.93,0.37,0.82,0.19968454662491295,33.9463729262352,0.07,0.93,0.35,0.78,0.20733145326375962,5.18328633159399,1712263349,,False,39,fea30bbe,2024-04-04_22-42-29,121.26829552650452,4699.573115110397,34436,AT-MB-PC-EOS,127.0.0.1,4699.573115110397,39,256,3,0.5,0.001
0.08,0.93,0.37,0.82,0.19774215068010723,33.61616561561823,0.07,0.93,0.34,0.77,0.21541362047195434,5.385340511798859,1712263471,,False,40,fea30bbe,2024-04-04_22-44-31,122.62052774429321,4822.193642854691,34436,AT-MB-PC-EOS,127.0.0.1,4822.193642854691,40,256,3,0.5,0.001
0.08,0.93,0.37,0.82,0.19652097943951102,33.40856650471687,0.07,0.93,0.35,0.8,0.19681162685155867,4.920290671288967,1712263593,,False,41,fea30bbe,2024-04-04_22-46-33,121.4931960105896,4943.68683886528,34436,AT-MB-PC-EOS,127.0.0.1,4943.68683886528,41,256,3,0.5,0.001
