train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.59,0.08,0.47,0.691380317772136,117.53465402126312,0.07,0.59,0.08,0.46,0.6980633878707886,17.451584696769714,1712296582,,False,1,b1da4f07,2024-04-05_07-56-22,83.41669368743896,83.41669368743896,21796,AT-MB-PC-EOS,127.0.0.1,83.41669368743896,1,256,3,0.5,0.001
0.08,0.88,0.08,0.51,0.37552617174737596,63.83944919705391,0.07,0.93,0.12,0.6,0.28820824563503267,7.205206140875816,1712296655,,False,2,b1da4f07,2024-04-05_07-57-35,72.58787560462952,156.00456929206848,21796,AT-MB-PC-EOS,127.0.0.1,156.00456929206848,2,256,3,0.5,0.001
0.08,0.92,0.15,0.63,0.279453947614221,47.50717109441757,0.07,0.93,0.2,0.63,0.3079559737443924,7.69889934360981,1712296727,,False,3,b1da4f07,2024-04-05_07-58-47,72.85170221328735,228.85627150535583,21796,AT-MB-PC-EOS,127.0.0.1,228.85627150535583,3,256,3,0.5,0.001
0.08,0.92,0.19,0.68,0.2531486569958575,43.03527168929577,0.07,0.93,0.19,0.65,0.2593421560525894,6.483553901314735,1712296801,,False,4,b1da4f07,2024-04-05_08-00-01,73.75039196014404,302.6066634654999,21796,AT-MB-PC-EOS,127.0.0.1,302.6066634654999,4,256,3,0.5,0.001
0.08,0.92,0.21,0.7,0.24494565282674396,41.640760980546474,0.07,0.93,0.18,0.6,0.31263540625572206,7.815885156393051,1712296874,,False,5,b1da4f07,2024-04-05_08-01-14,72.93090486526489,375.53756833076477,21796,AT-MB-PC-EOS,127.0.0.1,375.53756833076477,5,256,3,0.5,0.001
0.08,0.92,0.23,0.72,0.2370636098963373,40.30081368237734,0.07,0.92,0.25,0.74,0.2723192870616913,6.807982176542282,1712296948,,False,6,b1da4f07,2024-04-05_08-02-28,73.62142562866211,449.1589939594269,21796,AT-MB-PC-EOS,127.0.0.1,449.1589939594269,6,256,3,0.5,0.001
0.08,0.92,0.24,0.74,0.23159985485322335,39.37197532504797,0.07,0.93,0.21,0.66,0.29287006974220275,7.321751743555069,1712297021,,False,7,b1da4f07,2024-04-05_08-03-41,72.83963084220886,521.9986248016357,21796,AT-MB-PC-EOS,127.0.0.1,521.9986248016357,7,256,3,0.5,0.001
0.08,0.92,0.25,0.72,0.2357149066293941,40.071534126996994,0.07,0.93,0.28,0.73,0.22239765167236328,5.559941291809082,1712297094,,False,8,b1da4f07,2024-04-05_08-04-54,73.74745202064514,595.7460768222809,21796,AT-MB-PC-EOS,127.0.0.1,595.7460768222809,8,256,3,0.5,0.001
0.08,0.93,0.26,0.75,0.2272036495454171,38.62462042272091,0.07,0.93,0.17,0.66,0.242246812582016,6.0561703145504,1712297167,,False,9,b1da4f07,2024-04-05_08-06-07,72.76423668861389,668.5103135108948,21796,AT-MB-PC-EOS,127.0.0.1,668.5103135108948,9,256,3,0.5,0.001
0.08,0.92,0.24,0.73,0.2315145929946619,39.35748080909252,0.07,0.93,0.25,0.72,0.23319314777851105,5.829828694462776,1712297241,,False,10,b1da4f07,2024-04-05_08-07-21,73.92718505859375,742.4374985694885,21796,AT-MB-PC-EOS,127.0.0.1,742.4374985694885,10,256,3,0.5,0.001
