train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.53,0.09,0.51,0.9870802206151625,167.80363750457764,0.07,0.52,0.09,0.49,1.0360929203033447,25.902323007583618,1712132441,,False,1,264308fa,2024-04-03_10-20-41,108.56272006034851,108.56272006034851,29192,AT-MB-PC-EOS,127.0.0.1,108.56272006034851,1,128,3,0.0,0.001
0.08,0.9,0.11,0.56,0.3357908475048402,57.08444407582283,0.07,0.91,0.17,0.64,0.2976495921611786,7.441239804029465,1712132533,,False,2,264308fa,2024-04-03_10-22-13,92.8157970905304,201.3785171508789,29192,AT-MB-PC-EOS,127.0.0.1,201.3785171508789,2,128,3,0.0,0.001
0.08,0.92,0.19,0.66,0.2669872986043201,45.38784076273441,0.07,0.93,0.19,0.65,0.2823114323616028,7.05778580904007,1712132631,,False,3,264308fa,2024-04-03_10-23-51,97.66457152366638,299.0430886745453,29192,AT-MB-PC-EOS,127.0.0.1,299.0430886745453,3,128,3,0.0,0.001
0.08,0.92,0.22,0.71,0.24386570479939965,41.45716981589794,0.07,0.92,0.21,0.7,0.241362829208374,6.034070730209351,1712132727,,False,4,264308fa,2024-04-03_10-25-27,95.69430112838745,394.73738980293274,29192,AT-MB-PC-EOS,127.0.0.1,394.73738980293274,4,128,3,0.0,0.001
0.08,0.92,0.27,0.74,0.2306017250260886,39.20229325443506,0.07,0.92,0.21,0.7,0.24207400262355805,6.051850065588951,1712132822,,False,5,264308fa,2024-04-03_10-27-02,94.95333743095398,489.6907272338867,29192,AT-MB-PC-EOS,127.0.0.1,489.6907272338867,5,128,3,0.0,0.001
0.08,0.93,0.28,0.76,0.2242954833980869,38.13023217767477,0.07,0.93,0.27,0.74,0.2557599759101868,6.393999397754669,1712132919,,False,6,264308fa,2024-04-03_10-28-39,97.0359148979187,586.7266421318054,29192,AT-MB-PC-EOS,127.0.0.1,586.7266421318054,6,128,3,0.0,0.001
0.08,0.93,0.31,0.77,0.21805498301982879,37.069347113370895,0.07,0.93,0.3,0.76,0.22332044094800949,5.583011023700237,1712133013,,False,7,264308fa,2024-04-03_10-30-13,93.8910984992981,680.6177406311035,29192,AT-MB-PC-EOS,127.0.0.1,680.6177406311035,7,128,3,0.0,0.001
0.08,0.93,0.31,0.78,0.21638276761069017,36.78507049381733,0.07,0.93,0.28,0.74,0.22482573717832566,5.620643429458141,1712133110,,False,8,264308fa,2024-04-03_10-31-50,97.25648975372314,777.8742303848267,29192,AT-MB-PC-EOS,127.0.0.1,777.8742303848267,8,128,3,0.0,0.001
0.08,0.93,0.32,0.78,0.21535173422273468,36.609794817864895,0.07,0.92,0.27,0.71,0.23942206680774689,5.985551670193672,1712133201,,False,9,264308fa,2024-04-03_10-33-21,90.52500939369202,868.3992397785187,29192,AT-MB-PC-EOS,127.0.0.1,868.3992397785187,9,128,3,0.0,0.001
0.08,0.93,0.32,0.78,0.2138479769229889,36.35415607690811,0.07,0.93,0.29,0.77,0.22577017188072204,5.644254297018051,1712133298,,False,10,264308fa,2024-04-03_10-34-58,97.66717743873596,966.0664172172546,29192,AT-MB-PC-EOS,127.0.0.1,966.0664172172546,10,128,3,0.0,0.001
