train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.49,0.1,0.5,0.9598351667909061,163.17197835445404,0.07,0.5,0.12,0.51,0.9680302166938781,24.200755417346954,1712125816,,False,1,3304758f,2024-04-03_08-30-16,175.4137053489685,175.4137053489685,31552,AT-MB-PC-EOS,127.0.0.1,175.4137053489685,1,64,6,0.2,0.0001
0.08,0.63,0.1,0.52,0.6502701990744647,110.545933842659,0.07,0.76,0.1,0.53,0.495570592880249,12.389264822006226,1712125981,,False,2,3304758f,2024-04-03_08-33-01,164.26653051376343,339.68023586273193,31552,AT-MB-PC-EOS,127.0.0.1,339.68023586273193,2,64,6,0.2,0.0001
0.08,0.83,0.11,0.52,0.42940017177778134,72.99802920222282,0.07,0.9,0.11,0.51,0.36421818494796754,9.105454623699188,1712126146,,False,3,3304758f,2024-04-03_08-35-46,165.5512671470642,505.23150300979614,31552,AT-MB-PC-EOS,127.0.0.1,505.23150300979614,3,64,6,0.2,0.0001
0.08,0.89,0.12,0.53,0.34825812350301183,59.20388099551201,0.07,0.91,0.15,0.56,0.31516187369823456,7.879046842455864,1712126309,,False,4,3304758f,2024-04-03_08-38-29,162.57083702087402,667.8023400306702,31552,AT-MB-PC-EOS,127.0.0.1,667.8023400306702,4,64,6,0.2,0.0001
0.08,0.91,0.15,0.58,0.31508572215543074,53.564572766423225,0.07,0.91,0.16,0.57,0.30828119039535523,7.707029759883881,1712126474,,False,5,3304758f,2024-04-03_08-41-14,164.61660933494568,832.4189493656158,31552,AT-MB-PC-EOS,127.0.0.1,832.4189493656158,5,64,6,0.2,0.0001
0.08,0.91,0.18,0.61,0.2920976200524498,49.65659540891647,0.07,0.92,0.2,0.65,0.2703251561522484,6.75812890380621,1712126638,,False,6,3304758f,2024-04-03_08-43-58,164.7858099937439,997.2047593593597,31552,AT-MB-PC-EOS,127.0.0.1,997.2047593593597,6,64,6,0.2,0.0001
0.08,0.92,0.19,0.64,0.27087684527916067,46.04906369745731,0.07,0.91,0.17,0.62,0.28718680202960967,7.179670050740242,1712126801,,False,7,3304758f,2024-04-03_08-46-41,162.6121461391449,1159.8169054985046,31552,AT-MB-PC-EOS,127.0.0.1,1159.8169054985046,7,64,6,0.2,0.0001
0.08,0.92,0.21,0.68,0.2578514179762672,43.834741055965424,0.07,0.91,0.22,0.68,0.26701107203960417,6.675276800990105,1712126967,,False,8,3304758f,2024-04-03_08-49-27,165.8823139667511,1325.6992194652557,31552,AT-MB-PC-EOS,127.0.0.1,1325.6992194652557,8,64,6,0.2,0.0001
0.08,0.92,0.23,0.71,0.24629888245288065,41.87081001698971,0.07,0.93,0.25,0.73,0.24107931077480316,6.026982769370079,1712127130,,False,9,3304758f,2024-04-03_08-52-10,163.31721353530884,1489.0164330005646,31552,AT-MB-PC-EOS,127.0.0.1,1489.0164330005646,9,64,6,0.2,0.0001
0.08,0.92,0.25,0.72,0.23968778988894293,40.7469242811203,0.07,0.93,0.26,0.72,0.23099464923143387,5.774866230785847,1712127294,,False,10,3304758f,2024-04-03_08-54-54,163.44108414649963,1652.4575171470642,31552,AT-MB-PC-EOS,127.0.0.1,1652.4575171470642,10,64,6,0.2,0.0001
0.08,0.92,0.26,0.74,0.2331728433861452,39.639383375644684,0.07,0.92,0.26,0.73,0.23083721578121186,5.770930394530296,1712127459,,False,11,3304758f,2024-04-03_08-57-39,165.9085557460785,1818.3660728931427,31552,AT-MB-PC-EOS,127.0.0.1,1818.3660728931427,11,64,6,0.2,0.0001
0.08,0.92,0.28,0.75,0.2291387008393512,38.953579142689705,0.07,0.91,0.26,0.75,0.25578580915927884,6.394645228981972,1712127624,,False,12,3304758f,2024-04-03_09-00-24,164.21673321723938,1982.582806110382,31552,AT-MB-PC-EOS,127.0.0.1,1982.582806110382,12,64,6,0.2,0.0001
0.08,0.93,0.3,0.77,0.2229295723578509,37.898027300834656,0.07,0.93,0.24,0.7,0.2616539862751961,6.541349656879902,1712127787,,False,13,3304758f,2024-04-03_09-03-07,163.63245272636414,2146.215258836746,31552,AT-MB-PC-EOS,127.0.0.1,2146.215258836746,13,64,6,0.2,0.0001
