train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,test_accuracy-0_0,test_accuracy-0_5,test_ap,test_auc,test_mean_loss,test_sum_loss
0.08,0.44,0.09,0.49,1.0181960905299468,173.09333539009094,0.07,0.44,0.09,0.48,1.1122826933860779,27.807067334651947,0.08,0.44,0.11,0.51,1.077534866576292,52.79920846223831
0.08,0.86,0.12,0.55,0.38733907578622595,65.84764288365841,0.07,0.91,0.15,0.57,0.30916846871376036,7.729211717844009,0.08,0.91,0.16,0.57,0.31846881946738886,15.604972153902054
0.08,0.92,0.16,0.63,0.2821966380757444,47.97342847287655,0.07,0.93,0.2,0.62,0.3313901549577713,8.284753873944283,0.08,0.92,0.2,0.63,0.34050629911374075,16.684808656573296
0.08,0.92,0.2,0.67,0.26607551530880086,45.23283760249615,0.07,0.93,0.15,0.6,0.2914846098423004,7.28711524605751,0.08,0.92,0.18,0.63,0.3214368184610289,15.750404104590416
0.08,0.92,0.2,0.68,0.2567623059539234,43.64959201216698,0.07,0.92,0.21,0.73,0.24766496539115906,6.191624134778976,0.08,0.91,0.21,0.71,0.26690888861004186,13.078535541892052
0.08,0.92,0.23,0.72,0.24086733399068608,40.947446778416634,0.07,0.93,0.21,0.69,0.23505661487579346,5.876415371894836,0.08,0.92,0.25,0.71,0.2488141424801885,12.191892981529236
0.08,0.92,0.25,0.74,0.23249971941113473,39.5249522998929,0.07,0.91,0.19,0.63,0.2927410227060318,7.318525567650795,0.08,0.9,0.2,0.62,0.3141151642312809,15.391643047332764
0.08,0.93,0.26,0.73,0.2310892138411017,39.28516635298729,0.07,0.93,0.23,0.65,0.404072459936142,10.10181149840355,0.08,0.92,0.25,0.66,0.4547055959701538,22.280574202537537
0.08,0.93,0.25,0.74,0.23336739154422984,39.67245656251907,0.07,0.93,0.21,0.7,0.29226926267147063,7.306731566786766,0.08,0.92,0.23,0.71,0.32102782324868806,15.730363339185715
0.08,0.93,0.25,0.73,0.2311112520449302,39.28891284763813,0.07,0.93,0.28,0.74,0.24462591201066972,6.115647800266743,0.08,0.92,0.31,0.76,0.24761398471131615,12.133085250854492
0.08,0.93,0.28,0.75,0.22473088879795636,38.20425109565258,0.07,0.92,0.27,0.73,0.2412913066148758,6.032282665371895,0.08,0.92,0.32,0.74,0.24193650119158686,11.854888558387756
0.08,0.93,0.29,0.76,0.22157220695825183,37.66727518290281,0.07,0.93,0.26,0.69,0.27731214940547944,6.932803735136986,0.08,0.92,0.28,0.72,0.3036727946327657,14.87996693700552
0.08,0.93,0.3,0.77,0.2182129628079779,37.09620367735624,0.07,0.93,0.2,0.66,0.2690780931711197,6.726952329277992,0.08,0.92,0.21,0.67,0.2786965583051954,13.656131356954575
0.08,0.93,0.3,0.76,0.21947725196095075,37.311132833361626,0.07,0.93,0.27,0.71,0.260542553961277,6.513563849031925,0.08,0.92,0.34,0.74,0.2699697759686684,13.228519022464752
0.08,0.93,0.31,0.77,0.217134311532273,36.91283296048641,0.07,0.93,0.27,0.69,0.23701588034629822,5.9253970086574554,0.08,0.92,0.29,0.7,0.24270956431116378,11.892768651247025
0.08,0.93,0.31,0.76,0.21816000351134468,37.0872005969286,0.07,0.93,0.24,0.73,0.25412547022104265,6.353136755526066,0.08,0.92,0.29,0.75,0.2630330965835221,12.888621732592583
0.08,0.93,0.32,0.78,0.2132360680576633,36.25013156980276,0.07,0.93,0.31,0.75,0.22917547017335893,5.729386754333973,0.08,0.92,0.35,0.75,0.2566164251492948,12.574204832315445
0.08,0.93,0.32,0.78,0.21212323014350498,36.06094912439585,0.07,0.93,0.31,0.76,0.2146639859676361,5.366599649190903,0.08,0.92,0.36,0.77,0.2306564004749668,11.302163623273373
0.08,0.93,0.34,0.8,0.20618007069124894,35.05061201751232,0.07,0.93,0.29,0.72,0.23432562202215196,5.858140550553799,0.08,0.92,0.31,0.75,0.24177052688841916,11.84675581753254
0.08,0.93,0.35,0.8,0.20516483209588948,34.87802145630121,0.07,0.93,0.29,0.71,0.2464327895641327,6.160819739103317,0.08,0.92,0.35,0.73,0.25707617554129386,12.5967326015234
0.08,0.93,0.35,0.79,0.2060312557308113,35.02531347423792,0.07,0.93,0.32,0.76,0.21691817820072173,5.4229544550180435,0.08,0.93,0.37,0.79,0.22143905944361977,10.85051391273737
0.08,0.93,0.35,0.79,0.20910127197994904,35.54721623659134,0.07,0.93,0.33,0.78,0.2162763923406601,5.406909808516502,0.08,0.93,0.38,0.78,0.22255278850088314,10.905086636543274
0.08,0.93,0.34,0.79,0.20762506583157708,35.2962611913681,0.07,0.93,0.3,0.74,0.22166784822940827,5.541696205735207,0.08,0.93,0.35,0.76,0.22276766567814107,10.915615618228912
0.08,0.93,0.37,0.8,0.20208178504424937,34.35390345752239,0.07,0.93,0.31,0.75,0.22684043228626252,5.671010807156563,0.08,0.92,0.34,0.77,0.2318339034610865,11.359861269593239
0.08,0.93,0.37,0.8,0.20222747168120217,34.37867018580437,0.07,0.93,0.33,0.77,0.2155821454524994,5.389553636312485,0.08,0.93,0.38,0.78,0.22113223541147856,10.835479535162449
0.08,0.93,0.37,0.81,0.20024241445695654,34.04121045768261,0.07,0.93,0.34,0.79,0.21026816934347153,5.256704233586788,0.08,0.93,0.39,0.79,0.21928138164233188,10.744787700474262
0.08,0.93,0.36,0.81,0.20296493242768682,34.50403851270676,0.07,0.93,0.35,0.79,0.20387689650058746,5.096922412514687,0.08,0.93,0.35,0.77,0.22421612453703976,10.986590102314949
0.08,0.93,0.37,0.81,0.20071000040454023,34.12070006877184,0.07,0.93,0.33,0.77,0.21267361104488372,5.316840276122093,0.08,0.93,0.38,0.79,0.21736374907955833,10.650823704898357
0.08,0.93,0.38,0.81,0.19799774889560307,33.65961731225252,0.07,0.93,0.35,0.79,0.2046235594153404,5.115588985383511,0.08,0.93,0.4,0.8,0.2099857455005451,10.28930152952671
0.08,0.93,0.38,0.81,0.19745281457024463,33.566978476941586,0.07,0.93,0.34,0.78,0.20403171837329864,5.100792959332466,0.08,0.93,0.4,0.78,0.22086860148274168,10.822561472654343
0.08,0.93,0.4,0.82,0.1963702547199586,33.38294330239296,0.07,0.93,0.33,0.78,0.20337891280651094,5.084472820162773,0.08,0.92,0.36,0.79,0.21215509334389043,10.395599573850632
0.08,0.93,0.4,0.83,0.1929910943350371,32.80848603695631,0.07,0.93,0.34,0.79,0.20360581934452057,5.090145483613014,0.08,0.93,0.41,0.8,0.20955268171977023,10.268081404268742
0.08,0.93,0.41,0.82,0.1936984852394637,32.92874249070883,0.07,0.93,0.32,0.76,0.22885703802108764,5.721425950527191,0.08,0.93,0.35,0.76,0.2463409599601006,12.07070703804493
0.08,0.93,0.4,0.82,0.19362130796208102,32.91562235355377,0.07,0.93,0.35,0.78,0.2105294281244278,5.263235703110695,0.08,0.93,0.39,0.8,0.21666849571831373,10.616756290197372
0.08,0.93,0.39,0.82,0.1957788219784989,33.282399736344814,0.07,0.93,0.35,0.79,0.2086724328994751,5.216810822486877,0.08,0.93,0.4,0.8,0.22430517053117557,10.990953356027603
0.08,0.93,0.42,0.83,0.1893597214975778,32.19115265458822,0.07,0.93,0.36,0.78,0.20130254209041595,5.032563552260399,0.08,0.93,0.4,0.79,0.21046652964183263,10.312859952449799
0.08,0.93,0.42,0.83,0.1898838534074671,32.28025507926941,0.07,0.93,0.36,0.8,0.20362965345382691,5.090741336345673,0.08,0.93,0.42,0.81,0.20822112353480593,10.20283505320549
0.08,0.93,0.44,0.84,0.18622924080666373,31.658970937132835,0.07,0.93,0.35,0.79,0.20784658938646317,5.196164734661579,0.08,0.93,0.39,0.79,0.22202198507682402,10.879077268764377
0.08,0.93,0.43,0.84,0.18950976317419727,32.21665973961353,0.07,0.93,0.36,0.78,0.20295155704021453,5.0737889260053635,0.08,0.93,0.39,0.78,0.22144882973967767,10.850992657244205
0.08,0.94,0.45,0.84,0.18621034722994356,31.655759029090405,0.07,0.93,0.35,0.8,0.1979675355553627,4.9491883888840675,0.08,0.93,0.44,0.82,0.20205245668790778,9.900570377707481
0.08,0.93,0.44,0.84,0.1849681903334225,31.444592356681824,0.07,0.93,0.37,0.81,0.19436539441347123,4.8591348603367805,0.08,0.93,0.43,0.81,0.2043178607614673,10.011575177311897
0.08,0.93,0.45,0.84,0.18523647044511402,31.490199975669384,0.07,0.93,0.36,0.8,0.19810086905956267,4.952521726489067,0.08,0.93,0.42,0.8,0.21286143788269588,10.430210456252098
0.08,0.94,0.46,0.85,0.18148864284157754,30.85306928306818,0.07,0.93,0.37,0.81,0.19357222944498062,4.8393057361245155,0.08,0.93,0.43,0.82,0.20181306360327467,9.88884011656046
0.08,0.94,0.46,0.85,0.1822220929843538,30.977755807340145,0.07,0.93,0.35,0.81,0.20376694083213806,5.0941735208034515,0.08,0.93,0.42,0.81,0.2075563585575746,10.170261569321156
0.08,0.93,0.45,0.85,0.18540298894924276,31.51850812137127,0.07,0.93,0.38,0.81,0.20905386209487914,5.226346552371979,0.08,0.93,0.45,0.82,0.2117405097399439,10.375284977257252
0.08,0.94,0.48,0.86,0.17830081656575203,30.311138816177845,0.07,0.93,0.38,0.81,0.19545977115631102,4.886494278907776,0.08,0.93,0.43,0.81,0.20286531685566417,9.940400525927544
0.08,0.94,0.48,0.86,0.1778078259790645,30.227330416440964,0.07,0.93,0.39,0.82,0.1927204591035843,4.818011477589607,0.08,0.93,0.45,0.82,0.19908516124194983,9.755172900855541
0.08,0.94,0.49,0.86,0.17569953466162963,29.868920892477036,0.07,0.93,0.37,0.81,0.19614006608724593,4.9035016521811485,0.08,0.93,0.44,0.82,0.20313624733564806,9.953676119446754
0.08,0.94,0.48,0.86,0.17660250243018655,30.022425413131714,0.07,0.93,0.37,0.81,0.2023580214381218,5.058950535953045,0.08,0.93,0.42,0.81,0.20763246030831822,10.173990555107594
0.08,0.94,0.48,0.86,0.1762797388522064,29.967555604875088,0.07,0.94,0.39,0.81,0.1973472222685814,4.933680556714535,0.08,0.93,0.45,0.82,0.20868795699611,10.225709892809391
0.08,0.94,0.49,0.87,0.17372213488115984,29.532762929797173,0.07,0.93,0.41,0.81,0.19303157269954682,4.82578931748867,0.08,0.93,0.45,0.82,0.20385577484053008,9.988932967185974
0.08,0.94,0.52,0.87,0.17067909893744132,29.015446819365025,0.07,0.93,0.4,0.81,0.1988940566778183,4.9723514169454575,0.08,0.93,0.46,0.81,0.20686666621845595,10.136466644704342
0.08,0.94,0.5,0.87,0.17268755641930245,29.356884591281414,0.07,0.93,0.41,0.81,0.1939180052280426,4.847950130701065,0.08,0.93,0.45,0.82,0.20058514436288755,9.82867207378149
0.08,0.94,0.52,0.87,0.17045809359234923,28.977875910699368,0.07,0.93,0.41,0.81,0.19206056833267213,4.801514208316803,0.08,0.93,0.46,0.82,0.19967253430157292,9.783954180777073
0.08,0.94,0.53,0.88,0.1675149695838199,28.477544829249382,0.07,0.94,0.41,0.81,0.1920953342318535,4.802383355796337,0.08,0.93,0.46,0.83,0.1996383607691648,9.782279677689075
0.08,0.94,0.52,0.88,0.1683288889772752,28.61591112613678,0.07,0.93,0.4,0.81,0.2041927009820938,5.104817524552345,0.08,0.93,0.45,0.83,0.20115570640381503,9.856629613786936
0.08,0.94,0.53,0.88,0.16821139042868333,28.595936372876167,0.07,0.93,0.42,0.81,0.1978481286764145,4.946203216910362,0.08,0.93,0.46,0.83,0.20011856817469306,9.80580984055996
0.08,0.94,0.54,0.89,0.1635376315783052,27.801397368311882,0.07,0.93,0.4,0.81,0.2086671695113182,5.216679237782955,0.08,0.93,0.45,0.83,0.20377842336893082,9.98514274507761
0.08,0.94,0.53,0.88,0.16551523265593193,28.137589551508427,0.07,0.93,0.38,0.81,0.19932676941156388,4.983169235289097,0.08,0.93,0.45,0.83,0.20125338952152097,9.861416086554527
0.08,0.94,0.54,0.88,0.16544133573770523,28.12502707540989,0.07,0.93,0.4,0.81,0.2016451507806778,5.041128769516945,0.08,0.93,0.47,0.82,0.20018437930515834,9.809034585952759
0.08,0.94,0.56,0.89,0.16243863329291344,27.614567659795284,0.07,0.94,0.42,0.82,0.19080709785223007,4.770177446305752,0.08,0.93,0.48,0.83,0.1980357688604569,9.703752674162388
