train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate,logdir
0.08,0.93,0.28,0.75,0.22288426818216547,37.89032559096813,0.07,0.93,0.28,0.75,0.2194833278656006,5.487083196640015,1712132260,,True,100,7d160955,2024-04-03_10-17-40,92.0544068813324,9235.750077486038,25784,AT-MB-PC-EOS,127.0.0.1,9235.750077486038,100,64,3,0.5,1e-05,7d160955
0.08,0.94,0.57,0.89,0.1570935102070079,26.705896735191345,0.07,0.93,0.41,0.82,0.20780299216508866,5.195074804127216,1712139640,,True,100,e32794d1,2024-04-03_12-20-40,169.74150276184082,16607.26667690277,4952,AT-MB-PC-EOS,127.0.0.1,16607.26667690277,100,256,6,0.5,0.001,e32794d1
0.08,0.92,0.13,0.59,0.29365356275263954,49.92110566794872,0.07,0.92,0.14,0.6,0.278192338347435,6.954808458685875,1712124379,,True,15,7f740be8,2024-04-03_08-06-19,86.96042776107788,1339.2362458705902,31792,AT-MB-PC-EOS,127.0.0.1,1339.2362458705902,15,64,3,0.5,1e-05,7f740be8
0.08,0.61,0.09,0.51,0.6415208076729494,109.0585373044014,0.07,0.68,0.1,0.52,0.5798729562759399,14.496823906898499,1712123849,,True,5,f961db1d,2024-04-03_07-57-29,158.20718836784363,801.8523802757263,8968,AT-MB-PC-EOS,127.0.0.1,801.8523802757263,5,64,6,0.5,1e-05,f961db1d
0.08,0.96,0.74,0.95,0.11935133237172575,20.28972650319338,0.07,0.94,0.42,0.81,0.2060442993044853,5.151107482612133,1712132324,,True,100,9c75440c,2024-04-03_10-18-44,92.79210424423218,9268.348769187927,15420,AT-MB-PC-EOS,127.0.0.1,9268.348769187927,100,64,3,0.0,0.0001,9c75440c
0.08,0.92,0.21,0.7,0.24494290724396706,41.6402942314744,0.07,0.93,0.14,0.57,0.34441607296466825,8.610401824116707,1712124308,,True,5,641f8fb2,2024-04-03_08-05-08,87.20666480064392,450.86793088912964,31216,AT-MB-PC-EOS,127.0.0.1,450.86793088912964,5,256,3,0.5,0.001,641f8fb2
0.08,0.9,0.12,0.54,0.33716484895523857,57.318024322390556,0.07,0.92,0.14,0.56,0.3132183754444122,7.830459386110306,1712125632,,True,5,20dab795,2024-04-03_08-27-12,260.7636911869049,1315.4338717460632,27620,AT-MB-PC-EOS,127.0.0.1,1315.4338717460632,5,256,10,0.5,0.0001,20dab795
0.08,0.92,0.18,0.62,0.2804543758139891,47.67724388837814,0.07,0.92,0.21,0.63,0.26561075150966645,6.640268787741661,1712128314,,True,15,44388f7c,2024-04-03_09-11-54,258.94556522369385,3927.038866996765,7396,AT-MB-PC-EOS,127.0.0.1,3927.038866996765,15,256,10,0.2,1e-05,44388f7c
0.08,0.95,0.71,0.94,0.1250666932148092,21.261337846517563,0.07,0.94,0.43,0.81,0.2137081104516983,5.342702761292458,1712142409,,True,100,3304758f,2024-04-03_13-06-49,174.99993705749512,16767.897918701172,31552,AT-MB-PC-EOS,127.0.0.1,16767.897918701172,100,64,6,0.2,0.0001,3304758f
0.08,0.83,0.07,0.45,0.45208083163289464,76.85374137759209,0.07,0.87,0.07,0.44,0.40287680983543395,10.071920245885849,1712128787,,True,5,78849ae1,2024-04-03_09-19-47,89.38165068626404,464.79832124710083,33372,AT-MB-PC-EOS,127.0.0.1,464.79832124710083,5,256,3,0.5,1e-05,78849ae1
